L      | even: full  prime-free  arch-only | odd: full  prime-free  arch-only
0.300 | +7.10e-03 +7.10e-03 -1.12e+00 | +2.16e-01 +2.16e-01 +2.24e-01
0.325 | +2.64e-03 +2.64e-03 -1.22e+00 | +1.34e-01 +1.34e-01 +1.44e-01
0.350 | +1.01e-03 +1.19e-03 -1.30e+00 | +5.71e-02 +5.75e-02 +6.99e-02 <- L0
0.375 | +4.14e-04 +1.05e-03 -1.38e+00 | +2.73e-02 -1.45e-02 +7.19e-04
0.400 | +1.48e-04 +5.41e-04 -1.46e+00 | +1.27e-02 -8.26e-02 -6.41e-02
0.425 | +4.67e-05 -1.99e-03 -1.53e+00 | +5.35e-03 -1.47e-01 -1.25e-01
0.450 | +1.24e-05 -7.98e-03 -1.60e+00 | +1.97e-03 -2.09e-01 -1.83e-01
0.475 | +2.93e-06 -1.84e-02 -1.66e+00 | +5.94e-04 -2.69e-01 -2.38e-01
0.500 | +7.29e-07 -3.36e-02 -1.72e+00 | +1.47e-04 -3.26e-01 -2.90e-01
0.525 | +2.14e-07 -5.31e-02 -1.78e+00 | +3.81e-05 -3.81e-01 -3.39e-01
0.550 | +2.65e-08 -7.59e-02 -1.84e+00 | +7.68e-06 -4.34e-01 -3.86e-01
0.575 | +4.48e-09 -1.02e-01 -1.89e+00 | +1.60e-06 -4.87e-01 -4.31e-01
0.600 | +7.58e-10 -1.30e-01 -1.95e+00 | +2.79e-07 -5.38e-01 -4.75e-01
0.625 | +1.26e-10 -1.59e-01 -2.00e+00 | +4.92e-08 -5.89e-01 -5.17e-01
0.650 | +1.38e-11 -1.89e-01 -2.05e+00 | +8.54e-09 -6.38e-01 -5.58e-01
0.675 | +1.62e-12 -2.19e-01 -2.10e+00 | +7.49e-10 -6.87e-01 -5.97e-01
0.700 | +2.40e-13 -2.49e-01 -2.14e+00 | +1.52e-10 -7.35e-01 -6.34e-01
0.725 | +1.97e-14 -2.79e-01 -2.19e+00 | +1.83e-11 -7.83e-01 -6.71e-01
0.750 | -1.48e-14 -3.09e-01 -2.23e+00 | +1.87e-12 -8.31e-01 -7.06e-01
0.775 | -9.59e-15 -3.39e-01 -2.27e+00 | +1.20e-13 -8.79e-01 -7.41e-01
0.800 | -1.29e-14 -3.68e-01 -2.32e+00 | +7.26e-15 -9.27e-01 -7.75e-01
