policy,scenario,accuracy
order_plus_flow,cross_family_0.30,0.8555358200118414
order_plus_flow,cross_family_0.45,0.8750722961249277
order_plus_flow,cross_family_0.60,0.8503937007874016
order_plus_flow,current,0.7961822660098522
order_plus_flow,delayed_uniform_0.60,0.7782377291543465
order_plus_flow,gaussian_mix_0.60,0.7680538555691554
order_plus_flow,permute_mix_0.60,0.7542823390431187
order_plus_flow,uniform_mix_0.60,0.7913752913752914
capacity_only,cross_family_0.30,0.8685612788632326
capacity_only,cross_family_0.45,0.9988432620011567
capacity_only,cross_family_0.60,0.9890975166565718
capacity_only,current,0.7653940886699507
capacity_only,delayed_uniform_0.60,0.7604967474866943
capacity_only,gaussian_mix_0.60,0.7282741738066095
capacity_only,permute_mix_0.60,0.7117542823390431
capacity_only,uniform_mix_0.60,0.7686480186480187
opportunity_linear_gate,cross_family_0.30,0.8679692125518058
opportunity_linear_gate,cross_family_0.45,0.9930595720069404
opportunity_linear_gate,cross_family_0.60,0.9848576620230164
opportunity_linear_gate,current,0.7955665024630542
opportunity_linear_gate,delayed_uniform_0.60,0.7770549970431697
opportunity_linear_gate,gaussian_mix_0.60,0.7472460220318238
opportunity_linear_gate,permute_mix_0.60,0.7347903130537508
opportunity_linear_gate,uniform_mix_0.60,0.796037296037296
coherence_linear_gate,cross_family_0.30,0.8673771462403789
coherence_linear_gate,cross_family_0.45,0.9913244650086755
coherence_linear_gate,cross_family_0.60,0.9890975166565718
coherence_linear_gate,current,0.7801724137931034
coherence_linear_gate,delayed_uniform_0.60,0.7776463630987581
coherence_linear_gate,gaussian_mix_0.60,0.7668298653610771
coherence_linear_gate,permute_mix_0.60,0.7542823390431187
coherence_linear_gate,uniform_mix_0.60,0.7902097902097902
coherence_disagreement_gate,cross_family_0.30,0.8673771462403789
coherence_disagreement_gate,cross_family_0.45,0.9913244650086755
coherence_disagreement_gate,cross_family_0.60,0.9890975166565718
coherence_disagreement_gate,current,0.7801724137931034
coherence_disagreement_gate,delayed_uniform_0.60,0.7776463630987581
coherence_disagreement_gate,gaussian_mix_0.60,0.7668298653610771
coherence_disagreement_gate,permute_mix_0.60,0.7542823390431187
coherence_disagreement_gate,uniform_mix_0.60,0.7902097902097902
coherence_margin_gate,cross_family_0.30,0.8650088809946714
coherence_margin_gate,cross_family_0.45,0.9907460960092539
coherence_margin_gate,cross_family_0.60,0.9884918231374924
coherence_margin_gate,current,0.7801724137931034
coherence_margin_gate,delayed_uniform_0.60,0.7776463630987581
coherence_margin_gate,gaussian_mix_0.60,0.7668298653610771
coherence_margin_gate,permute_mix_0.60,0.7542823390431187
coherence_margin_gate,uniform_mix_0.60,0.7907925407925408
threshold_gate,cross_family_0.30,0.8709295441089402
threshold_gate,cross_family_0.45,0.9739733950260266
threshold_gate,cross_family_0.60,0.9903089036947305
threshold_gate,current,0.7653940886699507
threshold_gate,delayed_uniform_0.60,0.7699586043761089
threshold_gate,gaussian_mix_0.60,0.7435740514075887
threshold_gate,permute_mix_0.60,0.7294743059657413
threshold_gate,uniform_mix_0.60,0.8117715617715617
oracle_order_or_capacity,cross_family_0.30,0.8786264061574897
oracle_order_or_capacity,cross_family_0.45,1.0
oracle_order_or_capacity,cross_family_0.60,0.9987886129618413
oracle_order_or_capacity,current,0.8054187192118226
oracle_order_or_capacity,delayed_uniform_0.60,0.7900650502661147
oracle_order_or_capacity,gaussian_mix_0.60,0.7986536107711139
oracle_order_or_capacity,permute_mix_0.60,0.8174837566450088
oracle_order_or_capacity,uniform_mix_0.60,0.8537296037296037
