pack,scenario,accuracy
baseline_six,cross_family_0.00,0.8448524118070554
baseline_six,cross_family_0.15,0.8184053389532842
baseline_six,cross_family_0.30,0.7548342541436464
baseline_six,cross_family_0.45,0.7501818181818182
baseline_six,cross_family_0.60,0.7490082942661378
baseline_six,current,0.8437273386511965
baseline_six,delayed_uniform_0.00,0.847547974413646
baseline_six,delayed_uniform_0.15,0.8128758401131942
baseline_six,delayed_uniform_0.30,0.7828923523015585
baseline_six,delayed_uniform_0.45,0.7680525164113785
baseline_six,delayed_uniform_0.60,0.7589889640441438
baseline_six,gaussian_mix_0.00,0.8542766631467793
baseline_six,gaussian_mix_0.15,0.8504805980776077
baseline_six,gaussian_mix_0.30,0.8609738884968243
baseline_six,gaussian_mix_0.45,0.8340471092077087
baseline_six,gaussian_mix_0.60,0.7876955903271693
baseline_six,permute_mix_0.00,0.8360477741585234
baseline_six,permute_mix_0.15,0.8540172166427547
baseline_six,permute_mix_0.30,0.8607456140350878
baseline_six,permute_mix_0.45,0.7958959325760352
baseline_six,permute_mix_0.60,0.6550485088034496
baseline_six,uniform_mix_0.00,0.8537535410764873
baseline_six,uniform_mix_0.15,0.8321220930232558
baseline_six,uniform_mix_0.30,0.9413867047891351
baseline_six,uniform_mix_0.45,0.9505376344086022
baseline_six,uniform_mix_0.60,0.9340659340659341
damage_rank_only,cross_family_0.00,1.0
damage_rank_only,cross_family_0.15,1.0
damage_rank_only,cross_family_0.30,0.9972375690607734
damage_rank_only,cross_family_0.45,0.9967272727272727
damage_rank_only,cross_family_0.60,0.9560043274432023
damage_rank_only,current,1.0
damage_rank_only,delayed_uniform_0.00,1.0
damage_rank_only,delayed_uniform_0.15,0.9925716307039264
damage_rank_only,delayed_uniform_0.30,0.9851395433127945
damage_rank_only,delayed_uniform_0.45,0.9832239241429613
damage_rank_only,delayed_uniform_0.60,0.9818440726237095
damage_rank_only,gaussian_mix_0.00,1.0
damage_rank_only,gaussian_mix_0.15,1.0
damage_rank_only,gaussian_mix_0.30,1.0
damage_rank_only,gaussian_mix_0.45,0.9982155603140613
damage_rank_only,gaussian_mix_0.60,0.9914651493598862
damage_rank_only,permute_mix_0.00,1.0
damage_rank_only,permute_mix_0.15,1.0
damage_rank_only,permute_mix_0.30,0.9996345029239766
damage_rank_only,permute_mix_0.45,0.9923048735800659
damage_rank_only,permute_mix_0.60,0.9770032339202299
damage_rank_only,uniform_mix_0.00,1.0
damage_rank_only,uniform_mix_0.15,0.9967296511627907
damage_rank_only,uniform_mix_0.30,0.9789135096497498
damage_rank_only,uniform_mix_0.45,0.9681003584229391
damage_rank_only,uniform_mix_0.60,0.9680964197093229
rank_shape_only,cross_family_0.00,1.0
rank_shape_only,cross_family_0.15,1.0
rank_shape_only,cross_family_0.30,0.9982734806629834
rank_shape_only,cross_family_0.45,0.9992727272727273
rank_shape_only,cross_family_0.60,1.0
rank_shape_only,current,1.0
rank_shape_only,delayed_uniform_0.00,1.0
rank_shape_only,delayed_uniform_0.15,0.9996462681287585
rank_shape_only,delayed_uniform_0.30,0.9996375498368975
rank_shape_only,delayed_uniform_0.45,0.9981765134938001
rank_shape_only,delayed_uniform_0.60,0.9992880028479886
rank_shape_only,gaussian_mix_0.00,1.0
rank_shape_only,gaussian_mix_0.15,1.0
rank_shape_only,gaussian_mix_0.30,1.0
rank_shape_only,gaussian_mix_0.45,1.0
rank_shape_only,gaussian_mix_0.60,0.9989331436699858
rank_shape_only,permute_mix_0.00,1.0
rank_shape_only,permute_mix_0.15,1.0
rank_shape_only,permute_mix_0.30,1.0
rank_shape_only,permute_mix_0.45,0.9992671308171491
rank_shape_only,permute_mix_0.60,0.9399928135106
rank_shape_only,uniform_mix_0.00,1.0
rank_shape_only,uniform_mix_0.15,1.0
rank_shape_only,uniform_mix_0.30,1.0
rank_shape_only,uniform_mix_0.45,1.0
rank_shape_only,uniform_mix_0.60,1.0
six_plus_rank_shape,cross_family_0.00,1.0
six_plus_rank_shape,cross_family_0.15,1.0
six_plus_rank_shape,cross_family_0.30,0.9979281767955801
six_plus_rank_shape,cross_family_0.45,0.9992727272727273
six_plus_rank_shape,cross_family_0.60,1.0
six_plus_rank_shape,current,1.0
six_plus_rank_shape,delayed_uniform_0.00,1.0
six_plus_rank_shape,delayed_uniform_0.15,0.9996462681287585
six_plus_rank_shape,delayed_uniform_0.30,1.0
six_plus_rank_shape,delayed_uniform_0.45,0.9985412107950401
six_plus_rank_shape,delayed_uniform_0.60,0.9996440014239943
six_plus_rank_shape,gaussian_mix_0.00,1.0
six_plus_rank_shape,gaussian_mix_0.15,1.0
six_plus_rank_shape,gaussian_mix_0.30,1.0
six_plus_rank_shape,gaussian_mix_0.45,1.0
six_plus_rank_shape,gaussian_mix_0.60,0.9992887624466572
six_plus_rank_shape,permute_mix_0.00,1.0
six_plus_rank_shape,permute_mix_0.15,1.0
six_plus_rank_shape,permute_mix_0.30,1.0
six_plus_rank_shape,permute_mix_0.45,0.9996335654085746
six_plus_rank_shape,permute_mix_0.60,0.972691340280273
six_plus_rank_shape,uniform_mix_0.00,1.0
six_plus_rank_shape,uniform_mix_0.15,1.0
six_plus_rank_shape,uniform_mix_0.30,1.0
six_plus_rank_shape,uniform_mix_0.45,1.0
six_plus_rank_shape,uniform_mix_0.60,1.0
six_plus_scramble_signature,cross_family_0.00,0.8459323254139669
six_plus_scramble_signature,cross_family_0.15,0.8205128205128205
six_plus_scramble_signature,cross_family_0.30,0.7600138121546961
six_plus_scramble_signature,cross_family_0.45,0.7541818181818182
