pack,scenario,accuracy
order_plus_flow,cross_family_0.00,0.8621463852716659
order_plus_flow,cross_family_0.15,0.870509977827051
order_plus_flow,cross_family_0.30,0.81135449262405
order_plus_flow,cross_family_0.45,0.7963046417305092
order_plus_flow,cross_family_0.60,0.7176418439716312
order_plus_flow,current,0.8501350135013501
order_plus_flow,delayed_uniform_0.00,0.861003861003861
order_plus_flow,delayed_uniform_0.15,0.8686230248306998
order_plus_flow,delayed_uniform_0.30,0.8696248856358646
order_plus_flow,delayed_uniform_0.45,0.858603823921743
order_plus_flow,delayed_uniform_0.60,0.8476527900797166
order_plus_flow,gaussian_mix_0.00,0.8729526339088092
order_plus_flow,gaussian_mix_0.15,0.851131221719457
order_plus_flow,gaussian_mix_0.30,0.8601243339253997
order_plus_flow,gaussian_mix_0.45,0.8597285067873304
order_plus_flow,gaussian_mix_0.60,0.8669336893635959
order_plus_flow,permute_mix_0.00,0.8510544815465729
order_plus_flow,permute_mix_0.15,0.857078853046595
order_plus_flow,permute_mix_0.30,0.8617700729927007
order_plus_flow,permute_mix_0.45,0.8653588943379402
order_plus_flow,permute_mix_0.60,0.8768315018315018
order_plus_flow,uniform_mix_0.00,0.8565140845070423
order_plus_flow,uniform_mix_0.15,0.8633217993079585
order_plus_flow,uniform_mix_0.30,0.8770491803278688
order_plus_flow,uniform_mix_0.45,0.867370353373107
order_plus_flow,uniform_mix_0.60,0.8549686660698299
external_flow_only,cross_family_0.00,0.7588684328693309
external_flow_only,cross_family_0.15,0.7676274944567627
external_flow_only,cross_family_0.30,0.7510058113544926
external_flow_only,cross_family_0.45,0.7525912573231185
external_flow_only,cross_family_0.60,0.7615248226950354
external_flow_only,current,0.7529252925292529
external_flow_only,delayed_uniform_0.00,0.7593307593307593
external_flow_only,delayed_uniform_0.15,0.7507900677200903
external_flow_only,delayed_uniform_0.30,0.7470265324794144
external_flow_only,delayed_uniform_0.45,0.7487772343263672
external_flow_only,delayed_uniform_0.60,0.7351638618246236
external_flow_only,gaussian_mix_0.00,0.7644975652943781
external_flow_only,gaussian_mix_0.15,0.7515837104072398
external_flow_only,gaussian_mix_0.30,0.7508880994671403
external_flow_only,gaussian_mix_0.45,0.7506787330316742
external_flow_only,gaussian_mix_0.60,0.753004005340454
external_flow_only,permute_mix_0.00,0.7548330404217927
external_flow_only,permute_mix_0.15,0.7603046594982079
external_flow_only,permute_mix_0.30,0.7550182481751825
external_flow_only,permute_mix_0.45,0.7588051716451182
external_flow_only,permute_mix_0.60,0.7554945054945055
external_flow_only,uniform_mix_0.00,0.7552816901408451
external_flow_only,uniform_mix_0.15,0.7621107266435986
external_flow_only,uniform_mix_0.30,0.761384335154827
external_flow_only,uniform_mix_0.45,0.7485084901330886
external_flow_only,uniform_mix_0.60,0.7470904207699194
order_flow_external,cross_family_0.00,0.8621463852716659
order_flow_external,cross_family_0.15,0.8722838137472284
order_flow_external,cross_family_0.30,0.8126955744300403
order_flow_external,cross_family_0.45,0.7994592158630014
order_flow_external,cross_family_0.60,0.7176418439716312
order_flow_external,current,0.8514851485148515
order_flow_external,delayed_uniform_0.00,0.8622908622908623
order_flow_external,delayed_uniform_0.15,0.8686230248306998
order_flow_external,delayed_uniform_0.30,0.8673376029277219
order_flow_external,delayed_uniform_0.45,0.8599377501111605
order_flow_external,delayed_uniform_0.60,0.8463241806908769
order_flow_external,gaussian_mix_0.00,0.8729526339088092
order_flow_external,gaussian_mix_0.15,0.8398190045248869
order_flow_external,gaussian_mix_0.30,0.8605683836589698
order_flow_external,gaussian_mix_0.45,0.8561085972850678
order_flow_external,gaussian_mix_0.60,0.851357365376057
order_flow_external,permute_mix_0.00,0.8536906854130053
order_flow_external,permute_mix_0.15,0.8512544802867383
order_flow_external,permute_mix_0.30,0.8672445255474452
order_flow_external,permute_mix_0.45,0.867142220240749
order_flow_external,permute_mix_0.60,0.8763736263736264
order_flow_external,uniform_mix_0.00,0.8578345070422535
order_flow_external,uniform_mix_0.15,0.8637543252595156
order_flow_external,uniform_mix_0.30,0.8765938069216758
order_flow_external,uniform_mix_0.45,0.867370353373107
order_flow_external,uniform_mix_0.60,0.8536257833482542
