sentinel,scenario,open_rate
score_only_default,cross_family_0.45,0.0
score_only_default,cross_family_0.60,0.0
score_only_default,current,0.0
score_only_default,gaussian_mix_0.60,0.0
score_only_default,permute_mix_0.60,0.0
score_only_default,uniform_mix_0.60,0.0
score_only_sparse_5pct_false_alarm,cross_family_0.45,0.030303030303030304
score_only_sparse_5pct_false_alarm,cross_family_0.60,0.01834862385321101
score_only_sparse_5pct_false_alarm,current,0.042735042735042736
score_only_sparse_5pct_false_alarm,gaussian_mix_0.60,0.07207207207207207
score_only_sparse_5pct_false_alarm,permute_mix_0.60,0.06481481481481481
score_only_sparse_5pct_false_alarm,uniform_mix_0.60,0.11818181818181818
capacity_context_default,cross_family_0.45,0.0
capacity_context_default,cross_family_0.60,0.0
capacity_context_default,current,0.03418803418803419
capacity_context_default,gaussian_mix_0.60,0.0
capacity_context_default,permute_mix_0.60,0.0
capacity_context_default,uniform_mix_0.60,0.0
capacity_context_sparse_5pct_false_alarm,cross_family_0.45,0.010101010101010102
capacity_context_sparse_5pct_false_alarm,cross_family_0.60,0.0
capacity_context_sparse_5pct_false_alarm,current,0.05982905982905983
capacity_context_sparse_5pct_false_alarm,gaussian_mix_0.60,0.11711711711711711
capacity_context_sparse_5pct_false_alarm,permute_mix_0.60,0.12037037037037036
capacity_context_sparse_5pct_false_alarm,uniform_mix_0.60,0.05454545454545454
order_capacity_context_default,cross_family_0.45,0.0
order_capacity_context_default,cross_family_0.60,0.0
order_capacity_context_default,current,0.02564102564102564
order_capacity_context_default,gaussian_mix_0.60,0.0
order_capacity_context_default,permute_mix_0.60,0.0
order_capacity_context_default,uniform_mix_0.60,0.0
order_capacity_context_sparse_5pct_false_alarm,cross_family_0.45,0.0
order_capacity_context_sparse_5pct_false_alarm,cross_family_0.60,0.0
order_capacity_context_sparse_5pct_false_alarm,current,0.07692307692307693
order_capacity_context_sparse_5pct_false_alarm,gaussian_mix_0.60,0.25225225225225223
order_capacity_context_sparse_5pct_false_alarm,permute_mix_0.60,0.10185185185185185
order_capacity_context_sparse_5pct_false_alarm,uniform_mix_0.60,0.03636363636363636
full_local_context_default,cross_family_0.45,0.0
full_local_context_default,cross_family_0.60,0.0
full_local_context_default,current,0.03418803418803419
full_local_context_default,gaussian_mix_0.60,0.0
full_local_context_default,permute_mix_0.60,0.0
full_local_context_default,uniform_mix_0.60,0.0
full_local_context_sparse_5pct_false_alarm,cross_family_0.45,0.0
full_local_context_sparse_5pct_false_alarm,cross_family_0.60,0.0
full_local_context_sparse_5pct_false_alarm,current,0.15384615384615385
full_local_context_sparse_5pct_false_alarm,gaussian_mix_0.60,0.16216216216216217
full_local_context_sparse_5pct_false_alarm,permute_mix_0.60,0.09259259259259259
full_local_context_sparse_5pct_false_alarm,uniform_mix_0.60,0.09090909090909091
