pack,scenario,accuracy
baseline_six,cross_family_0.00,0.7588684328693309
baseline_six,cross_family_0.15,0.7676274944567627
baseline_six,cross_family_0.30,0.7510058113544926
baseline_six,cross_family_0.45,0.7525912573231185
baseline_six,cross_family_0.60,0.7615248226950354
baseline_six,current,0.7529252925292529
baseline_six,delayed_uniform_0.00,0.7593307593307593
baseline_six,delayed_uniform_0.15,0.7291196388261851
baseline_six,delayed_uniform_0.30,0.7186642268984447
baseline_six,delayed_uniform_0.45,0.7176522899066252
baseline_six,delayed_uniform_0.60,0.6979627989371124
baseline_six,gaussian_mix_0.00,0.7644975652943781
baseline_six,gaussian_mix_0.15,0.7515837104072398
baseline_six,gaussian_mix_0.30,0.7508880994671403
baseline_six,gaussian_mix_0.45,0.7303167420814479
baseline_six,gaussian_mix_0.60,0.6421895861148198
baseline_six,permute_mix_0.00,0.7548330404217927
baseline_six,permute_mix_0.15,0.7603046594982079
baseline_six,permute_mix_0.30,0.7404197080291971
baseline_six,permute_mix_0.45,0.5621934908604548
baseline_six,permute_mix_0.60,0.49954212454212454
baseline_six,uniform_mix_0.00,0.7552816901408451
baseline_six,uniform_mix_0.15,0.7573529411764706
baseline_six,uniform_mix_0.30,0.7509107468123861
baseline_six,uniform_mix_0.45,0.7361174850849014
baseline_six,uniform_mix_0.60,0.7367949865711728
order_relation_only,cross_family_0.00,0.8352043107319264
order_relation_only,cross_family_0.15,0.8572062084257206
order_relation_only,cross_family_0.30,0.7492177022798391
order_relation_only,cross_family_0.45,0.7521406038756197
order_relation_only,cross_family_0.60,0.7610815602836879
order_relation_only,current,0.828082808280828
order_relation_only,delayed_uniform_0.00,0.8283998283998284
order_relation_only,delayed_uniform_0.15,0.8076749435665914
order_relation_only,delayed_uniform_0.30,0.8005489478499542
order_relation_only,delayed_uniform_0.45,0.8141396176078257
order_relation_only,delayed_uniform_0.60,0.8055801594331267
order_relation_only,gaussian_mix_0.00,0.83444001770695
order_relation_only,gaussian_mix_0.15,0.7475113122171946
order_relation_only,gaussian_mix_0.30,0.7841918294849023
order_relation_only,gaussian_mix_0.45,0.7846153846153846
order_relation_only,gaussian_mix_0.60,0.79884290164664
order_relation_only,permute_mix_0.00,0.8295254833040422
order_relation_only,permute_mix_0.15,0.6241039426523297
order_relation_only,permute_mix_0.30,0.6578467153284672
order_relation_only,permute_mix_0.45,0.6598305840392331
order_relation_only,permute_mix_0.60,0.673992673992674
order_relation_only,uniform_mix_0.00,0.8230633802816901
order_relation_only,uniform_mix_0.15,0.8620242214532872
order_relation_only,uniform_mix_0.30,0.8688524590163934
order_relation_only,uniform_mix_0.45,0.8370812299219825
order_relation_only,uniform_mix_0.60,0.8043867502238138
flow_only,cross_family_0.00,0.7588684328693309
flow_only,cross_family_0.15,0.7676274944567627
flow_only,cross_family_0.30,0.7510058113544926
flow_only,cross_family_0.45,0.7525912573231185
flow_only,cross_family_0.60,0.7615248226950354
flow_only,current,0.7529252925292529
flow_only,delayed_uniform_0.00,0.7593307593307593
flow_only,delayed_uniform_0.15,0.7507900677200903
flow_only,delayed_uniform_0.30,0.7470265324794144
flow_only,delayed_uniform_0.45,0.7487772343263672
flow_only,delayed_uniform_0.60,0.7351638618246236
flow_only,gaussian_mix_0.00,0.7644975652943781
flow_only,gaussian_mix_0.15,0.7515837104072398
flow_only,gaussian_mix_0.30,0.7508880994671403
flow_only,gaussian_mix_0.45,0.7506787330316742
flow_only,gaussian_mix_0.60,0.753004005340454
flow_only,permute_mix_0.00,0.7548330404217927
flow_only,permute_mix_0.15,0.7603046594982079
flow_only,permute_mix_0.30,0.7550182481751825
flow_only,permute_mix_0.45,0.7588051716451182
flow_only,permute_mix_0.60,0.7554945054945055
flow_only,uniform_mix_0.00,0.7552816901408451
flow_only,uniform_mix_0.15,0.7621107266435986
flow_only,uniform_mix_0.30,0.761384335154827
flow_only,uniform_mix_0.45,0.7485084901330886
flow_only,uniform_mix_0.60,0.7470904207699194
baseline_plus_flow,cross_family_0.00,0.7804220925011226
baseline_plus_flow,cross_family_0.15,0.765410199556541
baseline_plus_flow,cross_family_0.30,0.7501117568171658
baseline_plus_flow,cross_family_0.45,0.7525912573231185
baseline_plus_flow,cross_family_0.60,0.7220744680851063
baseline_plus_flow,current,0.7713771377137714
baseline_plus_flow,delayed_uniform_0.00,0.7782067782067782
baseline_plus_flow,delayed_uniform_0.15,0.7900677200902935
baseline_plus_flow,delayed_uniform_0.30,0.8055809698078683
baseline_plus_flow,delayed_uniform_0.45,0.7852378835037794
baseline_plus_flow,delayed_uniform_0.60,0.770593445527015
baseline_plus_flow,gaussian_mix_0.00,0.787959274015051
baseline_plus_flow,gaussian_mix_0.15,0.7710407239819005
baseline_plus_flow,gaussian_mix_0.30,0.7939609236234458
baseline_plus_flow,gaussian_mix_0.45,0.785972850678733
baseline_plus_flow,gaussian_mix_0.60,0.7868268802848242
baseline_plus_flow,permute_mix_0.00,0.7789982425307557
baseline_plus_flow,permute_mix_0.15,0.793010752688172
baseline_plus_flow,permute_mix_0.30,0.8156934306569343
baseline_plus_flow,permute_mix_0.45,0.8096299598751672
baseline_plus_flow,permute_mix_0.60,0.7788461538461539
baseline_plus_flow,uniform_mix_0.00,0.7794894366197183
baseline_plus_flow,uniform_mix_0.15,0.78719723183391
baseline_plus_flow,uniform_mix_0.30,0.761384335154827
baseline_plus_flow,uniform_mix_0.45,0.7407067462138596
baseline_plus_flow,uniform_mix_0.60,0.7403760071620412
order_plus_flow,cross_family_0.00,0.8621463852716659
order_plus_flow,cross_family_0.15,0.870509977827051
order_plus_flow,cross_family_0.30,0.81135449262405
order_plus_flow,cross_family_0.45,0.7963046417305092
order_plus_flow,cross_family_0.60,0.7176418439716312
order_plus_flow,current,0.8501350135013501
order_plus_flow,delayed_uniform_0.00,0.861003861003861
order_plus_flow,delayed_uniform_0.15,0.8686230248306998
order_plus_flow,delayed_uniform_0.30,0.8696248856358646
order_plus_flow,delayed_uniform_0.45,0.858603823921743
order_plus_flow,delayed_uniform_0.60,0.8476527900797166
order_plus_flow,gaussian_mix_0.00,0.8729526339088092
order_plus_flow,gaussian_mix_0.15,0.851131221719457
order_plus_flow,gaussian_mix_0.30,0.8601243339253997
order_plus_flow,gaussian_mix_0.45,0.8597285067873304
order_plus_flow,gaussian_mix_0.60,0.8669336893635959
order_plus_flow,permute_mix_0.00,0.8510544815465729
order_plus_flow,permute_mix_0.15,0.857078853046595
order_plus_flow,permute_mix_0.30,0.8617700729927007
order_plus_flow,permute_mix_0.45,0.8653588943379402
order_plus_flow,permute_mix_0.60,0.8768315018315018
order_plus_flow,uniform_mix_0.00,0.8565140845070423
order_plus_flow,uniform_mix_0.15,0.8633217993079585
order_plus_flow,uniform_mix_0.30,0.8770491803278688
order_plus_flow,uniform_mix_0.45,0.867370353373107
order_plus_flow,uniform_mix_0.60,0.8549686660698299
baseline_plus_order_flow,cross_family_0.00,0.8724741805118994
baseline_plus_order_flow,cross_family_0.15,0.8674057649667406
baseline_plus_order_flow,cross_family_0.30,0.7572641931157801
baseline_plus_order_flow,cross_family_0.45,0.5506985128436233
baseline_plus_order_flow,cross_family_0.60,0.49867021276595747
baseline_plus_order_flow,current,0.8555355535553555
baseline_plus_order_flow,delayed_uniform_0.00,0.8657228657228657
baseline_plus_order_flow,delayed_uniform_0.15,0.8203160270880361
baseline_plus_order_flow,delayed_uniform_0.30,0.8376029277218664
baseline_plus_order_flow,delayed_uniform_0.45,0.8181413961760783
baseline_plus_order_flow,delayed_uniform_0.60,0.8007085916740478
baseline_plus_order_flow,gaussian_mix_0.00,0.8773793714032758
baseline_plus_order_flow,gaussian_mix_0.15,0.7312217194570135
baseline_plus_order_flow,gaussian_mix_0.30,0.8232682060390764
baseline_plus_order_flow,gaussian_mix_0.45,0.8452488687782805
baseline_plus_order_flow,gaussian_mix_0.60,0.8460169114374722
baseline_plus_order_flow,permute_mix_0.00,0.8637961335676626
baseline_plus_order_flow,permute_mix_0.15,0.828405017921147
baseline_plus_order_flow,permute_mix_0.30,0.864507299270073
baseline_plus_order_flow,permute_mix_0.45,0.8662505572893446
baseline_plus_order_flow,permute_mix_0.60,0.8736263736263736
baseline_plus_order_flow,uniform_mix_0.00,0.8617957746478874
baseline_plus_order_flow,uniform_mix_0.15,0.861159169550173
baseline_plus_order_flow,uniform_mix_0.30,0.8729508196721312
baseline_plus_order_flow,uniform_mix_0.45,0.8623221661312529
baseline_plus_order_flow,uniform_mix_0.60,0.8491495076096688
