policy,scenario,accuracy
order_plus_flow,cross_family_0.45,0.8282828282828283
order_plus_flow,cross_family_0.60,0.8440366972477065
order_plus_flow,current,0.7521367521367521
order_plus_flow,gaussian_mix_0.60,0.7477477477477478
order_plus_flow,permute_mix_0.60,0.8333333333333334
order_plus_flow,uniform_mix_0.60,0.8181818181818182
capacity_only,cross_family_0.45,0.98989898989899
capacity_only,cross_family_0.60,1.0
capacity_only,current,0.7094017094017094
capacity_only,gaussian_mix_0.60,0.7477477477477478
capacity_only,permute_mix_0.60,0.7407407407407407
capacity_only,uniform_mix_0.60,0.7818181818181819
opportunity_linear_gate,cross_family_0.45,0.98989898989899
opportunity_linear_gate,cross_family_0.60,0.9724770642201835
opportunity_linear_gate,current,0.7521367521367521
opportunity_linear_gate,gaussian_mix_0.60,0.7207207207207207
opportunity_linear_gate,permute_mix_0.60,0.8148148148148148
opportunity_linear_gate,uniform_mix_0.60,0.8
coherence_linear_gate,cross_family_0.45,0.9696969696969697
coherence_linear_gate,cross_family_0.60,1.0
coherence_linear_gate,current,0.7264957264957265
coherence_linear_gate,gaussian_mix_0.60,0.7477477477477478
coherence_linear_gate,permute_mix_0.60,0.8333333333333334
coherence_linear_gate,uniform_mix_0.60,0.8
coherence_disagreement_gate,cross_family_0.45,0.9696969696969697
coherence_disagreement_gate,cross_family_0.60,1.0
coherence_disagreement_gate,current,0.7264957264957265
coherence_disagreement_gate,gaussian_mix_0.60,0.7477477477477478
coherence_disagreement_gate,permute_mix_0.60,0.8333333333333334
coherence_disagreement_gate,uniform_mix_0.60,0.8
coherence_margin_gate,cross_family_0.45,0.9797979797979798
coherence_margin_gate,cross_family_0.60,1.0
coherence_margin_gate,current,0.7264957264957265
coherence_margin_gate,gaussian_mix_0.60,0.7477477477477478
coherence_margin_gate,permute_mix_0.60,0.8333333333333334
coherence_margin_gate,uniform_mix_0.60,0.8
threshold_gate,cross_family_0.45,0.98989898989899
threshold_gate,cross_family_0.60,1.0
threshold_gate,current,0.7094017094017094
threshold_gate,gaussian_mix_0.60,0.7567567567567568
threshold_gate,permute_mix_0.60,0.7962962962962963
threshold_gate,uniform_mix_0.60,0.7909090909090909
oracle_order_or_capacity,cross_family_0.45,1.0
oracle_order_or_capacity,cross_family_0.60,1.0
oracle_order_or_capacity,current,0.7692307692307693
oracle_order_or_capacity,gaussian_mix_0.60,0.8018018018018018
oracle_order_or_capacity,permute_mix_0.60,0.8703703703703703
oracle_order_or_capacity,uniform_mix_0.60,0.8727272727272727
