policy,scenario,accuracy
order_plus_flow,cross_family_0.30,0.8555358200118414
order_plus_flow,cross_family_0.45,0.8750722961249277
order_plus_flow,cross_family_0.60,0.8503937007874016
order_plus_flow,current,0.7961822660098522
order_plus_flow,delayed_uniform_0.60,0.7782377291543465
order_plus_flow,gaussian_mix_0.60,0.7680538555691554
order_plus_flow,permute_mix_0.60,0.7542823390431187
order_plus_flow,uniform_mix_0.60,0.7913752913752914
capacity_only,cross_family_0.30,0.8685612788632326
capacity_only,cross_family_0.45,0.9988432620011567
capacity_only,cross_family_0.60,0.9890975166565718
capacity_only,current,0.7653940886699507
capacity_only,delayed_uniform_0.60,0.7604967474866943
capacity_only,gaussian_mix_0.60,0.7282741738066095
capacity_only,permute_mix_0.60,0.7117542823390431
capacity_only,uniform_mix_0.60,0.7686480186480187
trained_capacity_gate,cross_family_0.30,0.8691533451746596
trained_capacity_gate,cross_family_0.45,0.9907460960092539
trained_capacity_gate,cross_family_0.60,0.984251968503937
trained_capacity_gate,current,0.7955665024630542
trained_capacity_gate,delayed_uniform_0.60,0.7776463630987581
trained_capacity_gate,gaussian_mix_0.60,0.7460220318237454
trained_capacity_gate,permute_mix_0.60,0.7330183106910809
trained_capacity_gate,uniform_mix_0.60,0.7966200466200466
disagreement_capacity_gate,cross_family_0.30,0.8691533451746596
disagreement_capacity_gate,cross_family_0.45,0.9907460960092539
disagreement_capacity_gate,cross_family_0.60,0.984251968503937
disagreement_capacity_gate,current,0.7955665024630542
disagreement_capacity_gate,delayed_uniform_0.60,0.7776463630987581
disagreement_capacity_gate,gaussian_mix_0.60,0.7460220318237454
disagreement_capacity_gate,permute_mix_0.60,0.7330183106910809
disagreement_capacity_gate,uniform_mix_0.60,0.7966200466200466
oracle_order_or_capacity,cross_family_0.30,0.8786264061574897
oracle_order_or_capacity,cross_family_0.45,1.0
oracle_order_or_capacity,cross_family_0.60,0.9987886129618413
oracle_order_or_capacity,current,0.8054187192118226
oracle_order_or_capacity,delayed_uniform_0.60,0.7900650502661147
oracle_order_or_capacity,gaussian_mix_0.60,0.7986536107711139
oracle_order_or_capacity,permute_mix_0.60,0.8174837566450088
oracle_order_or_capacity,uniform_mix_0.60,0.8537296037296037
