gate_mode,pressure_threshold,sparsity_threshold,gate_rate,pressure_mean,score,score_core,blended_diff_vs_no,core_diff_vs_no,blended_diff_vs_always,core_diff_vs_always
pressure_drift,0.62,0.42,0.0,0.3799789529709467,0.5598359122305936,0.6997935895061167,5.378688945345544e-07,6.294148922059151e-07,-0.06966779248173782,0.006396190322341955
pressure_soft,0.62,0.42,0.0,0.3799810187743068,0.5598357837811518,0.6997934233740661,4.094194527848316e-07,4.6328284164509625e-07,-0.06966792093117957,0.006396024190291394
pressure_soft,0.62,0.3,0.0,0.3799803882508204,0.5598356817440975,0.6997932884207048,3.0738239842342807e-07,3.283294802702841e-07,-0.06966802296823393,0.006395889236930019
pressure_drift,0.12,0.54,0.0,0.3799808939026332,0.5598356577292493,0.6997932512609668,2.8336755020230697e-07,2.911697423169102e-07,-0.06966804698308215,0.006395852077192066
pressure_drift,0.62,0.3,0.0,0.3799828376030071,0.5598355509050672,0.6997931098613723,1.7654336814665328e-07,1.4977014783923437e-07,-0.06966815380726421,0.006395710677597588
pressure_drift,0.5,0.42,0.0,0.37998010006779537,0.5598354648189876,0.6997930519154532,9.045728854850665e-08,9.182422866516049e-08,-0.06966823989334381,0.006395652731678414
pressure_drift,0.12,0.3,0.0,0.3799824103196768,0.5598355007705174,0.6997930515531429,1.2640881830172646e-07,9.146191837228201e-08,-0.06966820394181406,0.006395652369368121
pressure_drift,0.5,0.18,0.0,0.3799802067794665,0.5598354578650773,0.6997930485238149,8.350337821205756e-08,8.84325903616201e-08,-0.06966824684725414,0.00639564934004011
pressure_soft,0.62,0.18,0.0,0.379980683352664,0.5598354363043185,0.6997930191923991,6.194261947811697e-08,5.910117462093467e-08,-0.06966826840801288,0.00639562000862437
pressure_and_sparse,0.5,0.18,0.0,0.37998181235774076,0.5598354694029685,0.6997930168682447,9.504126941006774e-08,5.677702019646347e-08,-0.06966823530936295,0.006395617684469945
pressure_drift,0.62,0.18,0.0,0.3799808225838173,0.5598354275569964,0.6997929982518241,5.3195297389230234e-08,3.8160599569181386e-08,-0.06966827715533497,0.006395599068049318
pressure_drift,0.5,0.3,0.0,0.37998017868062584,0.5598354155743562,0.6997929796261022,4.121265717582645e-08,1.95348777154436e-08,-0.06966828913797518,0.006395580442327464
pressure_and_sparse,0.62,0.3,0.0,0.3799824889237216,0.5598354439549829,0.6997929743956044,6.959328380240493e-08,1.4304379902796427e-08,-0.06966826075734855,0.006395575211829652
