damage_mode,family,label,repair_score,repair_gain,identity_restore,scene_restore,direction_restore,score_self,score_scene,score_direction
missing,no_return,No return,0.6120448334102524,0.10825465133657036,0.6080182072677859,0.6120448334102524,0.6065797322198818,0.4588944657169145,0.4609077787881478,0.4581752281929625
missing,fresh_echo,Fresh echo,0.8503981134594947,0.3481684814286581,0.8479676000284427,0.8503981134594947,0.8469713945659086,0.6985139671347177,0.6997292238502437,0.6980158644034506
missing,deep_trace,Deep trace,0.85019150728113,0.34635978392120936,0.8474039340286822,0.85019150728113,0.8463660257814305,0.6976482036469299,0.6990419902731538,0.697129249523304
missing,layered_recent_deep,Layered recent + deep,0.8501149929176685,0.348453952231174,0.8474422580025744,0.8501149929176685,0.8465113469409478,0.6982803132541731,0.6996166807117201,0.6978148577233598
wrong,no_return,No return,0.33255860688940064,0.33255860688940064,0.33268719761409876,0.33255860688940064,0.3325591000418033,0.33262290225174973,0.33255860688940064,0.332558853465602
wrong,fresh_echo,Fresh echo,0.8886176891444356,0.8886176891444356,0.8887990104842014,0.8886176891444356,0.8884552533102631,0.8887083498143186,0.8886176891444356,0.8885364712273495
wrong,deep_trace,Deep trace,0.8885283765740578,0.8885283765740578,0.8889021863363005,0.8885283765740578,0.8885173458639355,0.8887152814551791,0.8885283765740579,0.8885228612189966
wrong,layered_recent_deep,Layered recent + deep,0.8885286063341593,0.8885286063341593,0.8888340927199437,0.8885286063341593,0.888466339662056,0.8886813495270516,0.8885286063341593,0.8884974729981077
overload,no_return,No return,0.8043952900400604,0.2091677394143227,0.8043440781482714,0.8043952900400604,0.8040798141782741,0.6258014189064446,0.6258270248523391,0.625669286921446
overload,fresh_echo,Fresh echo,0.9715348275679674,0.37630727694222993,0.9716235640789657,0.9715348275679674,0.9712581405466125,0.7930109306357453,0.7929665623802462,0.7928282188695688
overload,deep_trace,Deep trace,0.9714767703580971,0.3762492197323595,0.9717368768462258,0.9714767703580971,0.9713439944949036,0.7930385584144402,0.7929085051703758,0.7928421172387791
overload,layered_recent_deep,Layered recent + deep,0.9715052887666449,0.3762777381409075,0.9716976556901569,0.9715052887666449,0.9713128150596907,0.7930332070406796,0.7929370235789236,0.7928407867254466
