damage_mode,family,label,repair_score,repair_gain,identity_restore,scene_restore,direction_restore,score_self,score_scene,score_direction
missing,no_return,No return,0.7387582637750749,0.23969377142106568,0.7389531472462464,0.7422840626824653,0.7376431016287208,0.5891363578044578,0.5908018155225673,0.5884813349956951
missing,fresh_echo,Fresh echo,0.7829192281874321,0.2848891070134467,0.7829627607654196,0.7857884424559254,0.7818653305803852,0.6335319581242302,0.6349447989694831,0.632983243031713
missing,deep_trace,Deep trace,0.7829988813003878,0.28387859147820244,0.7828726434835096,0.7862014900910768,0.7817732701043714,0.6331996754452931,0.6348640987490767,0.632649988755724
missing,layered_recent_deep,Layered recent + deep,0.7820992947046173,0.2850833499885615,0.7820834709415395,0.785244789220829,0.7810784891707264,0.6329865994082617,0.6345672585479064,0.6324841085228552
wrong,no_return,No return,0.696132663599364,0.696132663599364,0.6961158925238307,0.6958466987560601,0.695847758700217,0.6961242780615974,0.6959896811777121,0.6959902111497905
wrong,fresh_echo,Fresh echo,0.7879854139573493,0.7879854139573493,0.7879656200721368,0.7877056188151292,0.7876531702969742,0.7879755170147431,0.7878455163862392,0.7878192921271618
wrong,deep_trace,Deep trace,0.7880049195311303,0.7880049195311303,0.7879990506566716,0.7876920223144119,0.787683988210298,0.7880019850939008,0.7878484709227711,0.7878444538707141
wrong,layered_recent_deep,Layered recent + deep,0.7879377598056859,0.7879377598056859,0.7879237654552009,0.7876230922324917,0.7876162094751625,0.7879307626304434,0.7877804260190888,0.7877769846404242
overload,no_return,No return,0.9244284153200821,0.32945244581138283,0.9244041510593457,0.9242757419353248,0.9240807346606287,0.7459234923371041,0.7458592877750937,0.7457617841377456
overload,fresh_echo,Fresh echo,0.9474616502944715,0.3524843395325397,0.9474400977625058,0.947308128227806,0.9470818671956477,0.7689576807999091,0.7688916960325592,0.76877856551648
overload,deep_trace,Deep trace,0.9475285682003519,0.3525409216392607,0.947516984151946,0.9473359991264788,0.9471614630768759,0.7690264822078215,0.768935989695088,0.7688487216702865
overload,layered_recent_deep,Layered recent + deep,0.9475030034952491,0.3525215585304723,0.9474879040671681,0.9473229210331688,0.9471285898448724,0.7690010202917755,0.768918528774776,0.7688213631806277
