pack,scenario,accuracy
order_plus_flow,cross_family_0.00,0.8621463852716659
order_plus_flow,cross_family_0.15,0.870509977827051
order_plus_flow,cross_family_0.30,0.81135449262405
order_plus_flow,cross_family_0.45,0.7963046417305092
order_plus_flow,cross_family_0.60,0.7176418439716312
order_plus_flow,current,0.8501350135013501
order_plus_flow,delayed_uniform_0.00,0.861003861003861
order_plus_flow,delayed_uniform_0.15,0.8686230248306998
order_plus_flow,delayed_uniform_0.30,0.8696248856358646
order_plus_flow,delayed_uniform_0.45,0.858603823921743
order_plus_flow,delayed_uniform_0.60,0.8476527900797166
order_plus_flow,gaussian_mix_0.00,0.8729526339088092
order_plus_flow,gaussian_mix_0.15,0.851131221719457
order_plus_flow,gaussian_mix_0.30,0.8601243339253997
order_plus_flow,gaussian_mix_0.45,0.8597285067873304
order_plus_flow,gaussian_mix_0.60,0.8669336893635959
order_plus_flow,permute_mix_0.00,0.8510544815465729
order_plus_flow,permute_mix_0.15,0.857078853046595
order_plus_flow,permute_mix_0.30,0.8617700729927007
order_plus_flow,permute_mix_0.45,0.8653588943379402
order_plus_flow,permute_mix_0.60,0.8768315018315018
order_plus_flow,uniform_mix_0.00,0.8565140845070423
order_plus_flow,uniform_mix_0.15,0.8633217993079585
order_plus_flow,uniform_mix_0.30,0.8770491803278688
order_plus_flow,uniform_mix_0.45,0.867370353373107
order_plus_flow,uniform_mix_0.60,0.8549686660698299
capacity_only,cross_family_0.00,0.7602155365963179
capacity_only,cross_family_0.15,0.766740576496674
capacity_only,cross_family_0.30,0.7532409476978096
capacity_only,cross_family_0.45,0.853988283010365
capacity_only,cross_family_0.60,0.8798758865248227
capacity_only,current,0.7560756075607561
capacity_only,delayed_uniform_0.00,0.7640497640497641
capacity_only,delayed_uniform_0.15,0.7309255079006772
capacity_only,delayed_uniform_0.30,0.7177493138151876
capacity_only,delayed_uniform_0.45,0.7207647843485994
capacity_only,delayed_uniform_0.60,0.6979627989371124
capacity_only,gaussian_mix_0.00,0.7680389552899513
capacity_only,gaussian_mix_0.15,0.753393665158371
capacity_only,gaussian_mix_0.30,0.7415630550621669
capacity_only,gaussian_mix_0.45,0.7104072398190046
capacity_only,gaussian_mix_0.60,0.6599910992434357
capacity_only,permute_mix_0.00,0.7565905096660809
capacity_only,permute_mix_0.15,0.7603046594982079
capacity_only,permute_mix_0.30,0.7020985401459854
capacity_only,permute_mix_0.45,0.6241640659830584
capacity_only,permute_mix_0.60,0.5242673992673993
capacity_only,uniform_mix_0.00,0.7588028169014085
capacity_only,uniform_mix_0.15,0.7288062283737025
capacity_only,uniform_mix_0.30,0.7545537340619308
capacity_only,uniform_mix_0.45,0.7489674162459844
capacity_only,uniform_mix_0.60,0.7488809310653536
order_flow_capacity,cross_family_0.00,0.8729232150875618
order_flow_capacity,cross_family_0.15,0.8758314855875832
order_flow_capacity,cross_family_0.30,0.8350469378632096
order_flow_capacity,cross_family_0.45,0.8143307796304642
order_flow_capacity,cross_family_0.60,0.6733156028368794
order_flow_capacity,current,0.8618361836183618
order_flow_capacity,delayed_uniform_0.00,0.87001287001287
order_flow_capacity,delayed_uniform_0.15,0.8627539503386005
order_flow_capacity,delayed_uniform_0.30,0.8595608417200366
