scenario,transfer_accuracy,representation
clean_current,0.6276047501680484,base_features
cross_family_mid,0.5352967625899281,base_features
delayed_uniform_mid,0.5964640883977901,base_features
gaussian_mix_mid,0.6257993384785006,base_features
permute_mix_mid,0.6256168685509197,base_features
uniform_mix_mid,0.49173072443512694,base_features
clean_current,0.8371050862648443,strange_features
cross_family_mid,0.7547212230215827,strange_features
delayed_uniform_mid,0.5794475138121546,strange_features
gaussian_mix_mid,0.8791620727673649,strange_features
permute_mix_mid,0.8550919694930462,strange_features
uniform_mix_mid,0.57745166550198,strange_features
clean_current,0.985883934573157,groove_features
cross_family_mid,0.479091726618705,groove_features
delayed_uniform_mid,0.5383425414364641,groove_features
gaussian_mix_mid,0.5788313120176406,groove_features
permute_mix_mid,0.715343203230148,groove_features
uniform_mix_mid,0.620079198695551,groove_features
clean_current,0.7517365001120323,belief_features
cross_family_mid,0.7488758992805755,belief_features
delayed_uniform_mid,0.5604419889502762,belief_features
gaussian_mix_mid,0.7922822491730981,belief_features
permute_mix_mid,0.8017048003589053,belief_features
uniform_mix_mid,0.6054041462846494,belief_features
