pack,dimensions,scenario,accuracy
one_scalar_spine,1,clean_current,0.7470311449697513
one_scalar_spine,1,cross_family_mid,0.7547212230215827
one_scalar_spine,1,delayed_uniform_mid,0.7469613259668508
one_scalar_spine,1,gaussian_mix_mid,0.765380374862183
one_scalar_spine,1,permute_mix_mid,0.7557200538358008
one_scalar_spine,1,uniform_mix_mid,0.748893547635686
two_fit_pull,2,clean_current,0.9991037418776607
two_fit_pull,2,cross_family_mid,0.4512140287769784
two_fit_pull,2,delayed_uniform_mid,0.5710497237569061
two_fit_pull,2,gaussian_mix_mid,0.6780595369349504
two_fit_pull,2,permute_mix_mid,0.876626289816061
two_fit_pull,2,uniform_mix_mid,0.7502911716748195
two_fit_tension,2,clean_current,1.0
two_fit_tension,2,cross_family_mid,0.4527877697841727
two_fit_tension,2,delayed_uniform_mid,0.574585635359116
two_fit_tension,2,gaussian_mix_mid,0.646747519294377
two_fit_tension,2,permute_mix_mid,0.8396141767608793
two_fit_tension,2,uniform_mix_mid,0.7780107151176333
three_fit_pull_surprise,3,clean_current,0.9997759354694152
three_fit_pull_surprise,3,cross_family_mid,0.4392985611510791
three_fit_pull_surprise,3,delayed_uniform_mid,0.5379005524861878
three_fit_pull_surprise,3,gaussian_mix_mid,0.5852260198456449
three_fit_pull_surprise,3,permute_mix_mid,0.7830865859129654
three_fit_pull_surprise,3,uniform_mix_mid,0.8644304682040531
three_fit_inertia_pull,3,clean_current,0.9576518037194712
three_fit_inertia_pull,3,cross_family_mid,0.7547212230215827
three_fit_inertia_pull,3,delayed_uniform_mid,0.612817679558011
three_fit_inertia_pull,3,gaussian_mix_mid,0.8533627342888643
three_fit_inertia_pull,3,permute_mix_mid,0.8665320771646479
three_fit_inertia_pull,3,uniform_mix_mid,0.7719543442813883
three_novel_foreign_pull,3,clean_current,1.0
three_novel_foreign_pull,3,cross_family_mid,0.445818345323741
three_novel_foreign_pull,3,delayed_uniform_mid,0.5423204419889502
three_novel_foreign_pull,3,gaussian_mix_mid,0.580154355016538
three_novel_foreign_pull,3,permute_mix_mid,0.8234634365186182
three_novel_foreign_pull,3,uniform_mix_mid,0.8751455858374098
four_spine_basis,4,clean_current,1.0
four_spine_basis,4,cross_family_mid,0.4494154676258993
four_spine_basis,4,delayed_uniform_mid,0.5467403314917127
four_spine_basis,4,gaussian_mix_mid,0.5834619625137817
four_spine_basis,4,permute_mix_mid,0.8147151188873935
four_spine_basis,4,uniform_mix_mid,0.8798043326345213
five_groove_compass,5,clean_current,0.8577190230786467
five_groove_compass,5,cross_family_mid,0.7585431654676259
five_groove_compass,5,delayed_uniform_mid,0.7277348066298343
five_groove_compass,5,gaussian_mix_mid,0.874090407938258
five_groove_compass,5,permute_mix_mid,0.8436518618214446
five_groove_compass,5,uniform_mix_mid,0.9569065921267179
six_compass_with_pull,6,clean_current,0.856150571364553
six_compass_with_pull,6,cross_family_mid,0.7630395683453237
six_compass_with_pull,6,delayed_uniform_mid,0.740110497237569
six_compass_with_pull,6,gaussian_mix_mid,0.871664829106946
six_compass_with_pull,6,permute_mix_mid,0.8485868102288021
six_compass_with_pull,6,uniform_mix_mid,0.9552760307477288
seven_compass_with_pull_tension,7,clean_current,0.8097692135334976
seven_compass_with_pull_tension,7,cross_family_mid,0.741681654676259
seven_compass_with_pull_tension,7,delayed_uniform_mid,0.7626519337016575
seven_compass_with_pull_tension,7,gaussian_mix_mid,0.8608599779492834
seven_compass_with_pull_tension,7,permute_mix_mid,0.8176312247644684
seven_compass_with_pull_tension,7,uniform_mix_mid,0.95574190542744
pull_balance_control,3,clean_current,1.0
pull_balance_control,3,cross_family_mid,0.4204136690647482
pull_balance_control,3,delayed_uniform_mid,0.5367955801104972
pull_balance_control,3,gaussian_mix_mid,0.641896361631753
pull_balance_control,3,permute_mix_mid,0.6787797218483625
pull_balance_control,3,uniform_mix_mid,0.8001397624039134
all_axes,11,clean_current,0.8200761819403989
all_axes,11,cross_family_mid,0.7713579136690647
all_axes,11,delayed_uniform_mid,0.7803314917127072
all_axes,11,gaussian_mix_mid,0.8630650496141125
all_axes,11,permute_mix_mid,0.8183041722745625
all_axes,11,uniform_mix_mid,0.9555089680875845
