pack,scenario,helper_kind,noise_level,accuracy
six_compass_with_pull,cross_family_0.00,cross_family,0.0,0.8448524118070554
six_compass_with_pull,cross_family_0.15,cross_family,0.15,0.8187565858798735
six_compass_with_pull,cross_family_0.30,cross_family,0.3,0.7544889502762431
six_compass_with_pull,cross_family_0.45,cross_family,0.45,0.7501818181818182
six_compass_with_pull,cross_family_0.60,cross_family,0.6,0.7490082942661378
six_compass_with_pull,current,current,0.0,0.8433647570703409
six_compass_with_pull,delayed_uniform_0.00,delayed_uniform,0.0,0.8461265103056148
six_compass_with_pull,delayed_uniform_0.15,delayed_uniform,0.15,0.8125221082419526
six_compass_with_pull,delayed_uniform_0.30,delayed_uniform,0.3,0.7836172526277637
six_compass_with_pull,delayed_uniform_0.45,delayed_uniform,0.45,0.7691466083150985
six_compass_with_pull,delayed_uniform_0.60,delayed_uniform,0.6,0.761124955500178
six_compass_with_pull,gaussian_mix_0.00,gaussian_mix,0.0,0.8528687082013375
six_compass_with_pull,gaussian_mix_0.15,gaussian_mix,0.15,0.8504805980776077
six_compass_with_pull,gaussian_mix_0.30,gaussian_mix,0.3,0.860621030345801
six_compass_with_pull,gaussian_mix_0.45,gaussian_mix,0.45,0.8336902212705211
six_compass_with_pull,gaussian_mix_0.60,gaussian_mix,0.6,0.7884068278805121
six_compass_with_pull,permute_mix_0.00,permute_mix,0.0,0.8367716250452407
six_compass_with_pull,permute_mix_0.15,permute_mix,0.15,0.8540172166427547
six_compass_with_pull,permute_mix_0.30,permute_mix,0.3,0.8611111111111112
six_compass_with_pull,permute_mix_0.45,permute_mix,0.45,0.7947966288017588
six_compass_with_pull,permute_mix_0.60,permute_mix,0.6,0.6575637800934243
six_compass_with_pull,uniform_mix_0.00,uniform_mix,0.0,0.8512747875354107
six_compass_with_pull,uniform_mix_0.15,uniform_mix,0.15,0.8313953488372093
six_compass_with_pull,uniform_mix_0.30,uniform_mix,0.3,0.9471050750536097
six_compass_with_pull,uniform_mix_0.45,uniform_mix,0.45,0.9512544802867383
six_compass_with_pull,uniform_mix_0.60,uniform_mix,0.6,0.9340659340659341
five_groove_compass,cross_family_0.00,cross_family,0.0,0.8470122390208783
five_groove_compass,cross_family_0.15,cross_family,0.15,0.8124341412012644
five_groove_compass,cross_family_0.30,cross_family,0.3,0.7513812154696132
five_groove_compass,cross_family_0.45,cross_family,0.45,0.7501818181818182
five_groove_compass,cross_family_0.60,cross_family,0.6,0.7490082942661378
five_groove_compass,current,current,0.0,0.8437273386511965
five_groove_compass,delayed_uniform_0.00,delayed_uniform,0.0,0.8471926083866382
five_groove_compass,delayed_uniform_0.15,delayed_uniform,0.15,0.8185355500530598
five_groove_compass,delayed_uniform_0.30,delayed_uniform,0.3,0.7905038057267125
five_groove_compass,delayed_uniform_0.45,delayed_uniform,0.45,0.7757111597374179
five_groove_compass,delayed_uniform_0.60,delayed_uniform,0.6,0.772872908508366
five_groove_compass,gaussian_mix_0.00,gaussian_mix,0.0,0.8546286518831397
five_groove_compass,gaussian_mix_0.15,gaussian_mix,0.15,0.8526165895336418
five_groove_compass,gaussian_mix_0.30,gaussian_mix,0.3,0.8627381792519407
five_groove_compass,gaussian_mix_0.45,gaussian_mix,0.45,0.8190578158458244
five_groove_compass,gaussian_mix_0.60,gaussian_mix,0.6,0.6987908961593172
five_groove_compass,permute_mix_0.00,permute_mix,0.0,0.8356858487151647
five_groove_compass,permute_mix_0.15,permute_mix,0.15,0.8593974175035868
five_groove_compass,permute_mix_0.30,permute_mix,0.3,0.8603801169590644
five_groove_compass,permute_mix_0.45,permute_mix,0.45,0.6918285086112129
five_groove_compass,permute_mix_0.60,permute_mix,0.6,0.6406755300035932
five_groove_compass,uniform_mix_0.00,uniform_mix,0.0,0.8544617563739377
five_groove_compass,uniform_mix_0.15,uniform_mix,0.15,0.8357558139534884
five_groove_compass,uniform_mix_0.30,uniform_mix,0.3,0.9442458899213724
five_groove_compass,uniform_mix_0.45,uniform_mix,0.45,0.953405017921147
five_groove_compass,uniform_mix_0.60,uniform_mix,0.6,0.9393831974477136
three_fit_inertia_pull,cross_family_0.00,cross_family,0.0,0.8038156947444205
three_fit_inertia_pull,cross_family_0.15,cross_family,0.15,0.7776606954689147
three_fit_inertia_pull,cross_family_0.30,cross_family,0.3,0.7455110497237569
three_fit_inertia_pull,cross_family_0.45,cross_family,0.45,0.7501818181818182
three_fit_inertia_pull,cross_family_0.60,cross_family,0.6,0.7490082942661378
three_fit_inertia_pull,current,current,0.0,0.7980420594633792
three_fit_inertia_pull,delayed_uniform_0.00,delayed_uniform,0.0,0.8088130774697939
three_fit_inertia_pull,delayed_uniform_0.15,delayed_uniform,0.15,0.8234877962504422
three_fit_inertia_pull,delayed_uniform_0.30,delayed_uniform,0.3,0.7930409568684306
three_fit_inertia_pull,delayed_uniform_0.45,delayed_uniform,0.45,0.7727935813274982
three_fit_inertia_pull,delayed_uniform_0.60,delayed_uniform,0.6,0.7668209327162692
three_fit_inertia_pull,gaussian_mix_0.00,gaussian_mix,0.0,0.8081661386835621
three_fit_inertia_pull,gaussian_mix_0.15,gaussian_mix,0.15,0.8177287290850836
three_fit_inertia_pull,gaussian_mix_0.30,gaussian_mix,0.3,0.8221594918842625
three_fit_inertia_pull,gaussian_mix_0.45,gaussian_mix,0.45,0.8215560314061384
three_fit_inertia_pull,gaussian_mix_0.60,gaussian_mix,0.6,0.7844950213371266
three_fit_inertia_pull,permute_mix_0.00,permute_mix,0.0,0.7900832428519725
three_fit_inertia_pull,permute_mix_0.15,permute_mix,0.15,0.8181492109038737
three_fit_inertia_pull,permute_mix_0.30,permute_mix,0.3,0.841374269005848
three_fit_inertia_pull,permute_mix_0.45,permute_mix,0.45,0.7936973250274826
three_fit_inertia_pull,permute_mix_0.60,permute_mix,0.6,0.7524254401724757
three_fit_inertia_pull,uniform_mix_0.00,uniform_mix,0.0,0.8148016997167139
three_fit_inertia_pull,uniform_mix_0.15,uniform_mix,0.15,0.7728924418604651
three_fit_inertia_pull,uniform_mix_0.30,uniform_mix,0.3,0.7655468191565404
three_fit_inertia_pull,uniform_mix_0.45,uniform_mix,0.45,0.7774193548387097
three_fit_inertia_pull,uniform_mix_0.60,uniform_mix,0.6,0.7685218007798653
one_scalar_spine,cross_family_0.00,cross_family,0.0,0.749820014398848
one_scalar_spine,cross_family_0.15,cross_family,0.15,0.7653670530382859
one_scalar_spine,cross_family_0.30,cross_family,0.3,0.7451657458563536
one_scalar_spine,cross_family_0.45,cross_family,0.45,0.7501818181818182
one_scalar_spine,cross_family_0.60,cross_family,0.6,0.7490082942661378
one_scalar_spine,current,current,0.0,0.7400290065264684
one_scalar_spine,delayed_uniform_0.00,delayed_uniform,0.0,0.7484008528784648
one_scalar_spine,delayed_uniform_0.15,delayed_uniform,0.15,0.7569862044570216
one_scalar_spine,delayed_uniform_0.30,delayed_uniform,0.3,0.7509967379485321
one_scalar_spine,delayed_uniform_0.45,delayed_uniform,0.45,0.7472647702407003
one_scalar_spine,delayed_uniform_0.60,delayed_uniform,0.6,0.7525809896760413
one_scalar_spine,gaussian_mix_0.00,gaussian_mix,0.0,0.7479760647659275
one_scalar_spine,gaussian_mix_0.15,gaussian_mix,0.15,0.7500889996440014
one_scalar_spine,gaussian_mix_0.30,gaussian_mix,0.3,0.7431192660550459
one_scalar_spine,gaussian_mix_0.45,gaussian_mix,0.45,0.7519628836545325
one_scalar_spine,gaussian_mix_0.60,gaussian_mix,0.6,0.7386201991465149
one_scalar_spine,permute_mix_0.00,permute_mix,0.0,0.7419471588852696
one_scalar_spine,permute_mix_0.15,permute_mix,0.15,0.746413199426112
one_scalar_spine,permute_mix_0.30,permute_mix,0.3,0.7609649122807017
one_scalar_spine,permute_mix_0.45,permute_mix,0.45,0.7486258702821547
one_scalar_spine,permute_mix_0.60,permute_mix,0.6,0.7384117858426159
one_scalar_spine,uniform_mix_0.00,uniform_mix,0.0,0.759915014164306
one_scalar_spine,uniform_mix_0.15,uniform_mix,0.15,0.737281976744186
one_scalar_spine,uniform_mix_0.30,uniform_mix,0.3,0.7398141529664046
one_scalar_spine,uniform_mix_0.45,uniform_mix,0.45,0.7526881720430108
one_scalar_spine,uniform_mix_0.60,uniform_mix,0.6,0.7458348103509393
all_axes,cross_family_0.00,cross_family,0.0,0.8131749460043196
all_axes,cross_family_0.15,cross_family,0.15,0.8071654373024236
all_axes,cross_family_0.30,cross_family,0.3,0.7607044198895028
all_axes,cross_family_0.45,cross_family,0.45,0.7552727272727273
all_axes,cross_family_0.60,cross_family,0.6,0.7461233321312658
all_axes,current,current,0.0,0.8107324147933285
all_axes,delayed_uniform_0.00,delayed_uniform,0.0,0.8194740582800284
all_axes,delayed_uniform_0.15,delayed_uniform,0.15,0.8135833038556773
all_axes,delayed_uniform_0.30,delayed_uniform,0.3,0.7948532076839434
all_axes,delayed_uniform_0.45,delayed_uniform,0.45,0.7837345003646973
all_axes,delayed_uniform_0.60,delayed_uniform,0.6,0.7835528657885369
all_axes,gaussian_mix_0.00,gaussian_mix,0.0,0.8236536430834214
all_axes,gaussian_mix_0.15,gaussian_mix,0.15,0.8287646849412602
all_axes,gaussian_mix_0.30,gaussian_mix,0.3,0.8546224417784051
all_axes,gaussian_mix_0.45,gaussian_mix,0.45,0.8365453247680228
