scenario,bucket,count,rate
all,both_correct,487,0.7446483180428135
all,order_only,38,0.0581039755351682
all,capacity_only,52,0.07951070336391437
all,both_wrong,77,0.11773700305810397
cross_family_0.45,both_correct,81,0.8181818181818182
cross_family_0.45,order_only,1,0.010101010101010102
cross_family_0.45,capacity_only,17,0.1717171717171717
cross_family_0.45,both_wrong,0,0.0
cross_family_0.60,both_correct,92,0.8440366972477065
cross_family_0.60,order_only,0,0.0
cross_family_0.60,capacity_only,17,0.1559633027522936
cross_family_0.60,both_wrong,0,0.0
current,both_correct,81,0.6923076923076923
current,order_only,7,0.05982905982905983
current,capacity_only,2,0.017094017094017096
current,both_wrong,27,0.23076923076923078
gaussian_mix_0.60,both_correct,77,0.6936936936936937
gaussian_mix_0.60,order_only,6,0.05405405405405406
gaussian_mix_0.60,capacity_only,6,0.05405405405405406
gaussian_mix_0.60,both_wrong,22,0.1981981981981982
permute_mix_0.60,both_correct,76,0.7037037037037037
permute_mix_0.60,order_only,14,0.12962962962962962
permute_mix_0.60,capacity_only,4,0.037037037037037035
permute_mix_0.60,both_wrong,14,0.12962962962962962
uniform_mix_0.60,both_correct,80,0.7272727272727273
uniform_mix_0.60,order_only,10,0.09090909090909091
uniform_mix_0.60,capacity_only,6,0.05454545454545454
uniform_mix_0.60,both_wrong,14,0.12727272727272726
