policy,scenario,accuracy
oracle_order_or_capacity,cross_family_0.45,1.0
oracle_order_or_capacity,cross_family_0.60,1.0
oracle_order_or_capacity,current,0.7692307692307693
oracle_order_or_capacity,gaussian_mix_0.60,0.8018018018018018
oracle_order_or_capacity,permute_mix_0.60,0.8703703703703703
oracle_order_or_capacity,uniform_mix_0.60,0.8727272727272727
coherence_margin_gate,cross_family_0.45,0.9797979797979798
coherence_margin_gate,cross_family_0.60,1.0
coherence_margin_gate,current,0.7264957264957265
coherence_margin_gate,gaussian_mix_0.60,0.7477477477477478
coherence_margin_gate,permute_mix_0.60,0.8333333333333334
coherence_margin_gate,uniform_mix_0.60,0.8
threshold_gate,cross_family_0.45,0.98989898989899
threshold_gate,cross_family_0.60,1.0
threshold_gate,current,0.7094017094017094
threshold_gate,gaussian_mix_0.60,0.7567567567567568
threshold_gate,permute_mix_0.60,0.7962962962962963
threshold_gate,uniform_mix_0.60,0.7909090909090909
order_plus_flow,cross_family_0.45,0.8282828282828283
order_plus_flow,cross_family_0.60,0.8440366972477065
order_plus_flow,current,0.7521367521367521
order_plus_flow,gaussian_mix_0.60,0.7477477477477478
order_plus_flow,permute_mix_0.60,0.8333333333333334
order_plus_flow,uniform_mix_0.60,0.8181818181818182
capacity_only,cross_family_0.45,0.98989898989899
capacity_only,cross_family_0.60,1.0
capacity_only,current,0.7094017094017094
capacity_only,gaussian_mix_0.60,0.7477477477477478
capacity_only,permute_mix_0.60,0.7407407407407407
capacity_only,uniform_mix_0.60,0.7818181818181819
score_only_gate,cross_family_0.45,0.98989898989899
score_only_gate,cross_family_0.60,0.963302752293578
score_only_gate,current,0.7521367521367521
score_only_gate,gaussian_mix_0.60,0.7387387387387387
score_only_gate,permute_mix_0.60,0.8055555555555556
score_only_gate,uniform_mix_0.60,0.7909090909090909
score_only_calibrated_gate,cross_family_0.45,0.9797979797979798
score_only_calibrated_gate,cross_family_0.60,0.963302752293578
score_only_calibrated_gate,current,0.7521367521367521
score_only_calibrated_gate,gaussian_mix_0.60,0.7387387387387387
score_only_calibrated_gate,permute_mix_0.60,0.8425925925925926
score_only_calibrated_gate,uniform_mix_0.60,0.8090909090909091
capacity_context_gate,cross_family_0.45,0.98989898989899
capacity_context_gate,cross_family_0.60,0.9724770642201835
capacity_context_gate,current,0.7521367521367521
capacity_context_gate,gaussian_mix_0.60,0.7207207207207207
capacity_context_gate,permute_mix_0.60,0.8148148148148148
capacity_context_gate,uniform_mix_0.60,0.8
capacity_context_calibrated_gate,cross_family_0.45,1.0
capacity_context_calibrated_gate,cross_family_0.60,0.963302752293578
capacity_context_calibrated_gate,current,0.7521367521367521
capacity_context_calibrated_gate,gaussian_mix_0.60,0.7387387387387387
capacity_context_calibrated_gate,permute_mix_0.60,0.8425925925925926
capacity_context_calibrated_gate,uniform_mix_0.60,0.8181818181818182
order_capacity_context_gate,cross_family_0.45,0.98989898989899
order_capacity_context_gate,cross_family_0.60,0.981651376146789
order_capacity_context_gate,current,0.7606837606837606
order_capacity_context_gate,gaussian_mix_0.60,0.7387387387387387
order_capacity_context_gate,permute_mix_0.60,0.8240740740740741
order_capacity_context_gate,uniform_mix_0.60,0.8181818181818182
order_capacity_context_calibrated_gate,cross_family_0.45,0.98989898989899
order_capacity_context_calibrated_gate,cross_family_0.60,0.9724770642201835
order_capacity_context_calibrated_gate,current,0.7521367521367521
order_capacity_context_calibrated_gate,gaussian_mix_0.60,0.7297297297297297
order_capacity_context_calibrated_gate,permute_mix_0.60,0.8518518518518519
order_capacity_context_calibrated_gate,uniform_mix_0.60,0.8090909090909091
full_local_context_gate,cross_family_0.45,0.98989898989899
full_local_context_gate,cross_family_0.60,0.981651376146789
full_local_context_gate,current,0.7606837606837606
full_local_context_gate,gaussian_mix_0.60,0.7387387387387387
full_local_context_gate,permute_mix_0.60,0.8240740740740741
full_local_context_gate,uniform_mix_0.60,0.8090909090909091
full_local_context_calibrated_gate,cross_family_0.45,0.98989898989899
full_local_context_calibrated_gate,cross_family_0.60,0.963302752293578
full_local_context_calibrated_gate,current,0.7521367521367521
full_local_context_calibrated_gate,gaussian_mix_0.60,0.7297297297297297
full_local_context_calibrated_gate,permute_mix_0.60,0.8518518518518519
full_local_context_calibrated_gate,uniform_mix_0.60,0.8181818181818182
