train_set,pack,dimensions,overall_accuracy
uniform_only,six_plus_rank_shape,13,0.9999862325325256
uniform_plus_permute,rank_shape_only,7,0.9999862325325256
uniform_plus_permute,six_plus_rank_shape,13,0.9999862325325256
uniform_plus_permute,damage_rank_only,3,0.9998898602602051
uniform_only,rank_shape_only,7,0.9998623253252564
uniform_only,damage_rank_only,3,0.9996971157155641
uniform_only,baseline_six,6,0.8246575342465754
uniform_only,six_plus_scramble_signature,8,0.8157362153231913
uniform_plus_permute,baseline_six,6,0.7696151992840917
uniform_plus_permute,six_plus_scramble_signature,8,0.767164590073656
uniform_only,helper_rank_only,4,0.7484546017760033
uniform_only,scramble_signature_only,2,0.7484546017760033
uniform_plus_permute,helper_rank_only,4,0.7484546017760033
uniform_plus_permute,scramble_signature_only,2,0.7484546017760033
