policy,switch_cost,repair_score,repair_gain,identity_restore,scene_restore,direction_restore,avg_switch_cost_paid,score_switch
always_fresh,0.0,0.8682833058285924,0.5008326969661191,0.867359077240197,0.8682833058285924,0.8668427362575124,0.0,0.7943922529027567
always_deep,0.0,0.8693258653071296,0.48880229716886137,0.8684548370981358,0.8693258653071296,0.8678670305938094,0.0,0.7928281208306792
always_layered,0.0,0.8665013801655386,0.5050667548832046,0.8657966753488893,0.8665013801655386,0.8650947585482586,0.0,0.79386252090315
adaptive_context,0.0,0.8659836677595121,0.508752182836807,0.8652299617162871,0.8659836677595121,0.8647699295314485,0.0,0.7942045688321167
always_fresh,0.01,0.8643993300164416,0.5001474361376717,0.8634918327722655,0.8643993300164416,0.8627914550865976,0.0,0.7911262705523758
always_deep,0.01,0.8690669852579238,0.5012406346204057,0.8683029535291162,0.8690669852579238,0.8677353635846786,0.0,0.795149165533672
always_layered,0.01,0.8653367429911952,0.5058265900000866,0.8644824023523651,0.8653367429911952,0.8640321370701494,0.0,0.7930681533770505
adaptive_context,0.01,0.8613034317689072,0.48424876839870584,0.8606279308902239,0.8613034317689072,0.8598439791121079,0.0055390995260663515,0.7855384810206104
always_fresh,0.03,0.8663337046234405,0.5175733489427643,0.8654698438044603,0.8663337046234405,0.864854737583855,0.0,0.7961870162675714
always_deep,0.03,0.8695927235555367,0.5011087292953974,0.868802864843751,0.8695927235555367,0.8679266383662518,0.0,0.7954880401827591
always_layered,0.03,0.8689300337451172,0.510958539928754,0.8683413545533754,0.8689300337451172,0.8679568451238506,0.0,0.7970720208503062
adaptive_context,0.03,0.8453492750447156,0.48917724499471527,0.8446536673944469,0.8453492750447156,0.8440724382271643,0.01760597014925373,0.7737842219820291
always_fresh,0.06,0.8674599756233418,0.5057800016276598,0.8665688766516859,0.8674599756233418,0.8657540728835746,0.0,0.7946898756189092
always_deep,0.06,0.8649929481476428,0.5149171936404204,0.8643581572961688,0.8649929481476428,0.8636046339112446,0.0,0.7946425919404438
always_layered,0.06,0.8692976318571769,0.5021747685769651,0.8685358701808956,0.8692976318571769,0.867865809475812,0.0,0.7955059335086735
adaptive_context,0.06,0.8320117285271845,0.4679640815396253,0.8310236447064501,0.8320117285271845,0.830339911167302,0.03299643281807372,0.7587538097615434
