pack,scenario,accuracy
baseline_six,cross_family_0.00,0.750179985601152
baseline_six,cross_family_0.15,0.7650158061116965
baseline_six,cross_family_0.30,0.7451657458563536
baseline_six,cross_family_0.45,0.7501818181818182
baseline_six,cross_family_0.60,0.7490082942661378
baseline_six,current,0.7403915881073242
baseline_six,delayed_uniform_0.00,0.7484008528784648
baseline_six,delayed_uniform_0.15,0.7392996108949417
baseline_six,delayed_uniform_0.30,0.7216382747372236
baseline_six,delayed_uniform_0.45,0.7195477753464624
baseline_six,delayed_uniform_0.60,0.7176931292274831
baseline_six,gaussian_mix_0.00,0.7479760647659275
baseline_six,gaussian_mix_0.15,0.7500889996440014
baseline_six,gaussian_mix_0.30,0.7413549752999294
baseline_six,gaussian_mix_0.45,0.7298358315488936
baseline_six,gaussian_mix_0.60,0.6191322901849218
baseline_six,permute_mix_0.00,0.7419471588852696
baseline_six,permute_mix_0.15,0.746413199426112
baseline_six,permute_mix_0.30,0.7375730994152047
baseline_six,permute_mix_0.45,0.5474532795895932
baseline_six,permute_mix_0.60,0.5095220984549048
baseline_six,uniform_mix_0.00,0.759915014164306
baseline_six,uniform_mix_0.15,0.7252906976744186
baseline_six,uniform_mix_0.30,0.7273052180128663
baseline_six,uniform_mix_0.45,0.7448028673835125
baseline_six,uniform_mix_0.60,0.7217298830202056
damage_rank_only,cross_family_0.00,0.749820014398848
damage_rank_only,cross_family_0.15,0.7653670530382859
damage_rank_only,cross_family_0.30,0.7451657458563536
damage_rank_only,cross_family_0.45,0.7501818181818182
damage_rank_only,cross_family_0.60,0.7490082942661378
damage_rank_only,current,0.7400290065264684
damage_rank_only,delayed_uniform_0.00,0.7484008528784648
damage_rank_only,delayed_uniform_0.15,0.7569862044570216
damage_rank_only,delayed_uniform_0.30,0.7509967379485321
damage_rank_only,delayed_uniform_0.45,0.7472647702407003
damage_rank_only,delayed_uniform_0.60,0.7525809896760413
damage_rank_only,gaussian_mix_0.00,0.7479760647659275
damage_rank_only,gaussian_mix_0.15,0.7500889996440014
damage_rank_only,gaussian_mix_0.30,0.7431192660550459
damage_rank_only,gaussian_mix_0.45,0.7519628836545325
damage_rank_only,gaussian_mix_0.60,0.7386201991465149
damage_rank_only,permute_mix_0.00,0.7419471588852696
damage_rank_only,permute_mix_0.15,0.746413199426112
