family,noise_level,damage_mode,access_fidelity,repair_score,repair_gain,identity_restore,scene_restore,direction_restore,avg_switch_paid,score_balanced,score_repair_heavy
fibonacci,0.2,missing,0.9691068066304551,0.728454131346309,0.2252523949776192,0.7382445391242063,0.728454131346309,0.723047144625203,0.0,0.6817619191063534,0.6274580287960898
generic_ternary,0.2,missing,0.9463796259774748,0.5998730672275879,0.28787683459150787,0.624265004948376,0.5998730672275879,0.5987057961677441,0.0,0.605858644081295,0.5561128272725627
fibonacci,0.2,wrong,0.9691592879114955,0.6065620068570908,0.6065620068570908,0.7064224570483076,0.6065620068570908,0.6065997920723708,0.0,0.6740661983789463,0.6440579221319178
generic_ternary,0.2,wrong,0.9464196706148729,0.8386953747708762,0.23239716903805632,0.9230015368452436,0.8386953747708762,0.8387821042951563,0.0,0.7619544368195497,0.7100482206537749
fibonacci,0.2,overload,0.9690989064884447,0.8488840580703925,0.25365650744465484,0.9153885876970281,0.8488840580703925,0.8486656970065048,0.0,0.7735858204445544,0.7216485767842367
generic_ternary,0.2,overload,0.946709927245453,0.8600211409682214,0.006766005771542003,0.928829646690358,0.8600211409682214,0.8595863960225086,0.0,0.7396266920606294,0.6722973818847475
fibonacci,0.3,missing,0.9601196680440156,0.7098635361984141,0.20734927723185895,0.7235457732961316,0.7098635361984141,0.7048310010328007,0.0,0.6658350790123668,0.6107533947243633
generic_ternary,0.3,missing,0.9358899913641348,0.5832311401949518,0.2792855582059369,0.6128367286056738,0.5832311401949518,0.5818120304966212,0.0,0.5923990449372949,0.5426850457053385
fibonacci,0.3,wrong,0.9601801672445265,0.5601364382396578,0.5601364382396578,0.680150070601846,0.5601364382396578,0.5601473058076378,0.0,0.6381488590301567,0.6049446810077463
generic_ternary,0.3,wrong,0.935969187266843,0.8227298458914035,0.21776600003344782,0.9188418629562198,0.8227298458914035,0.8226536514857147,0.0,0.7490385106866672,0.6966745837162114
fibonacci,0.3,overload,0.9600495980818966,0.8222158061605956,0.22698825553485807,0.9051045201339809,0.8222158061605956,0.8220065920181616,0.0,0.7529003569256378,0.6993892985955202
generic_ternary,0.3,overload,0.9361188069134011,0.8433837449966,0.0022764331185810083,0.9228529577122387,0.8433837449966,0.8429265107970261,0.0,0.727616457375667,0.660548310173684
fibonacci,0.4,missing,0.9539880469618693,0.7011620694319897,0.19580421265302933,0.7169982496253297,0.7011620694319897,0.6959840139352326,0.0,0.657522305125609,0.6020217179215959
generic_ternary,0.4,missing,0.9290023552726888,0.5852075894827221,0.27176844163084396,0.6168388870686076,0.5852075894827221,0.5836715191182529,0.0,0.5914649545461461,0.541781123475682
fibonacci,0.4,wrong,0.9541633564474318,0.531871687626424,0.531871687626424,0.6655122163575329,0.531871687626424,0.5318571833190873,0.0,0.6163739250541914,0.5812549114765666
generic_ternary,0.4,wrong,0.9295403160874447,0.8142213857953305,0.20770838139256423,0.9160677363624097,0.8142213857953305,0.8143793478408716,0.0,0.7416088680852315,0.6889010817457208
fibonacci,0.4,overload,0.9541947238383173,0.8058788125477453,0.21065126192200767,0.8992768077203793,0.8058788125477453,0.8056796165742549,0.0,0.7402376820918706,0.6857824604917714
generic_ternary,0.4,overload,0.9293327539301384,0.8339407700965585,0.0007820997019081653,0.9200286657740449,0.8339407700965585,0.8335957676819432,0.0,0.7209068002935075,0.6541107058231517
