family,scenario,access_fidelity,repair_score,repair_gain,identity_restore,scene_restore,direction_restore,avg_switch_paid,score_balanced,score_access_heavy,score_repair_heavy,score_identity_heavy,seed,noise_level
fibonacci,uniform_0.20,0.9691483453687092,0.7347769917452468,0.35341651242558053,0.792010871474635,0.7347769917452468,0.7330871331232812,0.0,0.7127787937381027,0.7553990741641942,0.6668460060296536,0.7128934056064166,20260526,0.2
generic_ternary,uniform_0.20,0.9467977929564714,0.772841177004389,0.17416952783746095,0.832852930640609,0.772841177004389,0.7720169606350735,0.0,0.706709883409802,0.7472648173274805,0.650327431974054,0.7185467894176586,20260526,0.2
fibonacci,uniform_0.30,0.9601923981172917,0.6956365148115863,0.3328479314325984,0.7674502704449597,0.6956365148115863,0.6939569096948772,0.0,0.6846495265433789,0.7305005752943815,0.637455697741895,0.6836877055614635,20260526,0.3
generic_ternary,uniform_0.30,0.9363991345066459,0.7550263492343682,0.16652604884134511,0.8215676830662192,0.7550263492343682,0.7541402648802724,0.0,0.6928741486515335,0.7339694118041924,0.6365481956816259,0.7046608473961417,20260526,0.3
fibonacci,uniform_0.40,0.954045456309484,0.6830634907726122,0.3105327631957808,0.7655466907364276,0.6830634907726122,0.6813851605828377,0.0,0.673501005209568,0.7202238227226093,0.6250043815460907,0.6737044024873214,20260526,0.4
generic_ternary,uniform_0.40,0.9290598214608878,0.7447013887266247,0.1596325656201051,0.8200902682801436,0.7447013887266247,0.743900509863655,0.0,0.6850009519110818,0.7261415747436172,0.6285836148224977,0.6975968875388641,20260526,0.4
fibonacci,uniform_0.20,0.969120224117833,0.7271756194418095,0.3607283019373497,0.7856442217746601,0.7271756194418095,0.7253736438747905,0.0,0.7090974367662201,0.7522991416543625,0.6635959689218484,0.7083181864648722,20260527,0.2
generic_ternary,uniform_0.20,0.9466698399436887,0.764345634845481,0.17651879981524704,0.8233289821762841,0.764345634845481,0.763815761361686,0.0,0.7014044716876386,0.7428216587065605,0.6451073170285474,0.7121158767488556,20260527,0.2
fibonacci,uniform_0.30,0.9600584490645365,0.6960134596874691,0.33624077455563783,0.7694697826537604,0.6960134596874691,0.6941548899034428,0.0,0.6855962177704477,0.7312449356374047,0.6386468959205924,0.6847965354620148,20260527,0.3
generic_ternary,uniform_0.30,0.936096651335195,0.7533166872529253,0.16517774560893886,0.8219509060118338,0.7533166872529253,0.7527097497713864,0.0,0.6918559310143868,0.7330606145465338,0.635407812659214,0.7037940812009675,20260527,0.3
fibonacci,uniform_0.40,0.954064300208391,0.6775929577759162,0.31151186091742844,0.7570215976995519,0.6775929577759162,0.6756934842612705,0.0,0.6696044366949864,0.7170049720193109,0.6211617397967902,0.6687758906610693,20260527,0.4
generic_ternary,uniform_0.40,0.9289201335946335,0.7391623930631988,0.15922719282240286,0.8127410859853592,0.7391623930631988,0.7381441752362095,0.0,0.681007732397642,0.7228154221829514,0.6245467731003994,0.6927802170639621,20260527,0.4
fibonacci,uniform_0.20,0.9691701725074894,0.7280583500667784,0.3607002662753741,0.7863182948027144,0.7280583500667784,0.726308371894036,0.0,0.7096534969706889,0.7527695951926896,0.6641543847713116,0.7089415867231186,20260528,0.2
generic_ternary,uniform_0.20,0.9466287812105316,0.772436394503202,0.1725732011532372,0.8324193051821911,0.772436394503202,0.7717202866724926,0.0,0.7061854132694152,0.746804561280106,0.6496955750830768,0.7180365354432893,20260528,0.2
fibonacci,uniform_0.30,0.9601713422252974,0.6978809230886899,0.33072037495622536,0.7696432276069245,0.6978809230886899,0.695830556089397,0.0,0.6857217153239828,0.7314068396614996,0.6384221387285642,0.6850618941544058,20260528,0.3
generic_ternary,uniform_0.30,0.9360560708378441,0.7541101562909651,0.16072508392255092,0.8219656905296864,0.7541101562909651,0.7533658986908504,0.0,0.6915582698408698,0.7328337969013294,0.634824299148949,0.7036179257232046,20260528,0.3
fibonacci,uniform_0.40,0.9541212525581135,0.6729836937379002,0.32372254746845286,0.75688782958248,0.6729836937379002,0.6713279871478565,0.0,0.6691592979497061,0.7165620518267842,0.6214637569762842,0.6680371082260675,20260528,0.4
generic_ternary,uniform_0.40,0.929187375815527,0.7472540101471394,0.15945053338640083,0.8238455241808474,0.7472540101471394,0.7466073132136543,0.0,0.6868618843317396,0.7277012492537991,0.6304273914113541,0.699891749236138,20260528,0.4
fibonacci,uniform_0.20,0.9691316863540649,0.7304937367884634,0.3578556859302494,0.7885215966203454,0.7304937367884634,0.7287395677136596,0.0,0.7107666726864132,0.7537019998101276,0.6650984030165116,0.7103808583343083,20260529,0.2
generic_ternary,uniform_0.20,0.9461572596184951,0.7668575865050898,0.1773550494608786,0.8281598256302929,0.7668575865050898,0.7664741351682643,0.0,0.7034299587393957,0.7443970944796842,0.6472269574728179,0.7147365175745579,20260529,0.2
fibonacci,uniform_0.30,0.9602043586524335,0.7002293851880247,0.3312528522422717,0.7733325992728136,0.7002293851880247,0.6986761631862544,0.0,0.6876103987514962,0.732960755702431,0.6403306725273816,0.6873695824737209,20260529,0.3
generic_ternary,uniform_0.30,0.9356217748114063,0.7508121747145378,0.16446828001044994,0.8197229792335435,0.7508121747145378,0.7503722344136281,0.0,0.6900931401610126,0.7315114738951722,0.6335971884938325,0.7018526941788475,20260529,0.3
fibonacci,uniform_0.40,0.9541099995924028,0.6749777415367928,0.3183987631084264,0.7567783224411256,0.6749777415367928,0.6731571962071502,0.0,0.6693143517198635,0.7167272470398519,0.6212962640428679,0.6682970104925324,20260529,0.4
generic_ternary,uniform_0.40,0.9296063925266554,0.7440612339091047,0.15657830529718061,0.8182644487537668,0.7440612339091047,0.7438476254487987,0.0,0.6841462672984796,0.7255316613409699,0.6274474978808097,0.6965714243126363,20260529,0.4
fibonacci,uniform_0.20,0.969133336175202,0.7292964138772797,0.3557457803845179,0.7856952491058988,0.7292964138772797,0.7275536788601961,0.0,0.7094296183446803,0.7526084781651678,0.6636172686149211,0.708763604795179,20260530,0.2
generic_ternary,uniform_0.20,0.9466125317321963,0.7690706077275699,0.17729018221459653,0.8270972601445362,0.7690706077275699,0.7684664437797912,0.0,0.7044253019719273,0.7453239927228442,0.6482472599388684,0.7155127839916743,20260530,0.2
fibonacci,uniform_0.30,0.9600567832271715,0.6969170769813329,0.3332893172074917,0.769841513594399,0.6969170769813329,0.6951418223170683,0.0,0.6856732315567446,0.7313226528591985,0.6385276302399914,0.6849933120633488,20260530,0.3
generic_ternary,uniform_0.30,0.9357150071697419,0.7535009929894779,0.16305932328773087,0.8216817142552163,0.7535009929894779,0.7531534912225847,0.0,0.6915525282950954,0.7327476938217573,0.6349800581572393,0.7035486759986038,20260530,0.3
fibonacci,uniform_0.40,0.9540729694233819,0.6817480731441238,0.3108689193082683,0.7638602070839644,0.6817480731441238,0.6799391370796382,0.0,0.6726266590059002,0.7195056018851012,0.6241484519988757,0.6726235299701697,20260530,0.4
generic_ternary,uniform_0.40,0.9291101253973427,0.74827344825214,0.15248285068960618,0.8222294348535572,0.74827344825214,0.747835511511626,0.0,0.686099901525936,0.7270939714921236,0.629209962495954,0.699116584171975,20260530,0.4
