fields,field_count,action_f1,private_f1,bits
latency_us,1,0.17240115835158676,0.010416666666666666,176
retry_count,1,0.5423316999340897,0.017779451502102934,184
refusal_cause,1,0.6588841793029127,0.01649447842379216,200
confidence_delta,1,0.9821763572898862,0.028164551371945106,224
entropy_delta,1,0.951385407135556,0.022565471069277313,200
stability_delta,1,0.8874327463110075,0.017738586918427765,216
queue_pressure,1,0.6764540409372702,0.020475075025396243,208
latency_us+retry_count,2,0.5403069391862837,0.0177214194205749,288
latency_us+refusal_cause,2,0.9655196965968885,0.012718960159292777,304
latency_us+confidence_delta,2,0.9933943460876344,0.026130209686023118,312
latency_us+entropy_delta,2,0.9517932446950078,0.025369945201150764,304
latency_us+stability_delta,2,0.8989047536146945,0.023138950308812325,320
latency_us+queue_pressure,2,0.7040824856305282,0.02146330352909039,312
retry_count+refusal_cause,2,0.6809994783042003,0.01649447842379216,296
retry_count+confidence_delta,2,0.9860933145156906,0.02912290262318942,336
retry_count+entropy_delta,2,0.957298131306593,0.0248577906990823,312
retry_count+stability_delta,2,0.8952481639149518,0.018090893043369933,328
retry_count+queue_pressure,2,0.772112841141074,0.02040370317260235,320
refusal_cause+confidence_delta,2,0.9997679962527212,0.032033507974874455,352
refusal_cause+entropy_delta,2,0.9803397711136896,0.031512362446582655,328
refusal_cause+stability_delta,2,0.9191567418573815,0.025660759849920365,344
refusal_cause+queue_pressure,2,0.9770143844414901,0.02061720218217068,336
confidence_delta+entropy_delta,2,0.9962974410560457,0.028610845843471455,304
confidence_delta+stability_delta,2,0.9966867488663791,0.029020602774624555,328
confidence_delta+queue_pressure,2,0.9877291560692395,0.02770568594396477,360
entropy_delta+stability_delta,2,0.9837929186265363,0.023328197528608846,296
entropy_delta+queue_pressure,2,0.9682243106102398,0.02121130860633956,336
stability_delta+queue_pressure,2,0.9355190086341834,0.019898170232318883,352
latency_us+retry_count+refusal_cause,3,0.9701974313190114,0.012906627548210857,384
latency_us+retry_count+confidence_delta,3,0.9941135102740754,0.026584075390187284,416
latency_us+retry_count+entropy_delta,3,0.9573451748101647,0.025365308533750113,400
latency_us+retry_count+stability_delta,3,0.9110835751595707,0.022752957605688354,416
latency_us+retry_count+queue_pressure,3,0.7694783278457585,0.021457679444245994,408
latency_us+refusal_cause+confidence_delta,3,0.9998955641972156,0.03698309074377366,432
latency_us+refusal_cause+entropy_delta,3,0.9978112628285952,0.031023008312022107,416
latency_us+refusal_cause+stability_delta,3,0.9921193796884124,0.022873635450484864,432
latency_us+refusal_cause+queue_pressure,3,0.9983569423610629,0.01979492012504813,424
latency_us+confidence_delta+entropy_delta,3,0.9982708861933215,0.02583606294319243,392
latency_us+confidence_delta+stability_delta,3,0.9977885193223391,0.02703331569702933,408
latency_us+confidence_delta+queue_pressure,3,0.9957653435387647,0.026896679010356358,440
latency_us+entropy_delta+stability_delta,3,0.9839850574389764,0.024365410394446868,384
latency_us+entropy_delta+queue_pressure,3,0.9692596825199966,0.025687399062038194,424
latency_us+stability_delta+queue_pressure,3,0.9382086504687276,0.023176887234774467,448
retry_count+refusal_cause+confidence_delta,3,0.9997810507485155,0.032272523331497334,440
retry_count+refusal_cause+entropy_delta,3,0.9808928782310585,0.0313671310831466,416
retry_count+refusal_cause+stability_delta,3,0.9203132699926786,0.02569289374399525,432
retry_count+refusal_cause+queue_pressure,3,0.9785752638053818,0.02056769732010726,424
retry_count+confidence_delta+entropy_delta,3,0.996989110232848,0.029147862824442577,408
retry_count+confidence_delta+stability_delta,3,0.9968930788056246,0.029123324304828332,424
retry_count+confidence_delta+queue_pressure,3,0.9906062512020171,0.029176889283044963,464
retry_count+entropy_delta+stability_delta,3,0.9850179965616114,0.024854729097950657,392
retry_count+entropy_delta+queue_pressure,3,0.9730251353380598,0.023833944129845814,432
retry_count+stability_delta+queue_pressure,3,0.9413239170817779,0.02048403527343207,456
refusal_cause+confidence_delta+entropy_delta,3,0.999935321255038,0.03280377505452956,424
refusal_cause+confidence_delta+stability_delta,3,0.99984453494067,0.03256083780466171,440
refusal_cause+confidence_delta+queue_pressure,3,0.9998718329494212,0.03308586935513785,472
refusal_cause+entropy_delta+stability_delta,3,0.9901806523877634,0.03191647700704502,408
refusal_cause+entropy_delta+queue_pressure,3,0.9920359614359868,0.030945036835887715,448
refusal_cause+stability_delta+queue_pressure,3,0.9734725916322039,0.02557777754646812,472
confidence_delta+entropy_delta+stability_delta,3,0.9991152461930563,0.0290890810098296,384
confidence_delta+entropy_delta+queue_pressure,3,0.9975495172276716,0.0283806738365557,424
confidence_delta+stability_delta+queue_pressure,3,0.9977380566708621,0.029698386350963404,448
entropy_delta+stability_delta+queue_pressure,3,0.9899661080671263,0.023256358352183888,416
latency_us+retry_count+refusal_cause+confidence_delta,4,0.9998564010082319,0.03694999592938524,520
latency_us+retry_count+refusal_cause+entropy_delta,4,0.9980461598850975,0.03098218953800856,504
latency_us+retry_count+refusal_cause+stability_delta,4,0.9929915289411447,0.022968198164136547,512
latency_us+retry_count+refusal_cause+queue_pressure,4,0.9984607166547249,0.020217773397591603,504
latency_us+retry_count+confidence_delta+entropy_delta,4,0.9984797941073976,0.02613667817104742,496
latency_us+retry_count+confidence_delta+stability_delta,4,0.9978898284585539,0.027379086207403976,512
latency_us+retry_count+confidence_delta+queue_pressure,4,0.9961981799920686,0.027454069258997873,536
latency_us+retry_count+entropy_delta+stability_delta,4,0.9850095134484415,0.024354316315698416,488
latency_us+retry_count+entropy_delta+queue_pressure,4,0.9730183090307974,0.02581543869436952,504
latency_us+retry_count+stability_delta+queue_pressure,4,0.9463042739181192,0.023084672052050947,528
latency_us+refusal_cause+confidence_delta+entropy_delta,4,0.9999738910493039,0.03761412397098751,512
latency_us+refusal_cause+confidence_delta+stability_delta,4,0.9999738909630396,0.036974276035330565,528
latency_us+refusal_cause+confidence_delta+queue_pressure,4,1.0,0.03613953826881037,544
latency_us+refusal_cause+entropy_delta+stability_delta,4,0.9993757721989001,0.0322265339489777,504
latency_us+refusal_cause+entropy_delta+queue_pressure,4,0.9997282376782349,0.03135664090078496,512
latency_us+refusal_cause+stability_delta+queue_pressure,4,0.9989343156489284,0.024874760779219195,528
latency_us+confidence_delta+entropy_delta+stability_delta,4,0.9994155252815894,0.026683437158971462,472
latency_us+confidence_delta+entropy_delta+queue_pressure,4,0.9990903385558031,0.02695744126947655,512
latency_us+confidence_delta+stability_delta+queue_pressure,4,0.9987315334491301,0.02815797175481453,528
latency_us+entropy_delta+stability_delta+queue_pressure,4,0.9899894686442424,0.02557737977031232,504
retry_count+refusal_cause+confidence_delta+entropy_delta,4,0.999935321255038,0.03307309267173989,520
retry_count+refusal_cause+confidence_delta+stability_delta,4,0.9998575894017181,0.03281829690312166,528
retry_count+refusal_cause+confidence_delta+queue_pressure,4,0.9998463195388302,0.03329111354730418,536
retry_count+refusal_cause+entropy_delta+stability_delta,4,0.9901920148604471,0.03200436648108229,504
retry_count+refusal_cause+entropy_delta+queue_pressure,4,0.9920490445782651,0.03083938853120753,520
retry_count+refusal_cause+stability_delta+queue_pressure,4,0.973185838490934,0.025412686590178302,536
retry_count+confidence_delta+entropy_delta+stability_delta,4,0.9991917558215655,0.028875116631616498,488
retry_count+confidence_delta+entropy_delta+queue_pressure,4,0.997783287500268,0.029321336979213405,528
