source,shuffled,bestStrategyMode,improvementMean,mismatchRateMean,shockRateMean,replayRate,leakRate,summaryRatioMean,windowCount
argmax,0,argmax,0.35342360511903864,0.4774305555555556,0.11414930555555557,1.0,0.0,3.8259156317290626,48
argmax,1,argmax,0.4042306405305915,0.4246961805555556,0.12955729166666666,1.0,0.0,3.9352555748279747,48
human_jitter,0,argmax,0.3329993254973867,0.49066840277777773,0.12196180555555557,1.0,0.0,2.953987649388974,48
human_jitter,1,argmax,0.37044196897942233,0.45269097222222227,0.14192708333333334,1.0,0.0,2.9962762246067176,48
phi_resettable,0,argmax,0.09978392314731105,0.7463107638888888,0.12999131944444445,1.0,0.0,2.497351293490524,48
phi_resettable,1,continue_phi,0.08431679971154822,0.607421875,0.16362847222222224,1.0,0.0,2.507134176073063,48
prng,0,argmax,0.10323351710719407,0.6527777777777778,0.1427951388888889,1.0,0.0,2.406343508228032,48
prng,1,argmax,0.10163937734727874,0.6575520833333334,0.16493055555555555,1.0,0.0,2.413916385874344,48
sqrt2_resettable,0,reset_sqrt2,0.1449963435114612,0.708984375,0.11566840277777778,1.0,0.0,2.9255676233196386,48
sqrt2_resettable,1,argmax,0.20916685325308623,0.6458333333333334,0.12608506944444445,1.0,0.0,2.951360160282242,48
