policy,scenario_id,seed,heard_signal,status,selected_carrier,confidence,echo_correlation,external_accuracy,false_voice,self_echo_rejected,self_echo_contamination,authority_flip,identity_accretion
attuned_archive_single,ldr_external_clean,1618,1,external_heard,5.0/10.0,0.8036741603882787,0.26439985482929473,1.0,0,0,0.0,0,0.0
attuned_witness_quorum,ldr_external_clean,1618,1,quorum_external_heard,5.0/10.0,0.8085185028935244,0.2693474294932668,1.0,0,0,0.0,0,0.0
echo_naive_single,ldr_external_clean,1618,1,heard_raw_timing,5.0/10.0,0.8036741603882787,0.26439985482929473,1.0,0,0,0.0,0,0.0
identity_accumulator,ldr_external_clean,1618,1,self_reinforcing_heard,5.0/10.0,0.8036741603882787,0.26439985482929473,1.0,0,0,0.0,0,0.0
random_decoder,ldr_external_clean,1618,1,random_guess,5.0/10.0,0.5,0.26439985482929473,0.540625,0,0,0.0,0,0.0
attuned_archive_single,ldr_external_with_echo,1618,1,external_heard,5.0/10.0,0.7448177579609452,0.41932388166478923,0.996875,0,0,0.0,0,0.0
attuned_witness_quorum,ldr_external_with_echo,1618,1,quorum_external_heard,5.0/10.0,0.7378396586711657,0.4288991301063379,1.0,0,0,0.0,0,0.0
echo_naive_single,ldr_external_with_echo,1618,1,heard_raw_timing,5.0/10.0,0.7448177579609452,0.41932388166478923,0.996875,0,0,0.0,0,0.0
identity_accumulator,ldr_external_with_echo,1618,1,self_reinforcing_heard,5.0/10.0,0.7448177579609452,0.41932388166478923,0.996875,0,0,0.0,0,0.0
random_decoder,ldr_external_with_echo,1618,1,random_guess,5.0/10.0,0.5,0.41932388166478923,0.528125,0,0,0.0,0,0.0
attuned_archive_single,ldr_external_edge_noise,1618,1,external_heard,5.0/10.0,0.64317911657459,0.2159331844852367,0.978125,0,0,0.0,0,0.0
attuned_witness_quorum,ldr_external_edge_noise,1618,1,quorum_external_heard,5.0/10.0,0.6631600341062426,0.21422431544756804,0.996875,0,0,0.0,0,0.0
echo_naive_single,ldr_external_edge_noise,1618,1,heard_raw_timing,5.0/10.0,0.64317911657459,0.2159331844852367,0.978125,0,0,0.0,0,0.0
identity_accumulator,ldr_external_edge_noise,1618,1,self_reinforcing_heard,5.0/10.0,0.64317911657459,0.2159331844852367,0.978125,0,0,0.0,0,0.0
random_decoder,ldr_external_edge_noise,1618,1,random_guess,5.0/10.0,0.5,0.2159331844852367,0.503125,0,0,0.0,0,0.0
attuned_archive_single,ldr_shuffled_timing_control,1618,1,external_heard,5.0/10.0,0.7971249424495469,0.07520494231022087,0.4875,0,0,0.0,0,0.0
attuned_witness_quorum,ldr_shuffled_timing_control,1618,0,quorum_release_noise,none,0.8076195098927724,0.052420772422456796,0.0,0,0,0.0,0,0.0
echo_naive_single,ldr_shuffled_timing_control,1618,1,heard_raw_timing,5.0/10.0,0.7971249424495469,0.07520494231022087,0.4875,0,0,0.0,0,0.0
identity_accumulator,ldr_shuffled_timing_control,1618,1,self_reinforcing_heard,5.0/10.0,0.7971249424495469,0.07520494231022087,0.4875,0,0,0.0,0,0.0
random_decoder,ldr_shuffled_timing_control,1618,0,random_guess,5.0/10.0,0.5,0.07520494231022087,0.0,0,0,0.0,0,0.0
attuned_archive_single,ldr_self_echo_only,1618,0,rejected_self_echo,5.0/10.0,0.8780719706391971,0.9863041460447106,0.0,0,1,0.0,0,0.0
attuned_witness_quorum,ldr_self_echo_only,1618,0,quorum_rejected_self_echo,none,0.8816689824379748,0.9867277350375415,0.0,0,1,0.0,0,0.0
echo_naive_single,ldr_self_echo_only,1618,1,heard_raw_timing,5.0/10.0,0.8780719706391971,0.9863041460447106,0.0,1,0,1.0,0,0.0
identity_accumulator,ldr_self_echo_only,1618,1,self_reinforcing_heard,5.0/10.0,0.8780719706391971,0.9863041460447106,0.0,1,0,1.0,0,1.0
random_decoder,ldr_self_echo_only,1618,1,random_guess,5.0/10.0,0.5,0.9863041460447106,0.0,1,0,0.49375,0,0.0
attuned_archive_single,ldr_noise_only,1618,0,release_noise,7.0/14.0,0.5282080442856598,0.0015331515472430878,0.0,0,0,0.0,0,0.0
attuned_witness_quorum,ldr_noise_only,1618,0,quorum_release_noise,none,0.5432063857030617,0.046991187284192,0.0,0,0,0.0,0,0.0
echo_naive_single,ldr_noise_only,1618,1,heard_raw_timing,7.0/14.0,0.5282080442856598,0.0015331515472430878,0.0,1,0,0.5125,0,0.0
identity_accumulator,ldr_noise_only,1618,1,self_reinforcing_heard,7.0/14.0,0.5282080442856598,0.0015331515472430878,0.0,1,0,0.5125,0,0.5125
random_decoder,ldr_noise_only,1618,0,random_guess,7.0/14.0,0.5,0.0015331515472430878,0.0,0,0,0.0,0,0.0
attuned_archive_single,ldr_external_clean,2718,1,external_heard,5.0/10.0,0.8069967642956353,0.2756775546692397,1.0,0,0,0.0,0,0.0
attuned_witness_quorum,ldr_external_clean,2718,1,quorum_external_heard,5.0/10.0,0.8147960905426687,0.27816060322568964,1.0,0,0,0.0,0,0.0
echo_naive_single,ldr_external_clean,2718,1,heard_raw_timing,5.0/10.0,0.8069967642956353,0.2756775546692397,1.0,0,0,0.0,0,0.0
identity_accumulator,ldr_external_clean,2718,1,self_reinforcing_heard,5.0/10.0,0.8069967642956353,0.2756775546692397,1.0,0,0,0.0,0,0.0
random_decoder,ldr_external_clean,2718,0,random_guess,5.0/10.0,0.5,0.2756775546692397,0.0,0,0,0.0,0,0.0
attuned_archive_single,ldr_external_with_echo,2718,1,external_heard,5.0/10.0,0.7177939078060215,0.47512637593734425,0.99375,0,0,0.0,0,0.0
attuned_witness_quorum,ldr_external_with_echo,2718,1,quorum_external_heard,5.0/10.0,0.7269774431288484,0.466048977181394,1.0,0,0,0.0,0,0.0
echo_naive_single,ldr_external_with_echo,2718,1,heard_raw_timing,5.0/10.0,0.7177939078060215,0.47512637593734425,0.99375,0,0,0.0,0,0.0
identity_accumulator,ldr_external_with_echo,2718,1,self_reinforcing_heard,5.0/10.0,0.7177939078060215,0.47512637593734425,0.99375,0,0,0.0,0,0.0
random_decoder,ldr_external_with_echo,2718,1,random_guess,5.0/10.0,0.5,0.47512637593734425,0.4875,0,0,0.0,0,0.0
attuned_archive_single,ldr_external_edge_noise,2718,1,external_heard,5.0/10.0,0.6621816129144482,0.2447728198341101,0.971875,0,0,0.0,0,0.0
attuned_witness_quorum,ldr_external_edge_noise,2718,1,quorum_external_heard,5.0/10.0,0.6619349346785368,0.2548715786898979,0.996875,0,0,0.0,0,0.0
echo_naive_single,ldr_external_edge_noise,2718,1,heard_raw_timing,5.0/10.0,0.6621816129144482,0.2447728198341101,0.971875,0,0,0.0,0,0.0
identity_accumulator,ldr_external_edge_noise,2718,1,self_reinforcing_heard,5.0/10.0,0.6621816129144482,0.2447728198341101,0.971875,0,0,0.0,0,0.0
random_decoder,ldr_external_edge_noise,2718,1,random_guess,5.0/10.0,0.5,0.2447728198341101,0.45625,0,0,0.0,0,0.0
attuned_archive_single,ldr_shuffled_timing_control,2718,1,external_heard,5.0/10.0,0.810322895592593,0.03544566480475657,0.46875,0,0,0.0,0,0.0
attuned_witness_quorum,ldr_shuffled_timing_control,2718,0,quorum_release_noise,none,0.8130519352439106,0.04372164713690005,0.0,0,0,0.0,0,0.0
echo_naive_single,ldr_shuffled_timing_control,2718,1,heard_raw_timing,5.0/10.0,0.810322895592593,0.03544566480475657,0.46875,0,0,0.0,0,0.0
identity_accumulator,ldr_shuffled_timing_control,2718,1,self_reinforcing_heard,5.0/10.0,0.810322895592593,0.03544566480475657,0.46875,0,0,0.0,0,0.0
random_decoder,ldr_shuffled_timing_control,2718,0,random_guess,5.0/10.0,0.5,0.03544566480475657,0.0,0,0,0.0,0,0.0
attuned_archive_single,ldr_self_echo_only,2718,0,rejected_self_echo,5.0/10.0,0.88642894981306,0.9879570577879632,0.0,0,1,0.0,0,0.0
attuned_witness_quorum,ldr_self_echo_only,2718,0,quorum_rejected_self_echo,none,0.8889443404889801,0.9881379234374794,0.0,0,1,0.0,0,0.0
echo_naive_single,ldr_self_echo_only,2718,1,heard_raw_timing,5.0/10.0,0.88642894981306,0.9879570577879632,0.0,1,0,1.0,0,0.0
identity_accumulator,ldr_self_echo_only,2718,1,self_reinforcing_heard,5.0/10.0,0.88642894981306,0.9879570577879632,0.0,1,0,1.0,0,1.0
random_decoder,ldr_self_echo_only,2718,1,random_guess,5.0/10.0,0.5,0.9879570577879632,0.0,1,0,0.528125,0,0.0
attuned_archive_single,ldr_noise_only,2718,0,release_noise,7.0/14.0,0.48557958020211744,0.16722074103925139,0.0,0,0,0.0,0,0.0
attuned_witness_quorum,ldr_noise_only,2718,0,quorum_release_noise,none,0.5096022510485625,0.10180498405370804,0.0,0,0,0.0,0,0.0
echo_naive_single,ldr_noise_only,2718,1,heard_raw_timing,7.0/14.0,0.48557958020211744,0.16722074103925139,0.0,1,0,0.475,0,0.0
identity_accumulator,ldr_noise_only,2718,1,self_reinforcing_heard,7.0/14.0,0.48557958020211744,0.16722074103925139,0.0,1,0,0.475,0,0.475
random_decoder,ldr_noise_only,2718,1,random_guess,7.0/14.0,0.5,0.16722074103925139,0.0,1,0,0.534375,0,0.0
attuned_archive_single,ldr_external_clean,3141,1,external_heard,5.0/10.0,0.8137594249569592,0.11156803509284641,1.0,0,0,0.0,0,0.0
attuned_witness_quorum,ldr_external_clean,3141,1,quorum_external_heard,5.0/10.0,0.8190591509076034,0.09260613908232336,1.0,0,0,0.0,0,0.0
echo_naive_single,ldr_external_clean,3141,1,heard_raw_timing,5.0/10.0,0.8137594249569592,0.11156803509284641,1.0,0,0,0.0,0,0.0
identity_accumulator,ldr_external_clean,3141,1,self_reinforcing_heard,5.0/10.0,0.8137594249569592,0.11156803509284641,1.0,0,0,0.0,0,0.0
random_decoder,ldr_external_clean,3141,0,random_guess,5.0/10.0,0.5,0.11156803509284641,0.0,0,0,0.0,0,0.0
attuned_archive_single,ldr_external_with_echo,3141,1,external_heard,5.0/10.0,0.715771790372617,0.27654207350534665,0.996875,0,0,0.0,0,0.0
attuned_witness_quorum,ldr_external_with_echo,3141,1,quorum_external_heard,5.0/10.0,0.7244267006300049,0.272768839679681,1.0,0,0,0.0,0,0.0
echo_naive_single,ldr_external_with_echo,3141,1,heard_raw_timing,5.0/10.0,0.715771790372617,0.27654207350534665,0.996875,0,0,0.0,0,0.0
identity_accumulator,ldr_external_with_echo,3141,1,self_reinforcing_heard,5.0/10.0,0.715771790372617,0.27654207350534665,0.996875,0,0,0.0,0,0.0
random_decoder,ldr_external_with_echo,3141,0,random_guess,5.0/10.0,0.5,0.27654207350534665,0.0,0,0,0.0,0,0.0
attuned_archive_single,ldr_external_edge_noise,3141,1,external_heard,5.0/10.0,0.6566576405441819,0.10891885312288957,0.959375,0,0,0.0,0,0.0
attuned_witness_quorum,ldr_external_edge_noise,3141,1,quorum_external_heard,5.0/10.0,0.6626573180479532,0.10126089981878372,1.0,0,0,0.0,0,0.0
echo_naive_single,ldr_external_edge_noise,3141,1,heard_raw_timing,5.0/10.0,0.6566576405441819,0.10891885312288957,0.959375,0,0,0.0,0,0.0
identity_accumulator,ldr_external_edge_noise,3141,1,self_reinforcing_heard,5.0/10.0,0.6566576405441819,0.10891885312288957,0.959375,0,0,0.0,0,0.0
random_decoder,ldr_external_edge_noise,3141,0,random_guess,5.0/10.0,0.5,0.10891885312288957,0.0,0,0,0.0,0,0.0
attuned_archive_single,ldr_shuffled_timing_control,3141,1,external_heard,5.0/10.0,0.8325476552686066,0.06741168992311503,0.48125,0,0,0.0,0,0.0
attuned_witness_quorum,ldr_shuffled_timing_control,3141,0,quorum_release_noise,none,0.8214866055721828,0.04427074419975454,0.0,0,0,0.0,0,0.0
echo_naive_single,ldr_shuffled_timing_control,3141,1,heard_raw_timing,5.0/10.0,0.8325476552686066,0.06741168992311503,0.48125,0,0,0.0,0,0.0
identity_accumulator,ldr_shuffled_timing_control,3141,1,self_reinforcing_heard,5.0/10.0,0.8325476552686066,0.06741168992311503,0.48125,0,0,0.0,0,0.0
random_decoder,ldr_shuffled_timing_control,3141,1,random_guess,5.0/10.0,0.5,0.06741168992311503,0.553125,0,0,0.0,0,0.0
attuned_archive_single,ldr_self_echo_only,3141,0,rejected_self_echo,5.0/10.0,0.8844739383701508,0.9871239883134887,0.0,0,1,0.0,0,0.0
attuned_witness_quorum,ldr_self_echo_only,3141,0,quorum_rejected_self_echo,none,0.8800234455116217,0.9865136772796719,0.0,0,1,0.0,0,0.0
echo_naive_single,ldr_self_echo_only,3141,1,heard_raw_timing,5.0/10.0,0.8844739383701508,0.9871239883134887,0.0,1,0,1.0,0,0.0
identity_accumulator,ldr_self_echo_only,3141,1,self_reinforcing_heard,5.0/10.0,0.8844739383701508,0.9871239883134887,0.0,1,0,1.0,0,1.0
random_decoder,ldr_self_echo_only,3141,0,random_guess,5.0/10.0,0.5,0.9871239883134887,0.0,0,0,0.0,0,0.0
attuned_archive_single,ldr_noise_only,3141,0,release_noise,7.0/14.0,0.5294957199760586,0.06069143210814441,0.0,0,0,0.0,0,0.0
attuned_witness_quorum,ldr_noise_only,3141,0,quorum_release_noise,none,0.531666138927598,0.049857716692169096,0.0,0,0,0.0,0,0.0
echo_naive_single,ldr_noise_only,3141,1,heard_raw_timing,7.0/14.0,0.5294957199760586,0.06069143210814441,0.0,1,0,0.503125,0,0.0
identity_accumulator,ldr_noise_only,3141,1,self_reinforcing_heard,7.0/14.0,0.5294957199760586,0.06069143210814441,0.0,1,0,0.503125,0,0.503125
random_decoder,ldr_noise_only,3141,1,random_guess,7.0/14.0,0.5,0.06069143210814441,0.0,1,0,0.471875,0,0.0
attuned_archive_single,ldr_external_clean,5772,1,external_heard,5.0/10.0,0.8134880981190935,0.23571670917718904,1.0,0,0,0.0,0,0.0
attuned_witness_quorum,ldr_external_clean,5772,1,quorum_external_heard,5.0/10.0,0.8121811552988799,0.24921458179079944,1.0,0,0,0.0,0,0.0
echo_naive_single,ldr_external_clean,5772,1,heard_raw_timing,5.0/10.0,0.8134880981190935,0.23571670917718904,1.0,0,0,0.0,0,0.0
identity_accumulator,ldr_external_clean,5772,1,self_reinforcing_heard,5.0/10.0,0.8134880981190935,0.23571670917718904,1.0,0,0,0.0,0,0.0
random_decoder,ldr_external_clean,5772,0,random_guess,5.0/10.0,0.5,0.23571670917718904,0.0,0,0,0.0,0,0.0
attuned_archive_single,ldr_external_with_echo,5772,1,external_heard,5.0/10.0,0.7348975721333139,0.41324825877524074,0.996875,0,0,0.0,0,0.0
attuned_witness_quorum,ldr_external_with_echo,5772,1,quorum_external_heard,5.0/10.0,0.7370300721724125,0.4087236555070688,1.0,0,0,0.0,0,0.0
echo_naive_single,ldr_external_with_echo,5772,1,heard_raw_timing,5.0/10.0,0.7348975721333139,0.41324825877524074,0.996875,0,0,0.0,0,0.0
identity_accumulator,ldr_external_with_echo,5772,1,self_reinforcing_heard,5.0/10.0,0.7348975721333139,0.41324825877524074,0.996875,0,0,0.0,0,0.0
random_decoder,ldr_external_with_echo,5772,0,random_guess,5.0/10.0,0.5,0.41324825877524074,0.0,0,0,0.0,0,0.0
attuned_archive_single,ldr_external_edge_noise,5772,1,external_heard,5.0/10.0,0.6638922704295662,0.2562090173783621,0.95625,0,0,0.0,0,0.0
attuned_witness_quorum,ldr_external_edge_noise,5772,1,quorum_external_heard,5.0/10.0,0.6678315986027893,0.22248831986996329,0.996875,0,0,0.0,0,0.0
echo_naive_single,ldr_external_edge_noise,5772,1,heard_raw_timing,5.0/10.0,0.6638922704295662,0.2562090173783621,0.95625,0,0,0.0,0,0.0
identity_accumulator,ldr_external_edge_noise,5772,1,self_reinforcing_heard,5.0/10.0,0.6638922704295662,0.2562090173783621,0.95625,0,0,0.0,0,0.0
random_decoder,ldr_external_edge_noise,5772,0,random_guess,5.0/10.0,0.5,0.2562090173783621,0.0,0,0,0.0,0,0.0
attuned_archive_single,ldr_shuffled_timing_control,5772,1,external_heard,5.0/10.0,0.823822571465785,0.02294939493790746,0.5375,0,0,0.0,0,0.0
attuned_witness_quorum,ldr_shuffled_timing_control,5772,0,quorum_release_noise,none,0.8213544912242386,0.0767495764570169,0.0,0,0,0.0,0,0.0
echo_naive_single,ldr_shuffled_timing_control,5772,1,heard_raw_timing,5.0/10.0,0.823822571465785,0.02294939493790746,0.5375,0,0,0.0,0,0.0
identity_accumulator,ldr_shuffled_timing_control,5772,1,self_reinforcing_heard,5.0/10.0,0.823822571465785,0.02294939493790746,0.5375,0,0,0.0,0,0.0
random_decoder,ldr_shuffled_timing_control,5772,0,random_guess,5.0/10.0,0.5,0.02294939493790746,0.0,0,0,0.0,0,0.0
attuned_archive_single,ldr_self_echo_only,5772,0,rejected_self_echo,5.0/10.0,0.8968060822059355,0.9892904769158786,0.0,0,1,0.0,0,0.0
attuned_witness_quorum,ldr_self_echo_only,5772,0,quorum_rejected_self_echo,none,0.8862043625979759,0.9877793894820477,0.0,0,1,0.0,0,0.0
echo_naive_single,ldr_self_echo_only,5772,1,heard_raw_timing,5.0/10.0,0.8968060822059355,0.9892904769158786,0.0,1,0,1.0,0,0.0
identity_accumulator,ldr_self_echo_only,5772,1,self_reinforcing_heard,5.0/10.0,0.8968060822059355,0.9892904769158786,0.0,1,0,1.0,0,1.0
random_decoder,ldr_self_echo_only,5772,1,random_guess,5.0/10.0,0.5,0.9892904769158786,0.0,1,0,0.490625,0,0.0
attuned_archive_single,ldr_noise_only,5772,0,release_noise,6.0/12.0,0.5358593452902076,0.06519844142859785,0.0,0,0,0.0,0,0.0
attuned_witness_quorum,ldr_noise_only,5772,0,quorum_release_noise,none,0.5207407843254579,0.07826627197785861,0.0,0,0,0.0,0,0.0
echo_naive_single,ldr_noise_only,5772,1,heard_raw_timing,6.0/12.0,0.5358593452902076,0.06519844142859785,0.0,1,0,0.48125,0,0.0
identity_accumulator,ldr_noise_only,5772,1,self_reinforcing_heard,6.0/12.0,0.5358593452902076,0.06519844142859785,0.0,1,0,0.48125,0,0.48125
random_decoder,ldr_noise_only,5772,0,random_guess,6.0/12.0,0.5,0.06519844142859785,0.0,0,0,0.0,0,0.0
attuned_archive_single,ldr_external_clean,8111,1,external_heard,5.0/10.0,0.8025804961060277,0.028485318749755045,1.0,0,0,0.0,0,0.0
attuned_witness_quorum,ldr_external_clean,8111,1,quorum_external_heard,5.0/10.0,0.8094440615297315,0.03715318623122796,1.0,0,0,0.0,0,0.0
echo_naive_single,ldr_external_clean,8111,1,heard_raw_timing,5.0/10.0,0.8025804961060277,0.028485318749755045,1.0,0,0,0.0,0,0.0
identity_accumulator,ldr_external_clean,8111,1,self_reinforcing_heard,5.0/10.0,0.8025804961060277,0.028485318749755045,1.0,0,0,0.0,0,0.0
random_decoder,ldr_external_clean,8111,0,random_guess,5.0/10.0,0.5,0.028485318749755045,0.0,0,0,0.0,0,0.0
attuned_archive_single,ldr_external_with_echo,8111,1,external_heard,5.0/10.0,0.7312888511949064,0.24051800149939692,0.99375,0,0,0.0,0,0.0
attuned_witness_quorum,ldr_external_with_echo,8111,1,quorum_external_heard,5.0/10.0,0.7243338240641518,0.24244114398764202,1.0,0,0,0.0,0,0.0
echo_naive_single,ldr_external_with_echo,8111,1,heard_raw_timing,5.0/10.0,0.7312888511949064,0.24051800149939692,0.99375,0,0,0.0,0,0.0
identity_accumulator,ldr_external_with_echo,8111,1,self_reinforcing_heard,5.0/10.0,0.7312888511949064,0.24051800149939692,0.99375,0,0,0.0,0,0.0
random_decoder,ldr_external_with_echo,8111,1,random_guess,5.0/10.0,0.5,0.24051800149939692,0.4875,0,0,0.0,0,0.0
attuned_archive_single,ldr_external_edge_noise,8111,1,external_heard,5.0/10.0,0.6720703954106477,0.039426788911121696,0.971875,0,0,0.0,0,0.0
attuned_witness_quorum,ldr_external_edge_noise,8111,1,quorum_external_heard,5.0/10.0,0.6719019273062333,0.03948908381344001,0.996875,0,0,0.0,0,0.0
echo_naive_single,ldr_external_edge_noise,8111,1,heard_raw_timing,5.0/10.0,0.6720703954106477,0.039426788911121696,0.971875,0,0,0.0,0,0.0
identity_accumulator,ldr_external_edge_noise,8111,1,self_reinforcing_heard,5.0/10.0,0.6720703954106477,0.039426788911121696,0.971875,0,0,0.0,0,0.0
random_decoder,ldr_external_edge_noise,8111,1,random_guess,5.0/10.0,0.5,0.039426788911121696,0.5125,0,0,0.0,0,0.0
attuned_archive_single,ldr_shuffled_timing_control,8111,1,external_heard,5.0/10.0,0.8092359664278312,0.03356773634028044,0.54375,0,0,0.0,0,0.0
attuned_witness_quorum,ldr_shuffled_timing_control,8111,0,quorum_release_noise,none,0.8167114652391928,0.0406218550286039,0.0,0,0,0.0,0,0.0
echo_naive_single,ldr_shuffled_timing_control,8111,1,heard_raw_timing,5.0/10.0,0.8092359664278312,0.03356773634028044,0.54375,0,0,0.0,0,0.0
identity_accumulator,ldr_shuffled_timing_control,8111,1,self_reinforcing_heard,5.0/10.0,0.8092359664278312,0.03356773634028044,0.54375,0,0,0.0,0,0.0
random_decoder,ldr_shuffled_timing_control,8111,0,random_guess,5.0/10.0,0.5,0.03356773634028044,0.0,0,0,0.0,0,0.0
attuned_archive_single,ldr_self_echo_only,8111,0,rejected_self_echo,5.0/10.0,0.8872074949997902,0.9874621415523005,0.0,0,1,0.0,0,0.0
attuned_witness_quorum,ldr_self_echo_only,8111,0,quorum_rejected_self_echo,none,0.8838650390826609,0.9870682376782262,0.0,0,1,0.0,0,0.0
echo_naive_single,ldr_self_echo_only,8111,1,heard_raw_timing,5.0/10.0,0.8872074949997902,0.9874621415523005,0.0,1,0,1.0,0,0.0
identity_accumulator,ldr_self_echo_only,8111,1,self_reinforcing_heard,5.0/10.0,0.8872074949997902,0.9874621415523005,0.0,1,0,1.0,0,1.0
random_decoder,ldr_self_echo_only,8111,0,random_guess,5.0/10.0,0.5,0.9874621415523005,0.0,0,0,0.0,0,0.0
attuned_archive_single,ldr_noise_only,8111,0,release_noise,7.0/14.0,0.5499303165538789,0.10532613971690359,0.0,0,0,0.0,0,0.0
attuned_witness_quorum,ldr_noise_only,8111,0,quorum_release_noise,none,0.5328521553202776,0.07218716027467474,0.0,0,0,0.0,0,0.0
echo_naive_single,ldr_noise_only,8111,1,heard_raw_timing,7.0/14.0,0.5499303165538789,0.10532613971690359,0.0,1,0,0.4875,0,0.0
identity_accumulator,ldr_noise_only,8111,1,self_reinforcing_heard,7.0/14.0,0.5499303165538789,0.10532613971690359,0.0,1,0,0.4875,0,0.4875
random_decoder,ldr_noise_only,8111,0,random_guess,7.0/14.0,0.5,0.10532613971690359,0.0,0,0,0.0,0,0.0
