family,seed,steps,raw_json_bits,raw_zlib_bits,action_zlib_bits,best_candidate,mdl_bits,patch_bits,mismatch_rate,mdl_vs_zlib,mdl_vs_action_zlib,mdl_vs_raw_json
phi_rotation,1618,4096,3365600,170424,16640,phi_rotation,320,0,0.0,0.0018776698117636014,0.019230769230769232,9.507962918944617e-05
phi_rotation,2718,4096,3365552,170032,16536,phi_rotation,320,0,0.0,0.0018819986826009221,0.019351717464925013,9.508098522916895e-05
phi_rotation,3141,4096,3365592,170368,16752,phi_rotation,320,0,0.0,0.0018782870022539444,0.019102196752626553,9.507985519338054e-05
phi_rotation,4159,4096,3365584,170328,16648,phi_rotation,320,0,0.0,0.0018787281010755718,0.019221528111484865,9.508008119838934e-05
sqrt2_rotation,1618,4096,3365600,170696,13840,sqrt2_rotation,320,0,0.0,0.0018746777897548858,0.023121387283236993,9.507962918944617e-05
sqrt2_rotation,2718,4096,3365552,170928,13896,sqrt2_rotation,320,0,0.0,0.0018721332958906674,0.023028209556706966,9.508098522916895e-05
sqrt2_rotation,3141,4096,3365592,170624,13976,sqrt2_rotation,320,0,0.0,0.0018754688672168042,0.02289639381797367,9.507985519338054e-05
sqrt2_rotation,4159,4096,3365584,170768,13664,sqrt2_rotation,320,0,0.0,0.0018738873793685,0.0234192037470726,9.508008119838934e-05
vdc_base2,1618,4096,3365600,165520,15112,argmax,42605,42285,0.688232421875,0.257400918318028,2.819282689253573,0.012658961255051105
vdc_base2,2718,4096,3365552,166112,14808,argmax,42665,42345,0.689208984375,0.2568447794259295,2.8812128579146408,0.01267696948375779
vdc_base2,3141,4096,3365592,166080,15112,argmax,42935,42615,0.693603515625,0.25851999036608864,2.841119640021175,0.012757042446024354
vdc_base2,4159,4096,3365584,166840,14992,argmax,42950,42630,0.69384765625,0.2574322704387437,2.864861259338314,0.01276152964834632
prng,1618,4096,3365600,166880,18144,argmax,40745,40425,0.657958984375,0.24415747842761265,2.2456459435626104,0.01210631091038745
prng,2718,4096,3365552,167696,18168,argmax,41360,41040,0.66796875,0.24663677130044842,2.276530162923822,0.012289217340870085
prng,3141,4096,3365592,167904,18080,argmax,40685,40365,0.656982421875,0.24231108252334668,2.2502765486725664,0.012088512214195898
prng,4159,4096,3365584,168192,18160,argmax,41285,40965,0.666748046875,0.2454635178843227,2.2734030837004404,0.01226681610086095
argmax,1618,4096,3365600,153096,9568,argmax,1490,1170,0.01904296875,0.009732455452787793,0.15572742474916387,0.0004427145234133587
argmax,2718,4096,3365552,153672,9824,argmax,1490,1170,0.01904296875,0.009695975844656151,0.15166938110749187,0.0004427208374733179
argmax,3141,4096,3365592,153368,9640,argmax,1490,1170,0.01904296875,0.00971519482551771,0.1545643153526971,0.00044271557574417813
argmax,4159,4096,3365584,154888,9640,argmax,1490,1170,0.01904296875,0.009619854346366407,0.1545643153526971,0.0004427166280800004
mixed_low_discrepancy,1618,4096,3365600,169960,15816,argmax,41570,41250,0.67138671875,0.24458696163803248,2.6283510369246335,0.012351438079391491
mixed_low_discrepancy,2718,4096,3365552,170136,15992,argmax,40385,40065,0.652099609375,0.2373689283867024,2.5253251625812907,0.011999517463999961
mixed_low_discrepancy,3141,4096,3365592,169784,16080,argmax,41645,41325,0.672607421875,0.24528224096499082,2.589863184079602,0.01237375177977604
mixed_low_discrepancy,4159,4096,3365584,170344,15976,argmax,41510,41190,0.67041015625,0.2436833701216362,2.598272408612919,0.012333669282953567
human_jitter,1618,4096,3365600,156864,14160,argmax,7760,7440,0.12109375,0.04946960424316606,0.5480225988700564,0.0023056810078440695
human_jitter,2718,4096,3365552,157560,14136,argmax,7535,7215,0.117431640625,0.047823051535922825,0.5330362195812111,0.0022388600740680877
human_jitter,3141,4096,3365592,156936,14664,argmax,7700,7380,0.1201171875,0.04906458683794668,0.5250954719039825,0.0022878590155907194
human_jitter,4159,4096,3365584,158112,14232,argmax,7610,7290,0.11865234375,0.04813043918235175,0.5347105115233277,0.0022611231809991964
single_regime,1618,4096,3333600,128064,6088,phi_rotation,320,0,0.0,0.0024987506246876563,0.052562417871222074,9.599232061435085e-05
single_regime,2718,4096,3333600,127776,5968,phi_rotation,320,0,0.0,0.002504382669671926,0.05361930294906166,9.599232061435085e-05
single_regime,3141,4096,3333600,128360,5816,phi_rotation,320,0,0.0,0.0024929884699283265,0.055020632737276476,9.599232061435085e-05
single_regime,4159,4096,3333600,128536,5704,phi_rotation,320,0,0.0,0.0024895749050849567,0.056100981767180924,9.599232061435085e-05
