source,seed,generator,summary_bits,action_history_bits,summary_vs_action_history,residual_count,mismatch_rate,exact_replay,hidden_forbidden_leak,forbidden_hit_count,hidden_perturbation_stable,tamper_detected,illegal_positive_rejected,promotable_candidate
phi_rotation,1618,phi_rotation,2216,8656,0.256007393715342,0,0.0,True,False,0,True,True,True,True
phi_rotation,2718,phi_rotation,2216,8664,0.25577100646352724,0,0.0,True,False,0,True,True,True,True
phi_rotation,3141,phi_rotation,2216,8856,0.25022583559168926,0,0.0,True,False,0,True,True,True,True
phi_rotation,4159,phi_rotation,2216,8712,0.25436179981634527,0,0.0,True,False,0,True,True,True,True
sqrt2_rotation,1618,sqrt2_rotation,2232,7232,0.3086283185840708,0,0.0,True,False,0,True,True,True,True
sqrt2_rotation,2718,sqrt2_rotation,2224,7192,0.3092324805339266,0,0.0,True,False,0,True,True,True,True
sqrt2_rotation,3141,sqrt2_rotation,2232,7224,0.3089700996677741,0,0.0,True,False,0,True,True,True,True
sqrt2_rotation,4159,sqrt2_rotation,2208,7184,0.30734966592427615,0,0.0,True,False,0,True,True,True,True
argmax,1618,argmax,3568,4776,0.7470686767169179,34,0.0166015625,True,False,0,True,True,True,False
argmax,2718,argmax,3568,4928,0.724025974025974,34,0.0166015625,True,False,0,True,True,True,False
argmax,3141,argmax,3584,4992,0.717948717948718,34,0.0166015625,True,False,0,True,True,True,False
argmax,4159,argmax,3584,4864,0.7368421052631579,34,0.0166015625,True,False,0,True,True,True,False
human_jitter,1618,argmax,9168,7192,1.2747497219132369,236,0.115234375,True,False,0,True,True,True,False
human_jitter,2718,argmax,9240,7096,1.302142051860203,234,0.1142578125,True,False,0,True,True,True,False
human_jitter,3141,argmax,9608,7288,1.3183315038419319,256,0.125,True,False,0,True,True,True,False
human_jitter,4159,argmax,9232,7320,1.2612021857923497,237,0.11572265625,True,False,0,True,True,True,False
prng,1618,argmax,36336,9448,3.8458933107535986,1368,0.66796875,True,False,0,True,True,True,False
prng,2718,argmax,35408,9424,3.757215619694397,1333,0.65087890625,True,False,0,True,True,True,False
prng,3141,argmax,35720,9448,3.7806943268416595,1343,0.65576171875,True,False,0,True,True,True,False
prng,4159,argmax,35880,9464,3.791208791208791,1342,0.6552734375,True,False,0,True,True,True,False
