sampler,seed,regime,friction,distribution_l1,repeat_rate,coverage,mean_surprise,max_duplicate_run
phi_rotation,1618,smooth,0.19016770489564813,0.01208179550708511,0.0,1.0,0.832195890694156,1
sqrt2_rotation,1618,smooth,0.19334959057172407,0.021001524831565477,0.0,1.0,0.8334581771270306,1
vdc_base2,1618,smooth,0.2004208039257367,0.010242131187570301,0.032795997776542525,1.0,0.8342565848430177,2
prng,1618,smooth,0.35005092167695523,0.05566523856028138,0.21845469705391884,1.0,0.8193947794281952,6
phi_digits,1618,smooth,0.34436619410865427,0.05225834395761747,0.19955530850472486,1.0,0.817378126155433,7
periodic_lattice,1618,smooth,0.4243605810596617,0.15523867784265466,0.36853807670928296,1.0,0.8330588738160492,3
argmax,1618,smooth,0.9962932826733171,0.31524655964976706,0.9794330183435241,0.875,0.60291152895983,62
phi_rotation,1618,balanced,0.2471016246369762,0.011222587642100643,0.0,1.0,0.9981257755007051,1
sqrt2_rotation,1618,balanced,0.2465251743947596,0.00579588248606544,0.0,1.0,0.9984394780486486,1
vdc_base2,1618,balanced,0.2421609730661461,0.005562490348432675,0.0,1.0,0.9979991426701117,1
prng,1618,balanced,0.37251160167192887,0.06573761374609036,0.14396887159533073,1.0,0.9987364246896062,5
phi_digits,1618,balanced,0.3698610601795246,0.036349987596287284,0.11673151750972763,1.0,0.9979582409357688,5
periodic_lattice,1618,balanced,0.25156610691863573,0.0009742191046015064,0.0,1.0,1.0017223999312663,1
argmax,1618,balanced,1.2209913262718004,0.12907094707942368,0.9733185102834908,1.0,0.9474846781216513,40
phi_rotation,1618,spiky,0.23492970844983385,0.008143459915609608,0.31017231795441913,1.0,0.5520063236853602,4
sqrt2_rotation,1618,spiky,0.24262306067088701,0.005189873417723673,0.3179544191217343,1.0,0.552956985452353,4
vdc_base2,1618,spiky,0.25609936805582684,0.00849507735583721,0.38632573652028906,1.0,0.5504715944329147,6
prng,1618,spiky,0.3584823756443286,0.04018284106891802,0.4913841022790439,1.0,0.5262593639772273,16
phi_digits,1618,spiky,0.3710775084488018,0.03589310829817283,0.462479155086159,1.0,0.5643988232274068,20
periodic_lattice,1618,spiky,0.5364586363934072,0.2596202531645558,0.5997776542523624,1.0,0.5516967826730599,6
argmax,1618,spiky,0.7765586920265839,0.05407876230660835,0.9888827126181212,1.0,0.2011136766786703,89
phi_rotation,1618,bursty,0.24453525499238773,0.03133377513423341,0.013340744858254585,1.0,0.9395450772406682,2
sqrt2_rotation,1618,bursty,0.24618082356062365,0.030984850932620753,0.007226236798221234,1.0,0.940072230352821,2
vdc_base2,1618,bursty,0.25212874620874337,0.014658744316241465,0.014452473596442469,1.0,0.9372450166914119,3
prng,1618,bursty,0.3651232138573255,0.07334443395045266,0.18343524180100054,1.0,0.9298805448956936,6
phi_digits,1618,bursty,0.37098203536920205,0.049065553259440065,0.17120622568093385,1.0,0.9290543905306444,8
