sampler,seed,regime,write_count,friction,distribution_l1,repeat_rate,coverage,mean_surprise,authority_flip_count
phi_ternary,1618,smooth,2119,4.631498152850352,0.6115992829814456,0.6052880075542965,1.0,0.8718416645482443,0
phi_always_advance,1618,smooth,2119,4.253653183826381,0.01063131862112885,0.0009442870632672333,1.0,0.8320373290714573,0
phi_write_only,1618,smooth,2119,4.242886023434883,0.026848616170255905,0.0,1.0,0.8331382605613427,0
phi_reset_only,1618,smooth,2119,4.2207429754488786,0.01247066566694336,0.0,1.0,0.835099893620515,0
prng_ternary,1618,smooth,2119,4.228075950656319,0.03430961712009333,0.2237960339943343,1.0,0.8303756252836398,0
phi_ternary,1618,balanced,1272,3.139142963038764,1.147602462157533,0.003147128245476003,0.875,1.0008939651375186,0
phi_always_advance,1618,balanced,1272,2.6245162155126027,0.010711517569954629,0.0015735641227380016,1.0,0.9983146608520749,0
phi_write_only,1618,balanced,1272,2.6318506002083732,0.0069254359765615475,0.0,1.0,0.9983384734196762,0
phi_reset_only,1618,balanced,1272,2.641249641806891,0.030033437374386726,0.0,1.0,0.9983024812974673,0
prng_ternary,1618,balanced,1272,2.698275128996979,0.076793911574829,0.12588512981904013,1.0,0.9996912133786622,0
phi_ternary,1618,spiky,2119,4.579019533858346,0.31261461998434903,0.4990557129367328,1.0,0.699863403864039,0
phi_always_advance,1618,spiky,2119,4.310075114197284,0.006069258845528225,0.31067044381491976,1.0,0.5535381092240129,0
phi_write_only,1618,spiky,2119,4.291419050898015,0.003787313098488093,0.32011331444759206,1.0,0.5518841496661464,0
phi_reset_only,1618,spiky,2119,4.281228242192188,0.004504154694416521,0.31114258734655337,1.0,0.5527305626545996,0
prng_ternary,1618,spiky,2119,4.139505262330543,0.042114443760788225,0.4683663833805477,1.0,0.5656896993512156,0
phi_ternary,1618,bursty,1320,2.9060791252930134,0.4631247137288527,0.1425322213798332,1.0,0.9670712491632881,0
phi_always_advance,1618,bursty,1320,2.7175031742542957,0.015209134161794716,0.04927975739196361,1.0,0.9189794922286586,0
phi_write_only,1618,bursty,1320,2.7246976259516553,0.05594339069681106,0.019711902956785442,1.0,0.9233688846046958,0
phi_reset_only,1618,bursty,1320,2.722914467291611,0.019318714560983774,0.045489006823351025,1.0,0.9206291079923535,0
prng_ternary,1618,bursty,1320,2.7717715169558153,0.038536598238867556,0.1865049279757392,1.0,0.914688115845503,0
phi_ternary,1618,drifting,1556,3.5457090842986445,0.4722296280835571,0.30803858520900324,1.0,1.0340432444748027,0
phi_always_advance,1618,drifting,1556,3.190723396724174,0.006603151311223743,0.01607717041800643,1.0,0.9207041783826246,0
phi_write_only,1618,drifting,1556,3.190934717112339,0.014568093309184432,0.0006430868167202572,1.0,0.9229229694799601,0
phi_reset_only,1618,drifting,1556,3.1995321171360205,0.01873804553034289,0.014790996784565916,1.0,0.9222675169305153,0
prng_ternary,1618,drifting,1556,3.236077838357632,0.040167824655233636,0.17556270096463023,1.0,0.9211168976820763,0
phi_ternary,1618,inverted,2119,4.3423313188686405,0.3489704362578423,0.3904627006610009,1.0,0.807896556407917,0
phi_always_advance,1618,inverted,2119,4.309438233298341,0.010322518981368503,0.07318224740321058,1.0,0.774964980681837,0
phi_write_only,1618,inverted,2119,4.285701265958995,0.003476681740250412,0.07459867799811143,1.0,0.7730518715021585,0
phi_reset_only,1618,inverted,2119,4.298225098669734,0.005101522691025068,0.07318224740321058,1.0,0.7731154128797653,0
prng_ternary,1618,inverted,2119,4.1586182099241915,0.012974832886302079,0.2738432483474976,1.0,0.7693983234588674,0
phi_ternary,2718,smooth,2119,4.521180609690594,0.49387637979950827,0.5623229461756374,1.0,0.8603542555418867,0
phi_always_advance,2718,smooth,2119,4.245458165895627,0.007405650509188302,0.0,1.0,0.8316288860029792,0
phi_write_only,2718,smooth,2119,4.224669551212721,0.005901610126507195,0.0,1.0,0.8324661733934706,0
phi_reset_only,2718,smooth,2119,4.230935736347741,0.013068699117022187,0.0,1.0,0.8335589085986815,0
prng_ternary,2718,smooth,2119,4.2044746121210155,0.037048377469593566,0.210576015108593,1.0,0.8381374865607242,0
phi_ternary,2718,balanced,1272,2.813264437997938,1.161838620715268,0.0007867820613690008,0.75,1.0016200336467171,0
phi_always_advance,2718,balanced,1272,2.6299883756669757,0.02021402378957156,0.0015735641227380016,1.0,0.9979217263220249,0
