sampler,alpha_mean,alpha_std,friction_mean,friction_std,distribution_l1_mean,distribution_l1_std,repeat_rate_mean,repeat_rate_std,coverage_mean,coverage_std,mean_surprise_mean,mean_surprise_std,max_duplicate_run_mean,max_duplicate_run_std
random_alpha_21,0.5308667265730522,0.0,0.22380642260775463,0.019783231725574363,0.012579998063829922,0.004331085264022996,0.05339274546591619,0.1183633540875814,1.0,0.0,0.8385584584555076,0.1479998209552198,1571.5,15.016657417681207
random_alpha_27,0.4364843634583668,0.0,0.2260467745289895,0.024002543398654954,0.012279357785186998,0.005057940156390364,0.05675422138836773,0.11576606225954385,1.0,0.0,0.8389968910031521,0.1477337875440419,1572.125,15.221455526109628
sqrt2_minus_1,0.41421356237309515,0.0,0.2286641463517817,0.020414341406505825,0.011997095439050441,0.007926107038159207,0.06128830519074421,0.11467711614024781,1.0,0.0,0.8385436263759741,0.1478590229085432,1569.5416666666667,16.911483196008827
silver_inv,0.4142135623730951,0.0,0.2286641463517817,0.020414341406505825,0.011997095439050441,0.007926107038159207,0.06128830519074421,0.11467711614024781,1.0,0.0,0.8385436263759741,0.1478590229085432,1569.5416666666667,16.911483196008827
random_alpha_26,0.552391099267049,0.0,0.22926475668671809,0.02363970241592727,0.012472296344985492,0.007748276949321602,0.054773816968938925,0.11643597294931915,1.0,0.0,0.8384931277011226,0.14784854966545652,1570.2916666666667,16.969283933690964
phi_inv,0.6180339887498948,0.0,0.22984259199556212,0.01966100167898689,0.013813561171076188,0.010275702067527367,0.0670471127788201,0.11370524719695246,1.0,0.0,0.8389059284550834,0.14807206034427306,1572.2083333333333,16.44176381116765
random_alpha_22,0.5580680747481497,0.0,0.23162711918905599,0.02410910371417573,0.012492994836805271,0.007830738572522773,0.05597248280175109,0.11714468576474706,1.0,0.0,0.8390342630623485,0.148488242220461,1568.875,17.147187573088093
random_alpha_31,0.6174705763624556,0.0,0.23528208046677743,0.01806991950979117,0.010063573741718863,0.004039942048871752,0.0669428809672712,0.11379901245319718,1.0,0.0,0.8390046836290096,0.14773939263291805,1571.2916666666667,17.278308092968928
random_alpha_32,0.3207170108937793,0.0,0.24026755854857149,0.024455540929732587,0.013572514690347913,0.007600991336487436,0.08320304356889723,0.12211060061337314,1.0,0.0,0.8379829250684354,0.14788816810545458,1568.0833333333333,12.250566880307575
random_alpha_20,0.6913423037983438,0.0,0.2406758925370351,0.02301131303872407,0.011138525117501229,0.005797780490480253,0.0885709818636648,0.1270137411754053,1.0,0.0,0.8384346119373721,0.1479096439925996,1563.25,19.835259010156637
random_alpha_33,0.7347476589095757,0.0,0.24078175086599415,0.023761363996700414,0.0102973194493197,0.00464733875781897,0.1097300396080884,0.14144045356769966,1.0,0.0,0.837398167681016,0.150538454886758,1572.3333333333333,13.498971154211057
random_alpha_03,0.6806744155796229,0.0,0.24093735259610619,0.023916319554117643,0.013813275349682325,0.010192358049135476,0.08262976860537836,0.12239024907562869,1.0,0.0,0.8394880180661918,0.14763665198399553,1572.6666666666667,11.724854891307706
random_alpha_37,0.4853253334798466,0.0,0.24207089785825897,0.022560067182795334,0.015264233059601146,0.0044924849818858085,0.05420054200542005,0.12010187093256698,1.0,0.0,0.8385625827698336,0.148971012115811,1568.875,11.702252276093407
random_alpha_19,0.5163175852051484,0.0,0.24307873143646438,0.0203311422550561,0.015069296078326746,0.009787604693962448,0.05287158640817177,0.11767461951778475,1.0,0.0,0.8387476688453903,0.14838631283903597,1561.2083333333333,21.846012539795193
e_minus_2,0.7182818284590451,0.0,0.244166718893684,0.023753951067314615,0.021689742638663415,0.0181541707471709,0.10076610381488431,0.13605765033004474,1.0,0.0,0.8385296587511338,0.14824449637359333,1571.5,13.165611772087667
random_alpha_14,0.7177377654234341,0.0,0.24455515038082168,0.02176694666167574,0.013078155102046246,0.008324573138345948,0.10058369814467376,0.13576884647604742,1.0,0.0,0.8385289454425836,0.14841305026980095,1571.0,11.01135777277262
sqrt3_minus_1_frac,0.7320508075688772,0.0,0.24516111802560178,0.024470267363615038,0.011315121649760668,0.0046351924096476585,0.10832291015217844,0.13939869644538028,1.0,0.0,0.8390547715826545,0.14807962417211598,1571.1666666666667,14.90152863150474
random_alpha_12,0.7105113127491448,0.0,0.24697705161150685,0.02147354282597957,0.013870008745940236,0.00816261333552547,0.09680529497602669,0.1327477110068599,1.0,0.0,0.8379607053894533,0.14898359744567152,1560.4583333333333,50.79614418328313
random_alpha_30,0.2155044626931295,0.0,0.2494687803055642,0.017805664466009646,0.010700459526789198,0.005066627749554187,0.14991140296018343,0.15471720975777464,1.0,0.0,0.8386523046884197,0.1474344580998871,1571.3333333333333,15.186799823823613
random_alpha_16,0.45026355022824466,0.0,0.25026629088824176,0.03163635174088624,0.0146278344005415,0.0067608624062399005,0.053992078382322284,0.1166822873555347,1.0,0.0,0.8387370108713018,0.14806674242429624,1562.0833333333333,32.934172560157364
random_alpha_11,0.4919962471843407,0.0,0.25085042968459753,0.04150921215748808,0.025531929976010226,0.013212226826794609,0.05143839899937461,0.11400157537238505,1.0,0.0,0.8382446712655985,0.1445291155201816,1551.75,11.10273990208423
random_alpha_06,0.7819631237407766,0.0,0.25362376051378427,0.017750581364949936,0.010101509146325164,0.00514784754054404,0.1476704190118824,0.15387605535424886,1.0,0.0,0.8382057356791043,0.14814317778738587,1571.7916666666667,15.43799200745428
random_alpha_25,0.4208355501926751,0.0,0.25435342742282624,0.033104566647444975,0.013560741860389336,0.008214975524136563,0.059490306441525954,0.11431107750354043,1.0,0.0,0.8393713259765989,0.14789000477341963,1555.0,37.72598573927526
random_alpha_34,0.7835594094345035,0.0,0.25642126920727243,0.017848812872200876,0.009540776697430862,0.003766455741072657,0.1483479257869502,0.15448188095468632,1.0,0.0,0.8388429522237592,0.14777798615919577,1573.9166666666667,12.844962263687487
