policy,target,mae,gain_vs_projection,gain_vs_shuffled,leaky_gain,feature_bits,leakage
projection,delta_uncertainty_1,0.0070474873544583904,0.0,-1.6642867748870027e-08,0.0013502844970597686,480,0.0
receipt,delta_uncertainty_1,0.005306285548658054,0.0017412018058003366,0.0017411851629325877,0.0013502844970597686,632,0.0
shuffled,delta_uncertainty_1,0.007047470711590642,1.6642867748870027e-08,0.0,0.0013502844970597686,632,0.0
leaky,delta_uncertainty_1,0.003956001051598285,0.003091486302860105,0.0030914696599923562,0.0013502844970597686,704,1.0
projection,delta_uncertainty_2,0.012991557924831088,0.0,-4.5842334340032154e-08,0.0017563907943928814,480,0.0
receipt,delta_uncertainty_2,0.01066535941507538,0.002326198509755708,0.002326152667421368,0.0017563907943928814,632,0.0
shuffled,delta_uncertainty_2,0.012991512082496747,4.5842334340032154e-08,0.0,0.0017563907943928814,632,0.0
leaky,delta_uncertainty_2,0.008908968620682498,0.004082589304148589,0.004082543461814249,0.0017563907943928814,704,1.0
projection,delta_surprise_2,0.06497239111521888,0.0,2.1031546701411052e-06,2.0572697308665622e-05,480,0.0
receipt,delta_surprise_2,0.0647517102111894,0.00022068090402947715,0.00022278405869961826,2.0572697308665622e-05,632,0.0
shuffled,delta_surprise_2,0.06497449426988902,-2.1031546701411052e-06,0.0,2.0572697308665622e-05,632,0.0
leaky,delta_surprise_2,0.06473113751388074,0.00024125360133814278,0.00024335675600828388,2.0572697308665622e-05,704,1.0
