m,d,D2,classification
0,1.0,2.0,pointed / excluded control
1,1.61803398874989484820458683436563811772,3.61803398874989484820458683436563811772,Fibonacci floor
2,2.41421356237309504880168872420969807857,6.828427124746190097603377448419396157139,larger rank-2 non-pointed family member
3,3.302775637731994646559610633735247973126,11.90832691319598393967883190120574391938,larger rank-2 non-pointed family member
4,4.236067977499789696409173668731276235441,18.94427190999915878563669467492510494176,larger rank-2 non-pointed family member
5,5.192582403567252015625355245770164778148,27.96291201783626007812677622885082389074,larger rank-2 non-pointed family member
6,6.16227766016837933199889354443271853372,38.97366596101027599199336126659631120232,larger rank-2 non-pointed family member
7,7.140054944640259135548651245763516396889,51.98038461248181394884055872034461477822,larger rank-2 non-pointed family member
8,8.123105625617660549821409855974077025147,66.98484500494128439857127884779261620118,larger rank-2 non-pointed family member
9,9.109772228646443655001137140881396578623,83.98795005781799289501023426793256920761,larger rank-2 non-pointed family member
10,10.09901951359278483002822410902278198956,102.9901951359278483002822410902278198956,larger rank-2 non-pointed family member
11,11.0901699437494742410229341718281905886,123.9918693812442166512522758901100964746,larger rank-2 non-pointed family member
12,12.08276253029821968899968424520206706208,146.993150363578636267996210942424804745,larger rank-2 non-pointed family member
13,13.07647321898295271998124359656454659005,171.9941518467783853597561667553391056706,larger rank-2 non-pointed family member
14,14.07106781186547524400844362104849039285,198.9949493661166534161182106946788654999,larger rank-2 non-pointed family member
15,15.06637297521077796359593102467053260586,227.9955946281616694539389653700579890879,larger rank-2 non-pointed family member
16,16.06225774829854965236661323030377113113,258.9961239727767944378658116848603380982,larger rank-2 non-pointed family member
17,17.05862138431184488157647614721465482037,291.9965635333013629868000945026491319463,larger rank-2 non-pointed family member
18,18.05538513813741662657380816698406641305,326.9969324864734992783285470057131954349,larger rank-2 non-pointed family member
19,19.0524865872714000895841478762483457077,363.9972451581566017020988096487185684463,larger rank-2 non-pointed family member
20,20.04987562112089027021926491275957618695,402.9975124224178054043852982551915237389,larger rank-2 non-pointed family member
21,21.04751155486449324989536064654617383932,443.9977426521543582478025735774696506258,larger rank-2 non-pointed family member
22,22.04536101718726077421091384334431706085,486.9979423781197370326401045535749753388,larger rank-2 non-pointed family member
23,23.04339638061519569856534434679382888763,531.9981167541495010670029199762580644155,larger rank-2 non-pointed family member
24,24.04159457879229548012824103037860805243,578.9982698910150915230777847290865932582,larger rank-2 non-pointed family member
25,25.03993620398445248804870866769172458436,627.998405099611312201217716692293114609,larger rank-2 non-pointed family member
26,26.03840481040529742916594311485836883306,678.9985250705377331583145209863175896595,larger rank-2 non-pointed family member
27,27.03698637068088356579827144975642872548,731.9986320083838562765533291434235755878,larger rank-2 non-pointed family member
28,28.03566884761819963051946138640704570856,786.9987277333095896545449188193972798398,larger rank-2 non-pointed family member
29,29.03444185374863302665962884675329553036,843.9988137587103577731292365558455703806,larger rank-2 non-pointed family member
30,30.03329637837290827087893056309935560521,902.9988913511872481263679168929806681562,larger rank-2 non-pointed family member
31,31.03222456700906703704240609016296588921,963.9989615772810781483145887950519425654,larger rank-2 non-pointed family member
32,32.0312195418813973648713547576884822081,1026.999025340204715675883352246031430659,larger rank-2 non-pointed family member
