policy,split,surprise_mae,pressure_mae,action_accuracy,action_macro_f1,rebound_mi_like,leakage,harmful_action_error
memoryless,train,0.027870589539902287,0.1572855987856829,1.0,1.0,0.09451514743949899,0.0,0.0
memoryless,test,0.027956528067325133,0.15777276774053886,1.0,1.0,0.09488532406170758,0.0,0.0
write_only_rebound,train,0.02771835825803632,0.15726492702947975,0.969173076923077,0.8427451016961242,0.09451514743949899,0.0,0.0
write_only_rebound,test,0.02779207643729859,0.15774407971607587,0.9676730769230769,0.8423946069228893,0.09488532406170758,0.0,0.0
ternary_rebound,train,0.04056145302943324,0.15730272868088008,0.9482788461538462,0.7648765908452834,0.09451514743949899,0.0,0.0
ternary_rebound,test,0.0407684463305676,0.15777644239189584,0.947125,0.7677985411704514,0.09488532406170758,0.0,0.0
shuffled_receipt,train,0.027870589539902287,0.1572855987856829,0.9819326923076923,0.9684119990768568,0.09451514743949899,0.0,0.0
shuffled_receipt,test,0.027956528067325133,0.15777276774053886,0.981798076923077,0.9690611227947654,0.09488532406170758,0.0,0.0
leaky_rebound,train,0.04056871648017075,0.1572689725964366,0.9255384615384615,0.8781770907075032,0.09451514743949899,1.0,0.0
leaky_rebound,test,0.040776389235171344,0.15774434564060397,0.9253653846153846,0.8804933275882525,0.09488532406170758,1.0,0.0
