policy,split,target,mae,gain_vs_projection,gain_vs_shuffled,leaky_gain,compressed_feature_bits,leakage
projection,test,delta_surprise,0.019164384864683543,0.0,9.053145354209757e-08,2.699672137351089e-06,472,0.0
receipt,test,delta_surprise,0.018411665848280457,0.0007527190164030861,0.0007528095478566282,2.699672137351089e-06,632,0.0
shuffled,test,delta_surprise,0.019164475396137085,-9.053145354209757e-08,0.0,2.699672137351089e-06,632,0.0
leaky,test,delta_surprise,0.018408966176143106,0.0007554186885404372,0.0007555092199939793,2.699672137351089e-06,712,1.0
projection,test,delta_pressure,0.11078021994569978,0.0,1.8143367236378438e-07,-2.2226207615910765e-06,472,0.0
receipt,test,delta_pressure,0.11078004747529488,1.72470404902203e-07,3.539040772659874e-07,-2.2226207615910765e-06,632,0.0
shuffled,test,delta_pressure,0.11078040137937215,-1.8143367236378438e-07,0.0,-2.2226207615910765e-06,632,0.0
leaky,test,delta_pressure,0.11078227009605647,-2.0501503566888735e-06,-1.868716684325089e-06,-2.2226207615910765e-06,712,1.0
projection,test,delta_uncertainty,0.016729828894886768,0.0,-6.717884872692315e-08,2.103009335320538e-07,472,0.0
receipt,test,delta_uncertainty,0.01070020214578479,0.006029626749101978,0.006029559570253251,2.103009335320538e-07,632,0.0
shuffled,test,delta_uncertainty,0.01672976171603804,6.717884872692315e-08,0.0,2.103009335320538e-07,632,0.0
leaky,test,delta_uncertainty,0.010699991844851257,0.00602983705003551,0.006029769871186783,2.103009335320538e-07,712,1.0
