[golden | single | alpha=0.618033988750] 010010100100101001000010010100100101001010010010100100001001010010010100100001001010010010100101

[golden | moving | alpha=0.618033988750] 010000101000010100001010000101001010100101010010100001010000101000010100101010010101001010000101

[golden | double | alpha=0.618033988750] 100010001000110011000100010001100110001000100011001100010001000100011000100010001000110011000100

[silver | single | alpha=0.414213562373] 001010010100001010010100001010010100101000010100101000010100101001010000101001010000101001010000

[silver | moving | alpha=0.414213562373] 001000010010100100001001010010000100101001000010010100100001001010010000100101001010010010100101

[silver | double | alpha=0.414213562373] 000110000110000110000110000110001100001100001100001100001100001100011000011000011000011000011000

[bronze | single | alpha=0.302775637732] 100100100110010010010001001001000100100100110010010010001001001000100100100110010010010001001001

[bronze | moving | alpha=0.302775637732] 100100010010001001000100100010011001001100100010010001001000100110010011001000100100010010001001

[bronze | double | alpha=0.302775637732] 010010100101001010010100100001000010010100101001010010100101001000010000100101001010010100101001

[rational_1_2 | single | alpha=0.500000000000] 010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101

[rational_1_2 | moving | alpha=0.500000000000] 000000101010101000010101010100000010101010100000010101010100001010101010000001010101010000001010

[rational_1_2 | double | alpha=0.500000000000] 111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111

[rational_2_3 | single | alpha=0.666666666667] 010010010010010010010010010010010010010010010010010010010010010010010010010010010010010010010010

[rational_2_3 | moving | alpha=0.666666666667] 010010010100100001001010010010100100001001010010010100100101001000010010100100101001000010010100

[rational_2_3 | double | alpha=0.666666666667] 100100100100100100100100100100100100100100100100100100100100100100100100100100100100100100100100

[rational_3_5 | single | alpha=0.600000000000] 010000100001000010000100001000010000100001000010000100001000010000100001000010000100001000010000

[rational_3_5 | moving | alpha=0.600000000000] 010100001010100001010100001010100101010000101010000101010000101010000101010010101000010101000010

[rational_3_5 | double | alpha=0.600000000000] 100001000010000100001000010000100001000010000100001000010000100001000010000100001000010000100001

