anchor,family,best_composite,best_offset,best_age,best_alignment_factor,best_latency,surrogate_gap,is_top3
golden,phi,0.5021812614559269,-1.3877787807814457e-17,21,0.1,16.0,0.1156580321861973,0.0
silver,metallic,0.5229601596461835,-0.006000000000000012,21,0.2,14.651162790697674,-0.0005517223366928725,0.0
bronze,metallic,0.4761627364759231,-0.01200000000000001,4,0.1,4.0,0.10032780793407148,0.0
fib_13_21,rational,0.4729264498906948,0.02399999999999998,4,0.1,4.0,-0.05316727133626836,0.0
fib_21_34,rational,0.4683304304545912,0.029999999999999978,4,0.1,4.0,0.10261857487635395,0.0
pi_mod1,constant,0.5460073624986528,-0.01800000000000001,21,0.2,7.535211267605634,-0.039010786330213376,0.0
e_mod1,constant,0.4731659780931784,-0.042,4,0.1,4.0,-0.048025294193156265,0.0
noble_1,noble,0.5621512863463514,-0.030000000000000006,21,0.2,15.425,0.022575959582926797,0.0
noble_2,noble,0.5143613927992053,-0.006000000000000012,21,0.2,9.542857142857143,-0.022885069822009663,0.0
noble_3,noble,0.47260679363980773,-1.3877787807814457e-17,4,0.1,4.0,-0.04084427209982466,0.0
noble_4,noble,0.5300791588690272,-1.3877787807814457e-17,21,0.2,15.55813953488372,-0.008094810870888258,0.0
bounded_cf_1,bounded_cf,0.5335465869240811,-0.048,21,0.2,17.0,-0.014472462297334232,0.0
bounded_cf_2,bounded_cf,0.5549543577414178,-0.006000000000000012,21,0.2,12.046511627906977,0.05225131705461261,0.0
bounded_cf_3,bounded_cf,0.46718020187408804,0.035999999999999976,4,0.1,4.0,0.0641943153924821,0.0
bounded_cf_4,bounded_cf,0.5497432976668526,0.04799999999999997,21,0.2,13.941176470588236,0.14657567695830392,0.0
bounded_cf_5,bounded_cf,0.4653701566872013,-0.030000000000000006,4,0.1,4.0,0.14749992439496679,0.0
bounded_cf_6,bounded_cf,0.47209269547141036,-0.042,4,0.14,4.0,-0.0229409126804071,0.0
random_irrat_1,random_irrational,0.6149474206402713,-0.036000000000000004,21,0.2,3.125,0.14331216177039996,1.0
random_irrat_2,random_irrational,0.5644759739457542,0.035999999999999976,21,0.2,15.923076923076923,0.2445650350242503,1.0
random_irrat_3,random_irrational,0.5255843094665659,-0.048,13,0.2,9.347826086956522,0.07426365355519732,0.0
random_irrat_4,random_irrational,0.5331118300681491,0.0059999999999999845,21,0.2,14.268292682926829,0.007660819213484049,0.0
random_irrat_5,random_irrational,0.4767440104172116,-0.030000000000000006,21,0.2,14.796296296296296,-0.038406697880908114,0.0
random_irrat_6,random_irrational,0.5854814901209816,0.01799999999999998,21,0.2,14.272727272727273,0.05671707810151394,1.0
