anchor,family,alpha,best_composite,best_offset,best_age,best_alignment_factor,best_latency,surrogate_gap,cf_max,cf_boundedness,diophantine_margin
golden,phi,0.6180339887498948,0.5021812614559269,-6.938893903907228e-18,21,0.1,16.0,0.03288682342627852,1.0,0.5,0.3819660112501052
silver,metallic,0.41421356237309515,0.5229601596461835,-0.006000000000000005,21,0.2,14.651162790697674,0.044672850568329314,2.0,0.3333333333333333,0.3431457505076194
bronze,metallic,0.30277563773199456,0.4761627364759231,-0.012000000000000004,4,0.1,4.0,0.10032780793407148,3.0,0.25,0.27501926041204877
fib_13_21,rational,0.6190476190476191,0.4729264498906948,0.023999999999999987,4,0.1,4.0,-0.05316727133626836,2.0,0.3333333333333333,0.0
fib_21_34,rational,0.6176470588235294,0.4683304304545912,0.029999999999999985,4,0.1,4.0,0.10261857487635395,2.0,0.3333333333333333,0.0
pi_mod1,constant,0.14159265358979312,0.5463814903678427,-0.018000000000000002,21,0.2,7.76056338028169,-0.03734320211877218,292.0,0.0034129692832764505,0.06195997410013693
e_mod1,constant,0.7182818284590451,0.46865099989498665,-0.018000000000000002,4,0.2,4.0,0.09987788272752829,6.0,0.14285714285714285,0.19580959449320867
noble_1,noble,0.43929141861478144,0.5621512863463514,-0.03,21,0.2,15.425,0.022575959582926797,3.0,0.25,0.24283432554087425
noble_2,noble,0.814194293086181,0.5143613927992053,-0.006000000000000005,21,0.2,9.542857142857143,-0.022885069822009663,4.0,0.2,0.18580570691381904
noble_3,noble,0.2685568199975145,0.47260679363980773,-6.938893903907228e-18,4,0.1,4.0,-0.04084427209982466,3.0,0.25,0.2685568199975145
noble_4,noble,0.4079712493565423,0.5300791588690272,-6.938893903907228e-18,21,0.2,15.55813953488372,-0.008094810870888258,4.0,0.2,0.19928123391355634
bounded_cf_1,bounded_cf,0.7025148417826091,0.47200814476514386,-0.012000000000000004,4,0.1,4.0,-0.0518555995133434,3.0,0.25,0.25148417826091896
bounded_cf_2,bounded_cf,0.4104716941006338,0.5549543577414178,-0.006000000000000005,21,0.2,12.046511627906977,0.05225131705461261,3.0,0.25,0.2617923525158439
bounded_cf_3,bounded_cf,0.708819903382665,0.46718020187408804,0.03599999999999998,4,0.1,4.0,0.0641943153924821,3.0,0.25,0.26782473424941655
bounded_cf_4,bounded_cf,0.42363489367113905,0.5076936797706189,-0.024,21,0.2,13.761904761904763,0.007666166205198888,3.0,0.25,0.2418902101141856
bounded_cf_5,bounded_cf,0.2932928498544088,0.4653701566872013,-0.03,4,0.1,4.0,0.14749992439496679,3.0,0.25,0.23836639207586308
bounded_cf_6,bounded_cf,0.28102801779351144,0.4627687115425407,0.03599999999999998,4,0.1,4.0,-0.02709826865825249,3.0,0.25,0.22730977944428332
bounded_cf_7,bounded_cf,0.27054290496794364,0.46805124602260156,-0.012000000000000004,4,0.2,4.0,0.07874228581224701,3.0,0.25,0.2643084988788168
bounded_cf_8,bounded_cf,0.6139063041492077,0.47415692742362114,0.023999999999999987,4,0.1,4.0,0.14125944983936234,3.0,0.25,0.24983459878391123
random_irrat_1,random_irrational,0.7897676978547151,0.6151367571270974,0.03599999999999998,21,0.2,9.727272727272727,0.10921990044506547,9.0,0.1,0.1061389255521551
random_irrat_2,random_irrational,0.12331016899610964,0.5142047113819748,-0.03,13,0.2,12.61111111111111,0.05396949845309379,9.0,0.1,0.10814918424898323
random_irrat_3,random_irrational,0.12203581299123058,0.5203248682762373,-0.03,13,0.2,12.235294117647058,0.037916437539659786,8.0,0.1111111111111111,0.12203581299123058
random_irrat_4,random_irrational,0.8634252637871577,0.5813533191034308,0.023999999999999987,21,0.2,4.809523809523809,0.1354369631476251,9.0,0.1,0.10217232701569223
random_irrat_5,random_irrational,0.1395914149639531,0.49600727825517205,-0.006000000000000005,21,0.2,11.76923076923077,0.03059034631778257,9.0,0.1,0.1045262683493017
random_irrat_6,random_irrational,0.12257504235100454,0.5213071094918916,0.0059999999999999915,21,0.2,9.0,0.039071981402691414,9.0,0.1,0.12257504235100454
random_irrat_7,random_irrational,0.10977968768850828,0.5600455021957305,-0.03,21,0.2,8.4,0.03775233612448381,9.0,0.1,0.1078452972308289
random_irrat_8,random_irrational,0.19523310576277936,0.49943746806467926,-0.03,13,0.2,10.08108108108108,0.06846483034176892,8.0,0.1111111111111111,0.11917235593051634
