anchor,family,alpha,offset,window_width,beta,length,max_alignment_age,alignment_factor,write_count,witness_expired,release_count,delayed_retention,witness_conversion,pollution,mean_alignment_latency,return_interval_diversity,phase_lock_resistance,composite_score
golden,phi,0.5820339887498948,-0.036,0.18,0.0,4096,4,0.1,0.0,62.0,4034.0,0.0,0.0,0.0,4.0,0.0,0.701666291883235,0.4385665392403
golden,phi,0.5880339887498948,-0.03,0.18,0.0,4096,4,0.1,0.0,59.0,4037.0,0.0,0.0,0.0,4.0,0.0,0.671502401414052,0.42831081648077773
golden,phi,0.5940339887498948,-0.024,0.18,0.0,4096,4,0.1,0.0,61.0,4035.0,0.0,0.0,0.0,4.0,0.0,0.5566799135465188,0.3892711706058164
golden,phi,0.6000339887498948,-0.018000000000000002,0.18,0.0,4096,4,0.1,0.0,64.0,4032.0,0.0,0.0,0.0,4.0,0.0,0.6276611931999854,0.4134048056879951
golden,phi,0.6060339887498948,-0.012000000000000004,0.18,0.0,4096,4,0.1,0.0,61.0,4035.0,0.0,0.0,0.0,4.0,0.0,0.7293448460422682,0.4479772476543712
golden,phi,0.6120339887498948,-0.006000000000000005,0.18,0.0,4096,4,0.1,0.0,60.0,4035.0,0.0,0.0,0.0,4.0,0.0,0.7280384720988989,0.44753308051362567
golden,phi,0.6180339887498948,-6.938893903907228e-18,0.18,0.0,4096,4,0.1,0.0,17.0,4079.0,0.0,0.0,0.0,4.0,0.0,0.6485501567974425,0.4205070533111305
golden,phi,0.6240339887498948,0.0059999999999999915,0.18,0.0,4096,4,0.1,0.0,53.0,4042.0,0.0,0.0,0.0,4.0,0.0,0.3930210185097772,0.33362714629332424
golden,phi,0.6300339887498948,0.01199999999999999,0.18,0.0,4096,4,0.1,0.0,59.0,4037.0,0.0,0.0,0.0,4.0,0.0,0.6687226512818627,0.42736570143583336
golden,phi,0.6360339887498948,0.017999999999999988,0.18,0.0,4096,4,0.1,0.0,61.0,4035.0,0.0,0.0,0.0,4.0,0.0,0.731325988263203,0.4486508360094891
golden,phi,0.6420339887498948,0.023999999999999987,0.18,0.0,4096,4,0.1,0.0,61.0,4035.0,0.0,0.0,0.0,4.0,0.0,0.6161738031091846,0.4094990930571228
golden,phi,0.6480339887498948,0.029999999999999985,0.18,0.0,4096,4,0.1,0.0,60.0,4036.0,0.0,0.0,0.0,4.0,0.0,0.67922931771905,0.43093796802447704
golden,phi,0.6540339887498948,0.03599999999999998,0.18,0.0,4096,4,0.1,0.0,59.0,4037.0,0.0,0.0,0.0,4.0,0.0,0.6363924746003626,0.41637344136412335
golden,phi,0.5820339887498948,-0.036,0.18,0.0,4096,4,0.2,0.0,33.0,4063.0,0.0,0.0,0.0,4.0,0.0,0.686435406015248,0.43338803804518433
golden,phi,0.5880339887498948,-0.03,0.18,0.0,4096,4,0.2,0.0,48.0,4048.0,0.0,0.0,0.0,4.0,0.0,0.6819374250424112,0.43185872451441987
golden,phi,0.5940339887498948,-0.024,0.18,0.0,4096,4,0.2,0.0,36.0,4060.0,0.0,0.0,0.0,4.0,0.0,0.5326843039680578,0.3811126633491397
golden,phi,0.6000339887498948,-0.018000000000000002,0.18,0.0,4096,4,0.2,0.0,39.0,4057.0,0.0,0.0,0.0,4.0,0.0,0.6124261500252368,0.4082248910085805
golden,phi,0.6060339887498948,-0.012000000000000004,0.18,0.0,4096,4,0.2,0.0,33.0,4063.0,0.0,0.0,0.0,4.0,0.0,0.7196547810366118,0.4446826255524481
golden,phi,0.6120339887498948,-0.006000000000000005,0.18,0.0,4096,4,0.2,0.0,32.0,4063.0,0.0,0.0,0.0,4.0,0.0,0.7067495158516779,0.4402948353895705
golden,phi,0.6180339887498948,-6.938893903907228e-18,0.18,0.0,4096,4,0.2,0.0,0.0,4096.0,0.0,0.0,0.0,4.0,0.0,0.6511209733389376,0.42138113093523877
golden,phi,0.6240339887498948,0.0059999999999999915,0.18,0.0,4096,4,0.2,0.0,28.0,4067.0,0.0,0.0,0.0,4.0,0.0,0.3814766189417156,0.3297020504401833
golden,phi,0.6300339887498948,0.01199999999999999,0.18,0.0,4096,4,0.2,0.0,35.0,4061.0,0.0,0.0,0.0,4.0,0.0,0.6553973026080842,0.42283508288674865
