anchor,family,alpha,offset,window_width,beta,length,max_alignment_age,witness_factor,recognition_factor,decay,near_miss_boost,write_count,witness_count,delayed_retention,recognition_rate,near_miss_rate,pollution,latency_proxy,phase_lock_resistance,composite_score
golden,phi,0.5820339887498948,-0.036,0.18,0.0,4096,4,0.28,0.1,0.82,0.0,29.0,47.0,0.3815789473684211,0.3815789473684211,0.0,0.007081807081807082,0.13793103448275862,0.7114729056556275,0.5584841184868596
golden,phi,0.5880339887498948,-0.03,0.18,0.0,4096,4,0.28,0.1,0.82,0.0,36.0,34.0,0.5142857142857142,0.5142857142857142,0.0,0.008791208791208791,0.1111111111111111,0.6756243765397043,0.603944056200348
golden,phi,0.5940339887498948,-0.024,0.18,0.0,4096,4,0.28,0.1,0.82,0.0,31.0,49.0,0.3875,0.3875,0.0,0.00757020757020757,0.12903225806451613,0.5639170064678742,0.5195869327511757
golden,phi,0.6000339887498948,-0.018000000000000002,0.18,0.0,4096,4,0.28,0.1,0.82,0.0,30.0,46.0,0.39473684210526316,0.39473684210526316,0.0,0.007326007326007326,0.13333333333333333,0.6345060916306471,0.5424255383151507
golden,phi,0.6060339887498948,-0.012000000000000004,0.18,0.0,4096,4,0.28,0.1,0.82,0.0,32.0,46.0,0.41025641025641024,0.41025641025641024,0.0,0.007814407814407814,0.125,0.7547379633961153,0.5825403049645874
golden,phi,0.6120339887498948,-0.006000000000000005,0.18,0.0,4096,4,0.28,0.1,0.82,0.0,30.0,46.0,0.39473684210526316,0.39473684210526316,0.0,0.007326007326007326,0.13333333333333333,0.7269143397926001,0.5682998478004977
golden,phi,0.6180339887498948,-6.938893903907228e-18,0.18,0.0,4096,4,0.28,0.1,0.82,0.0,61.0,17.0,0.782051282051282,0.782051282051282,0.0,0.014896214896214897,0.06557377049180328,0.6485501567974425,0.7079701122793522
golden,phi,0.6240339887498948,0.0059999999999999915,0.18,0.0,4096,4,0.28,0.1,0.82,0.0,25.0,42.0,0.373134328358209,0.373134328358209,0.0,0.006105006105006105,0.16,0.39796896907783397,0.46729302839754044
golden,phi,0.6300339887498948,0.01199999999999999,0.18,0.0,4096,4,0.28,0.1,0.82,0.0,30.0,44.0,0.40540540540540543,0.40540540540540543,0.0,0.007326007326007326,0.13333333333333333,0.6699058504776751,0.5568182673783784
golden,phi,0.6360339887498948,0.017999999999999988,0.18,0.0,4096,4,0.28,0.1,0.82,0.0,29.0,45.0,0.3918918918918919,0.3918918918918919,0.0,0.007081807081807082,0.13793103448275862,0.7357099233393565,0.5696019201381615
golden,phi,0.6420339887498948,0.023999999999999987,0.18,0.0,4096,4,0.28,0.1,0.82,0.0,26.0,49.0,0.3466666666666667,0.3466666666666667,0.0,0.006349206349206349,0.15384615384615385,0.6203754996538766,0.5184162510141966
golden,phi,0.6480339887498948,0.029999999999999985,0.18,0.0,4096,4,0.28,0.1,0.82,0.0,28.0,49.0,0.36363636363636365,0.36363636363636365,0.0,0.006837606837606838,0.14285714285714285,0.6847207927869838,0.5434918297503633
golden,phi,0.6540339887498948,0.03599999999999998,0.18,0.0,4096,4,0.28,0.1,0.82,0.0,27.0,47.0,0.36486486486486486,0.36486486486486486,0.0,0.006593406593406593,0.14814814814814814,0.6376390246350689,0.5308590932179857
