mode,anchor,family,alpha,offset,window_width,beta,learning_rate,model_rate,surprise_high,revision_threshold,coherence_limit,write_threshold,instability_penalty,write_count,witness_count,admission_rate,write_rate,witness_rate,revision_rate,mean_revision_size,instability,embodied_cost,delayed_retention,pollution,phase_lock_resistance,composite_score
real,golden,phi,0.5940339887498948,-0.024,0.16,0.0,0.025,0.035,0.24,0.1,0.32,0.58,0.75,35.0,0.0,0.5072463768115942,1.0,0.0,0.5072463768115942,0.016866952201064093,0.05142920105276161,0.038571900789571206,1.0,0.01709819247679531,0.5484145333358634,0.7190921065231177
real,golden,phi,0.6060339887498948,-0.012,0.16,0.0,0.025,0.035,0.24,0.1,0.32,0.58,0.75,38.0,0.0,0.5066666666666667,1.0,0.0,0.5066666666666667,0.016898593610007534,0.05146738235472521,0.03860053676604391,1.0,0.018563751831949193,0.6199254318261431,0.7312947945302519
real,golden,phi,0.6180339887498948,0.0,0.16,0.0,0.025,0.035,0.24,0.1,0.32,0.58,0.75,35.0,0.0,0.49295774647887325,1.0,0.0,0.49295774647887325,0.018129664288345206,0.05143360158986722,0.03857520119240042,1.0,0.01709819247679531,0.717659838362791,0.7529175056745144
real,golden,phi,0.6300339887498948,0.012,0.16,0.0,0.025,0.035,0.24,0.1,0.32,0.58,0.75,39.0,0.0,0.5735294117647058,1.0,0.0,0.5735294117647058,0.016850611810419355,0.05150594196391156,0.03862945647293367,1.0,0.019052271617000488,0.669188610149051,0.7188981884181934
real,golden,phi,0.6420339887498948,0.024,0.16,0.0,0.025,0.035,0.24,0.1,0.32,0.58,0.75,29.0,0.0,0.4084507042253521,1.0,0.0,0.4084507042253521,0.01621711243536189,0.0512434405175336,0.0384325803881502,1.0,0.014167073766487542,0.6423948578457128,0.7584809346105021
real,golden,phi,0.5940339887498948,-0.024,0.16,0.0,0.025,0.08,0.24,0.025,0.55,0.44,0.55,35.0,17.0,0.7536231884057971,0.6730769230769231,0.3269230769230769,0.7536231884057971,0.031018669965592237,0.054772227621143615,0.030124725191628992,0.6730769230769231,0.01709819247679531,0.5515341925294788,0.6839758434174309
real,golden,phi,0.6060339887498948,-0.012,0.16,0.0,0.025,0.08,0.24,0.025,0.55,0.44,0.55,38.0,26.0,0.8533333333333334,0.59375,0.40625,0.8533333333333334,0.029099129492913652,0.05549463768719673,0.030522050727958203,0.59375,0.018563751831949193,0.5906702654012284,0.670679929608675
real,golden,phi,0.6180339887498948,0.0,0.16,0.0,0.025,0.08,0.24,0.025,0.55,0.44,0.55,35.0,36.0,1.0,0.49295774647887325,0.5070422535211268,1.0,0.028999744072977486,0.05640586435615498,0.031023225395885243,0.49295774647887325,0.01709819247679531,0.7415624739941247,0.6836406747718837
real,golden,phi,0.6300339887498948,0.012,0.16,0.0,0.025,0.08,0.24,0.025,0.55,0.44,0.55,39.0,13.0,0.7647058823529411,0.75,0.25,0.7647058823529411,0.032192824326922595,0.05466907250573795,0.030067989878155874,0.75,0.019052271617000488,0.6809235586766402,0.6952467131178259
real,golden,phi,0.6420339887498948,0.024,0.16,0.0,0.025,0.08,0.24,0.025,0.55,0.44,0.55,29.0,20.0,0.6901408450704225,0.5918367346938775,0.40816326530612246,0.6901408450704225,0.02838503354634145,0.054533140212637964,0.029993227116950884,0.5918367346938775,0.014167073766487542,0.650207960559358,0.7275131430363517
real,golden,phi,0.5940339887498948,-0.024,0.16,0.0,0.025,0.08,0.52,0.055,0.18,0.58,0.35,23.0,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.040795730061417616,0.052614240874263446,0.018414984305992206,1.0,0.011235955056179775,0.590974761224708,0.7160730836772952
real,golden,phi,0.6060339887498948,-0.012,0.16,0.0,0.025,0.08,0.52,0.055,0.18,0.58,0.35,22.0,0.0,0.29333333333333333,1.0,0.0,0.29333333333333333,0.040938798031350365,0.05269278549469081,0.018442474923141782,1.0,0.01074743527112848,0.8010352312809359,0.724520048107658
real,golden,phi,0.6180339887498948,0.0,0.16,0.0,0.025,0.08,0.52,0.055,0.18,0.58,0.35,34.0,0.0,0.4788732394366197,1.0,0.0,0.4788732394366197,0.04399882286649136,0.05253533093384467,0.018387365826845633,1.0,0.016609672691744015,0.712039059114175,0.7713236782813665
real,golden,phi,0.6300339887498948,0.012,0.16,0.0,0.025,0.08,0.52,0.055,0.18,0.58,0.35,27.0,0.0,0.39705882352941174,1.0,0.0,0.39705882352941174,0.04049076926425594,0.052741873864882514,0.018459655852708878,1.0,0.013190034196384953,0.6599563089753824,0.7710692066404286
real,golden,phi,0.6420339887498948,0.024,0.16,0.0,0.025,0.08,0.52,0.055,0.18,0.58,0.35,17.0,0.0,0.23943661971830985,1.0,0.0,0.23943661971830985,0.03805763226405564,0.05232813476982094,0.018314847169437327,1.0,0.008304836345872008,0.6463890331416597,0.6601530504836601
