flow,family,alpha,offset,window_width,beta,drift,write_threshold,stability_threshold,overload_threshold,write_count,witness_count,release_count,overload_count,witness_conversion,delayed_retention,release_rate,overload_rate,mean_crossing_quality,pollution,phase_lock_resistance,composite_score
golden,phi,0.5820339887498948,-0.036,0.18,0.0,0.0,0.1,0.05,0.45,0.0,104.0,0.0,3320.0,0.0,0.0,0.0,0.969626168224299,-0.3116530189549222,0.0,0.5772152414778633,0.3567324786299044
golden,phi,0.5940339887498948,-0.023999999999999997,0.18,0.0,0.0,0.1,0.05,0.45,0.0,63.0,0.0,3262.0,0.0,0.0,0.0,0.9810526315789474,-0.21168738262919395,0.0,0.5472672069396576,0.3645950708356577
golden,phi,0.6060339887498948,-0.011999999999999997,0.18,0.0,0.0,0.1,0.05,0.45,0.0,30.0,0.0,3197.0,0.0,0.0,0.0,0.9907034397273009,-0.09118927897722678,0.0,0.537628311442828,0.37977692646925143
golden,phi,0.6180339887498948,3.469446951953614e-18,0.18,0.0,0.0,0.1,0.05,0.45,0.0,0.0,0.0,3129.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4271017353204829,0.37042034706409654
golden,phi,0.6300339887498948,0.012000000000000004,0.18,0.0,0.0,0.1,0.05,0.45,0.0,0.0,0.0,3031.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4617643898006736,0.3773528779601347
golden,phi,0.6420339887498948,0.024000000000000004,0.18,0.0,0.0,0.1,0.05,0.45,0.0,0.0,0.0,2932.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5857784788088025,0.40215569576176047
golden,phi,0.6540339887498948,0.036000000000000004,0.18,0.0,0.0,0.1,0.05,0.45,0.0,0.0,0.0,2834.0,0.0,0.0,0.0,1.0,0.0,0.0,0.43666877923643177,0.37233375584728634
golden,phi,0.5820339887498948,-0.036,0.18,0.0,0.0,0.1,0.05,0.85,0.0,572.0,0.0,2852.0,0.0,0.0,0.0,0.8329439252336449,-0.08360559426383067,0.0,0.49953355996766546,0.389071480330594
golden,phi,0.5940339887498948,-0.023999999999999997,0.18,0.0,0.0,0.1,0.05,0.85,0.0,487.0,0.0,2838.0,0.0,0.0,0.0,0.8535338345864661,-0.001203019588379787,0.0,0.4979523474785831,0.399056633098813
golden,phi,0.6060339887498948,-0.011999999999999997,0.18,0.0,0.0,0.1,0.05,0.85,0.0,411.0,0.0,2816.0,0.0,0.0,0.0,0.8726371242640223,0.08612007067566131,0.0,0.5068419078088138,0.4120226797367097
golden,phi,0.6180339887498948,3.469446951953614e-18,0.18,0.0,0.0,0.1,0.05,0.85,0.0,72.0,0.0,3057.0,0.0,0.0,0.0,0.9769894534995206,0.007163372010823354,0.0,0.41462078481254316,0.3712997174141801
golden,phi,0.6300339887498948,0.012000000000000004,0.18,0.0,0.0,0.1,0.05,0.85,0.0,283.0,0.0,2748.0,0.0,0.0,0.0,0.906631474760805,0.17732281962120536,0.0,0.4437929685589609,0.4096938691788925
golden,phi,0.6420339887498948,0.024000000000000004,0.18,0.0,0.0,0.1,0.05,0.85,0.0,240.0,0.0,2692.0,0.0,0.0,0.0,0.9181446111869032,0.16838965899486427,0.0,0.4785392643584442,0.4141518406022281
golden,phi,0.6540339887498948,0.036000000000000004,0.18,0.0,0.0,0.1,0.05,0.85,0.0,202.0,0.0,2632.0,0.0,0.0,0.0,0.9287226534932957,0.13382298617514032,0.0,0.42383508468716224,0.3969681995143739
golden,phi,0.5820339887498948,-0.036,0.18,0.0,0.0,0.1,0.1,0.45,0.0,104.0,0.0,3320.0,0.0,0.0,0.0,0.969626168224299,-0.3116530189549222,0.0,0.5772152414778633,0.3567324786299044
golden,phi,0.5940339887498948,-0.023999999999999997,0.18,0.0,0.0,0.1,0.1,0.45,0.0,63.0,0.0,3262.0,0.0,0.0,0.0,0.9810526315789474,-0.21168738262919395,0.0,0.5472672069396576,0.3645950708356577
golden,phi,0.6060339887498948,-0.011999999999999997,0.18,0.0,0.0,0.1,0.1,0.45,0.0,30.0,0.0,3197.0,0.0,0.0,0.0,0.9907034397273009,-0.09118927897722678,0.0,0.537628311442828,0.37977692646925143
golden,phi,0.6180339887498948,3.469446951953614e-18,0.18,0.0,0.0,0.1,0.1,0.45,0.0,0.0,0.0,3129.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4271017353204829,0.37042034706409654
golden,phi,0.6300339887498948,0.012000000000000004,0.18,0.0,0.0,0.1,0.1,0.45,0.0,0.0,0.0,3031.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4617643898006736,0.3773528779601347
golden,phi,0.6420339887498948,0.024000000000000004,0.18,0.0,0.0,0.1,0.1,0.45,0.0,0.0,0.0,2932.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5857784788088025,0.40215569576176047
golden,phi,0.6540339887498948,0.036000000000000004,0.18,0.0,0.0,0.1,0.1,0.45,0.0,0.0,0.0,2834.0,0.0,0.0,0.0,1.0,0.0,0.0,0.43666877923643177,0.37233375584728634
golden,phi,0.5820339887498948,-0.036,0.18,0.0,0.0,0.1,0.1,0.65,0.0,278.0,0.0,3146.0,0.0,0.0,0.0,0.9188084112149533,-0.20956226045340196,0.0,0.5559693985151155,0.3728786995135175
golden,phi,0.5940339887498948,-0.023999999999999997,0.18,0.0,0.0,0.1,0.1,0.65,0.0,219.0,0.0,3106.0,0.0,0.0,0.0,0.9341353383458647,-0.10388940132701846,0.0,0.520171228413951,0.38003730164915095
golden,phi,0.6060339887498948,-0.011999999999999997,0.18,0.0,0.0,0.1,0.1,0.65,0.0,167.0,0.0,3060.0,0.0,0.0,0.0,0.9482491478153083,-0.0029131113903900835,0.0,0.5250442646091509,0.39474697143174087
golden,phi,0.6180339887498948,3.469446951953614e-18,0.18,0.0,0.0,0.1,0.1,0.65,0.0,0.0,0.0,3129.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4271017353204829,0.37042034706409654
golden,phi,0.6300339887498948,0.012000000000000004,0.18,0.0,0.0,0.1,0.1,0.65,0.0,73.0,0.0,2958.0,0.0,0.0,0.0,0.975915539425932,0.09895079531694584,0.0,0.4543282050862758,0.39311670637220386
golden,phi,0.6420339887498948,0.024000000000000004,0.18,0.0,0.0,0.1,0.1,0.65,0.0,41.0,0.0,2891.0,0.0,0.0,0.0,0.9860163710777626,0.0789519176894446,0.0,0.5815865593645597,0.4145584624185523
golden,phi,0.6540339887498948,0.036000000000000004,0.18,0.0,0.0,0.1,0.1,0.65,0.0,20.0,0.0,2814.0,0.0,0.0,0.0,0.9929428369795342,0.021659973699241736,0.0,0.4348080000286414,0.3759163123626611
golden,phi,0.5820339887498948,-0.036,0.18,0.0,0.0,0.1,0.16,0.45,0.0,104.0,0.0,3320.0,0.0,0.0,0.0,0.969626168224299,-0.3116530189549222,0.0,0.5772152414778633,0.3567324786299044
golden,phi,0.5940339887498948,-0.023999999999999997,0.18,0.0,0.0,0.1,0.16,0.45,0.0,63.0,0.0,3262.0,0.0,0.0,0.0,0.9810526315789474,-0.21168738262919395,0.0,0.5472672069396576,0.3645950708356577
golden,phi,0.6060339887498948,-0.011999999999999997,0.18,0.0,0.0,0.1,0.16,0.45,0.0,30.0,0.0,3197.0,0.0,0.0,0.0,0.9907034397273009,-0.09118927897722678,0.0,0.537628311442828,0.37977692646925143
