flow,family,alpha,offset,window_width,beta,drift,membrane_gain,membrane_decay,write_threshold,overload_threshold,stability_window,write_count,witness_count,release_count,overload_count,witness_conversion,delayed_retention,release_rate,overload_rate,mean_crossing_quality,pollution,phase_lock_resistance,composite_score
golden,phi,0.5820339887498948,-0.036,0.18,0.0,0.0,0.18,0.82,0.68,1.75,9,0.0,0.0,492.0,0.0,0.0,0.0,1.0,0.0,0.2964642428542941,0.0,0.6068858075291346,0.41593519186261363
golden,phi,0.5940339887498948,-0.023999999999999997,0.18,0.0,0.0,0.18,0.82,0.68,1.75,9,0.0,0.0,507.0,0.0,0.0,0.0,1.0,0.0,0.3229276964887026,0.0,0.607986210052132,0.4194632040715143
golden,phi,0.6060339887498948,-0.011999999999999997,0.18,0.0,0.0,0.18,0.82,0.68,1.75,9,0.0,0.0,521.0,0.0,0.0,0.0,1.0,0.0,0.4108118848429696,0.0,0.5920205611921232,0.42725559784379585
golden,phi,0.6180339887498948,3.469446951953614e-18,0.18,0.0,0.0,0.18,0.82,0.68,1.75,9,0.0,0.0,434.0,0.0,0.0,0.0,1.0,0.0,0.49167830147354896,0.0,0.5253024098405228,0.4240202696522982
golden,phi,0.6300339887498948,0.012000000000000004,0.18,0.0,0.0,0.18,0.82,0.68,1.75,9,0.0,1.0,510.0,0.0,0.0,0.0,0.9980430528375733,0.0,0.5180063848679711,0.0,0.5166243986733041,0.4257518030877756
golden,phi,0.6420339887498948,0.024000000000000004,0.18,0.0,0.0,0.18,0.82,0.68,1.75,9,0.0,0.0,512.0,0.0,0.0,0.0,1.0,0.0,0.5252780580034049,0.0,0.6868913727316288,0.46053803179675135
golden,phi,0.6540339887498948,0.036000000000000004,0.18,0.0,0.0,0.18,0.82,0.68,1.75,9,0.0,0.0,509.0,0.0,0.0,0.0,1.0,0.0,0.5697245687203993,0.0,0.5455738667066925,0.43783034443138846
golden,phi,0.5820339887498948,-0.036,0.18,0.0,0.0,0.18,0.9,0.68,1.15,9,0.0,0.0,489.0,143.0,0.0,0.0,0.7737341772151899,0.22626582278481014,0.29370966020665307,0.0,0.820898170066334,0.4561306833112504
golden,phi,0.5940339887498948,-0.023999999999999997,0.18,0.0,0.0,0.18,0.9,0.68,1.15,9,0.0,0.0,503.0,159.0,0.0,0.0,0.7598187311178247,0.24018126888217523,0.31841683915948626,0.0,0.7145073206915518,0.4378017563444244
golden,phi,0.6060339887498948,-0.011999999999999997,0.18,0.0,0.0,0.18,0.9,0.68,1.15,9,0.0,0.0,516.0,80.0,0.0,0.0,0.8657718120805369,0.1342281879194631,0.4065854033721362,0.0,0.6929958000064407,0.4455800535436105
golden,phi,0.6180339887498948,3.469446951953614e-18,0.18,0.0,0.0,0.18,0.9,0.68,1.15,9,0.0,0.0,415.0,162.0,0.0,0.0,0.7192374350086655,0.2807625649913345,0.4733795883030729,0.0,0.709710743743108,0.4558069716365924
golden,phi,0.6300339887498948,0.012000000000000004,0.18,0.0,0.0,0.18,0.9,0.68,1.15,9,0.0,1.0,503.0,80.0,0.0,0.0,0.8613013698630136,0.136986301369863,0.5126201789366073,0.0,0.676779951394135,0.4557177592212454
golden,phi,0.6420339887498948,0.024000000000000004,0.18,0.0,0.0,0.18,0.9,0.68,1.15,9,0.0,0.0,491.0,97.0,0.0,0.0,0.8350340136054422,0.1649659863945578,0.5090043967287846,0.0,0.8029629782429393,0.4800684853757404
golden,phi,0.6540339887498948,0.036000000000000004,0.18,0.0,0.0,0.18,0.9,0.68,1.15,9,0.0,0.0,493.0,72.0,0.0,0.0,0.8725663716814159,0.12743362831858407,0.5538205588959274,0.0,0.6576332536678771,0.45697988431238046
golden,phi,0.5820339887498948,-0.036,0.18,0.0,0.0,0.18,0.96,0.38,1.4,9,0.0,0.0,492.0,232.0,0.0,0.0,0.6795580110497238,0.32044198895027626,0.2964642428542941,0.0,0.5133451684647674,0.3940226441602375
golden,phi,0.5940339887498948,-0.023999999999999997,0.18,0.0,0.0,0.18,0.96,0.38,1.4,9,0.0,0.0,493.0,220.0,0.0,0.0,0.6914446002805049,0.3085553997194951,0.31183345302133797,0.0,0.8155021718942056,0.4564940620093134
golden,phi,0.6060339887498948,-0.011999999999999997,0.18,0.0,0.0,0.18,0.96,0.38,1.4,9,0.0,0.0,501.0,218.0,0.0,0.0,0.6968011126564673,0.3031988873435327,0.39851904713573755,0.0,0.8464964151936413,0.47358217505726014
golden,phi,0.6180339887498948,3.469446951953614e-18,0.18,0.0,0.0,0.18,0.96,0.38,1.4,9,0.0,0.0,433.0,242.0,0.0,0.0,0.6414814814814814,0.3585185185185185,0.4911246121136234,0.0,0.3307539116723449,0.3814561736634867
golden,phi,0.6300339887498948,0.012000000000000004,0.18,0.0,0.0,0.18,0.96,0.38,1.4,9,0.0,1.0,482.0,206.0,0.0,0.0,0.6995645863570392,0.29898403483309144,0.502582299474259,0.0,0.7876191373488223,0.4749873986486041
golden,phi,0.6420339887498948,0.024000000000000004,0.18,0.0,0.0,0.18,0.96,0.38,1.4,9,0.0,0.0,474.0,196.0,0.0,0.0,0.7074626865671642,0.29253731343283584,0.5059170863017172,0.0,0.8248836985212861,0.4827910023576435
golden,phi,0.6540339887498948,0.036000000000000004,0.18,0.0,0.0,0.18,0.96,0.38,1.4,9,0.0,0.0,475.0,190.0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.5527335729838172,0.0,0.8012804249532236,0.483990638756479
golden,phi,0.5820339887498948,-0.036,0.18,0.0,0.0,0.3,0.82,0.38,1.4,5,0.0,0.0,492.0,22.0,0.0,0.0,0.9571984435797666,0.042801556420233464,0.2869665136932212,0.0,0.7561469689445366,0.44417219243635764
golden,phi,0.5940339887498948,-0.023999999999999997,0.18,0.0,0.0,0.3,0.82,0.38,1.4,5,0.0,0.0,501.0,10.0,0.0,0.0,0.9804305283757339,0.019569471624266144,0.36571159077497073,0.0,0.6606037018932434,0.4351389945092774
golden,phi,0.6060339887498948,-0.011999999999999997,0.18,0.0,0.0,0.3,0.82,0.38,1.4,5,0.0,0.0,521.0,0.0,0.0,0.0,1.0,0.0,0.4541776934742256,0.0,0.5920205611921232,0.43267632392270283
golden,phi,0.6180339887498948,3.469446951953614e-18,0.18,0.0,0.0,0.3,0.82,0.38,1.4,5,0.0,0.0,434.0,0.0,0.0,0.0,1.0,0.0,0.5118478849447826,0.0,0.5253024098405228,0.42654146758620237
golden,phi,0.6300339887498948,0.012000000000000004,0.18,0.0,0.0,0.3,0.82,0.38,1.4,5,0.0,1.0,509.0,1.0,0.0,0.0,0.9960861056751468,0.0019569471624266144,0.5343733028865049,0.0,0.5234267631498324,0.4291385712637737
golden,phi,0.6420339887498948,0.024000000000000004,0.18,0.0,0.0,0.3,0.82,0.38,1.4,5,0.0,0.0,512.0,0.0,0.0,0.0,1.0,0.0,0.5419385286880093,0.0,0.6868913727316288,0.46262059063232686
golden,phi,0.6540339887498948,0.036000000000000004,0.18,0.0,0.0,0.3,0.82,0.38,1.4,5,0.0,0.0,509.0,0.0,0.0,0.0,1.0,0.0,0.5589226750756036,0.0,0.5455738667066925,0.43648010772578894
golden,phi,0.5820339887498948,-0.036,0.18,0.0,0.0,0.3,0.9,0.52,1.15,5,0.0,0.0,456.0,427.0,0.0,0.0,0.5164212910532276,0.48357870894677235,0.2560026057844861,0.0,0.785262462690749,0.4417170311717428
golden,phi,0.5940339887498948,-0.023999999999999997,0.18,0.0,0.0,0.3,0.9,0.52,1.15,5,0.0,0.0,494.0,403.0,0.0,0.0,0.5507246376811594,0.4492753623188406,0.36340827606757165,0.0,0.8189531782839248,0.46222391654204303
golden,phi,0.6060339887498948,-0.011999999999999997,0.18,0.0,0.0,0.3,0.9,0.52,1.15,5,0.0,0.0,492.0,394.0,0.0,0.0,0.5553047404063205,0.44469525959367945,0.4362842585778509,0.0,0.7887925829921051,0.4653470963247156
