flow,family,alpha,offset,window_width,beta,drift,membrane_gain,membrane_decay,resonance_gain,resonance_decay,write_threshold,overload_threshold,stability_window,write_count,witness_count,release_count,overload_count,witness_conversion,delayed_retention,release_rate,overload_rate,mean_crossing_quality,pollution,phase_lock_resistance,composite_score
golden,phi,0.5820339887498948,-0.036,0.18,0.0,0.0,0.18,0.82,0.28,0.93,0.62,1.2,9,0.0,0.0,476.0,23.0,0.0,0.0,0.9539078156312625,0.04609218436873747,0.5702044041133598,0.0,0.7026103114923312,0.4466206590224275
golden,phi,0.5940339887498948,-0.023999999999999997,0.18,0.0,0.0,0.18,0.82,0.28,0.93,0.62,1.2,9,0.0,0.0,467.0,41.0,0.0,0.0,0.9192913385826772,0.08070866141732283,0.5607966477986455,0.0,0.6540109923744939,0.4352676900264169
golden,phi,0.6060339887498948,-0.011999999999999997,0.18,0.0,0.0,0.18,0.82,0.28,0.93,0.62,1.2,9,0.0,0.0,501.0,20.0,0.0,0.0,0.9616122840690979,0.03838771593090211,0.6920105578524925,0.0,0.6531496836321018,0.44906323819305155
golden,phi,0.6180339887498948,3.469446951953614e-18,0.18,0.0,0.0,0.18,0.82,0.28,0.93,0.62,1.2,9,0.0,0.0,434.0,0.0,0.0,0.0,1.0,0.0,0.7792568370460212,0.0,0.5253024098405228,0.43298616567270665
golden,phi,0.6300339887498948,0.012000000000000004,0.18,0.0,0.0,0.18,0.82,0.28,0.93,0.62,1.2,9,0.0,1.0,480.0,30.0,0.0,0.0,0.9393346379647749,0.05870841487279843,0.7803396052694825,0.0,0.5991319798520682,0.44684274397290014
golden,phi,0.6420339887498948,0.024000000000000004,0.18,0.0,0.0,0.18,0.82,0.28,0.93,0.62,1.2,9,0.0,0.0,493.0,19.0,0.0,0.0,0.962890625,0.037109375,0.7960907770315699,0.0,0.7228638652556132,0.4734396632542797
golden,phi,0.6540339887498948,0.036000000000000004,0.18,0.0,0.0,0.18,0.82,0.28,0.93,0.62,1.2,9,0.0,0.0,472.0,37.0,0.0,0.0,0.9273084479371316,0.07269155206286837,0.8396993023378629,0.0,0.6067310827453074,0.4538623157415904
golden,phi,0.5820339887498948,-0.036,0.18,0.0,0.0,0.18,0.9,0.28,0.86,0.62,1.5,5,0.0,0.0,451.0,46.0,0.0,0.0,0.9074446680080482,0.0925553319919517,0.43127109977758954,0.0,0.7068628346519765,0.43264857026831527
golden,phi,0.5940339887498948,-0.023999999999999997,0.18,0.0,0.0,0.18,0.9,0.28,0.86,0.62,1.5,5,0.0,0.0,456.0,51.0,0.0,0.0,0.8994082840236687,0.10059171597633136,0.5226489770761953,0.0,0.6569018790493377,0.4316334391979605
golden,phi,0.6060339887498948,-0.011999999999999997,0.18,0.0,0.0,0.18,0.9,0.28,0.86,0.62,1.5,5,0.0,0.0,467.0,54.0,0.0,0.0,0.8963531669865643,0.1036468330134357,0.5875180893331403,0.0,0.6901993953786041,0.44471875134876615
golden,phi,0.6180339887498948,3.469446951953614e-18,0.18,0.0,0.0,0.18,0.9,0.28,0.86,0.62,1.5,5,0.0,0.0,380.0,54.0,0.0,0.0,0.8755760368663594,0.12442396313364056,0.6332771710935591,0.0,0.5798094156603413,0.4268011209787514
golden,phi,0.6300339887498948,0.012000000000000004,0.18,0.0,0.0,0.18,0.9,0.28,0.86,0.62,1.5,5,0.0,1.0,472.0,38.0,0.0,0.0,0.923679060665362,0.07436399217221135,0.709785258967855,0.0,0.5961359530862698,0.43887499244358935
golden,phi,0.6420339887498948,0.024000000000000004,0.18,0.0,0.0,0.18,0.9,0.28,0.86,0.62,1.5,5,0.0,0.0,489.0,23.0,0.0,0.0,0.955078125,0.044921875,0.7119408225356696,0.0,0.7237651640565792,0.4650486775648829
golden,phi,0.6540339887498948,0.036000000000000004,0.18,0.0,0.0,0.18,0.9,0.28,0.86,0.62,1.5,5,0.0,0.0,472.0,37.0,0.0,0.0,0.9273084479371316,0.07269155206286837,0.7359734328033771,0.0,0.6228383041632504,0.4467111730717304
golden,phi,0.5820339887498948,-0.036,0.18,0.0,0.0,0.18,0.96,0.1,0.93,0.48,1.85,9,0.0,0.0,469.0,158.0,0.0,0.0,0.748006379585327,0.25199362041467305,0.35825086300898956,0.0,0.8538604470633703,0.4515573033052796
golden,phi,0.5940339887498948,-0.023999999999999997,0.18,0.0,0.0,0.18,0.96,0.1,0.93,0.48,1.85,9,0.0,0.0,495.0,159.0,0.0,0.0,0.7568807339449541,0.24311926605504589,0.39396386738385386,0.0,0.7656957581590075,0.437673153049086
