flow,family,alpha,offset,window_width,beta,pocket_gain,pocket_decay,write_threshold,release_threshold,overload_threshold,write_count,witness_count,release_count,overload_count,witness_conversion,delayed_retention,release_rate,overload_rate,mean_pocket_lifetime,mean_contact_quality,pollution,phase_lock_resistance,composite_score
golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.14,0.88,0.62,0.08,1.45,0.0,342.0,342.0,0.0,0.0,0.0,0.5,0.0,1.3976608187134503,0.5124176801369162,0.0,0.6127152531655722,0.39754156848636135
golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.14,0.88,0.62,0.08,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.5,0.0,1.3965014577259476,0.5194455235811585,0.0,0.6432402808267335,0.40384149652152157
golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.14,0.88,0.62,0.08,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.5,0.0,1.4752186588921283,0.5288161918024845,0.0,0.6857893872014875,0.41357754530937585
golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.14,0.88,0.62,0.08,1.45,0.0,299.0,299.0,0.0,0.0,0.0,0.5,0.0,1.5384615384615385,0.5492066829350101,0.0,0.5543825442779573,0.3930937402098861
golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.14,0.88,0.62,0.08,1.45,0.0,336.0,336.0,0.0,0.0,0.0,0.5,0.0,1.7351190476190477,0.5410036186682875,0.0,0.5699267001404751,0.3973928829651572
golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.14,0.88,0.62,0.08,1.45,0.0,336.0,336.0,0.0,0.0,0.0,0.5,0.0,1.5535714285714286,0.5543363292779037,0.0,0.7262053630407413,0.42480917995356504
golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.14,0.88,0.62,0.08,1.45,0.0,300.0,300.0,0.0,0.0,0.0,0.5,0.0,2.3233333333333333,0.555578108176572,0.0,0.6870950584958031,0.42753622314984463
golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.14,0.88,0.8,0.14,1.1,0.0,342.0,342.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5124176801369162,0.0,0.566927911924699,0.38432908682908606
golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.14,0.88,0.8,0.14,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5194455235811585,0.0,0.5979737416227513,0.39073725124323044
golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.14,0.88,0.8,0.14,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5288161918024845,0.0,0.6293815545779411,0.39748390220098595
