model,flow,family,alpha,offset,window_width,beta,pocket_gain,pocket_decay,stability_gain,stability_threshold,write_threshold,release_threshold,overload_threshold,write_count,witness_count,release_count,overload_count,witness_conversion,stability_success,delayed_retention,release_rate,overload_rate,mean_contact_quality,pollution,phase_lock_resistance,composite_score
accumulate_immediate,golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.14,0.88,0.18,0.35,0.45,0.14,1.45,0.0,342.0,342.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3629206026059051,0.0,0.566927911924699,0.3303147460519872
accumulate_immediate,golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.14,0.88,0.18,0.35,0.45,0.14,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3606356819055242,0.0,0.5979737416227513,0.335693544333435
accumulate_immediate,golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.14,0.88,0.18,0.35,0.45,0.14,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.35760195906228986,0.0,0.6293815545779411,0.3410688594047393
accumulate_immediate,golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.14,0.88,0.18,0.35,0.45,0.14,1.45,0.0,299.0,299.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3774309366291299,0.0,0.5325533941687466,0.32545744680804467
accumulate_immediate,golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.14,0.88,0.18,0.35,0.45,0.14,1.45,0.0,349.0,349.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3520572795657192,0.0,0.5057924238788829,0.3183145535917232
accumulate_immediate,golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.14,0.88,0.18,0.35,0.45,0.14,1.45,0.0,336.0,336.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3479549365924406,0.0,0.6926870882954944,0.3515795450808294
accumulate_immediate,golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.14,0.88,0.18,0.35,0.45,0.14,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.34418683698619107,0.0,0.5923995788460692,0.33318238424936
accumulate_immediate,golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.14,0.88,0.28,0.5,0.45,0.08,1.45,0.0,342.0,342.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3629206026059051,0.0,0.6127152531655722,0.3385564674753443
accumulate_immediate,golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.14,0.88,0.28,0.5,0.45,0.08,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3606356819055242,0.0,0.6432402808267335,0.3438415213901518
accumulate_immediate,golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.14,0.88,0.28,0.5,0.45,0.08,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.35760195906228986,0.0,0.6857893872014875,0.3512222692769777
accumulate_immediate,golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.14,0.88,0.28,0.5,0.45,0.08,1.45,0.0,299.0,299.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3774309366291299,0.0,0.5543825442779573,0.3293866938277026
accumulate_immediate,golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.14,0.88,0.28,0.5,0.45,0.08,1.45,0.0,336.0,336.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3520572795657192,0.0,0.5699267001404751,0.32985872331880983
accumulate_immediate,golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.14,0.88,0.28,0.5,0.45,0.08,1.45,0.0,336.0,336.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3479549365924406,0.0,0.7262053630407413,0.3576128345349739
accumulate_immediate,golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.14,0.88,0.28,0.5,0.45,0.08,1.45,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.5,0.0,0.34418683698619107,0.0,0.6870950584958031,0.3502275705863121
accumulate_immediate,golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.14,0.94,0.1,0.35,0.45,0.14,1.1,0.0,342.0,342.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3629206026059051,0.0,0.566927911924699,0.3303147460519872
accumulate_immediate,golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.14,0.94,0.1,0.35,0.45,0.14,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3606356819055242,0.0,0.5979737416227513,0.335693544333435
accumulate_immediate,golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.14,0.94,0.1,0.35,0.45,0.14,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.35760195906228986,0.0,0.6293815545779411,0.3410688594047393
accumulate_immediate,golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.14,0.94,0.1,0.35,0.45,0.14,1.1,0.0,299.0,299.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3774309366291299,0.0,0.5325533941687466,0.32545744680804467
accumulate_immediate,golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.14,0.94,0.1,0.35,0.45,0.14,1.1,0.0,349.0,349.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3520572795657192,0.0,0.5057924238788829,0.3183145535917232
