flow,family,alpha,offset,window_width,beta,pocket_gain,pocket_decay,stability_gain,stability_decay,coupling,write_threshold,release_threshold,overload_threshold,write_count,witness_count,release_count,overload_count,witness_conversion,stability_success,delayed_retention,release_rate,overload_rate,mean_contact_quality,pollution,phase_lock_resistance,composite_score
golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.12,0.88,0.16,0.9,0.34,0.58,0.12,1.45,0.0,342.0,342.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3629206026059051,0.0,0.566927911924699,0.3303147460519872
golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.12,0.88,0.16,0.9,0.34,0.58,0.12,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3606356819055242,0.0,0.5979737416227513,0.335693544333435
golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.12,0.88,0.16,0.9,0.34,0.58,0.12,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.35760195906228986,0.0,0.6293815545779411,0.3410688594047393
golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.12,0.88,0.16,0.9,0.34,0.58,0.12,1.45,0.0,299.0,299.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3774309366291299,0.0,0.5325533941687466,0.32545744680804467
golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.12,0.88,0.16,0.9,0.34,0.58,0.12,1.45,0.0,349.0,349.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3520572795657192,0.0,0.5057924238788829,0.3183145535917232
golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.12,0.88,0.16,0.9,0.34,0.58,0.12,1.45,0.0,336.0,336.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3479549365924406,0.0,0.6926870882954944,0.3515795450808294
golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.12,0.88,0.16,0.9,0.34,0.58,0.12,1.45,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.34418683698619107,0.0,0.5923995788460692,0.33318238424936
golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.12,0.88,0.26,0.95,0.22,0.42,0.12,1.1,0.0,342.0,342.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3629206026059051,0.0,0.566927911924699,0.3303147460519872
golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.12,0.88,0.26,0.95,0.22,0.42,0.12,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3606356819055242,0.0,0.5979737416227513,0.335693544333435
golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.12,0.88,0.26,0.95,0.22,0.42,0.12,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.35760195906228986,0.0,0.6293815545779411,0.3410688594047393
golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.12,0.88,0.26,0.95,0.22,0.42,0.12,1.1,0.0,299.0,299.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3774309366291299,0.0,0.5325533941687466,0.32545744680804467
golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.12,0.88,0.26,0.95,0.22,0.42,0.12,1.1,0.0,349.0,349.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3520572795657192,0.0,0.5057924238788829,0.3183145535917232
