branch,anchor,alpha,offset,window_width,beta,score_a,score_b,score_c,score_d,score_e,score_f,write_count,witness_count,activity_rate,delayed_retention,witness_conversion_proxy,write_persistence,pollution,overload_rate,phase_lock_resistance,generic_score
model_revision_witness,bounded_cf_2,0.6582505321462085,-0.036,0.16,0.0,0.025,0.035,0.24,0.1,0.32,0.58,32.0,0.0,0.015625,1.0,0.0,0.0,0.015632633121641426,0.0,0.6743436936403109,0.4666362519511371
model_revision_witness,bounded_cf_2,0.6702505321462086,-0.023999999999999997,0.16,0.0,0.025,0.035,0.24,0.1,0.32,0.58,37.0,0.0,0.01806640625,1.0,0.0,0.0,0.0180752320468979,0.0,0.8141513498932513,0.5002502862252634
model_revision_witness,bounded_cf_2,0.6822505321462086,-0.011999999999999997,0.16,0.0,0.025,0.035,0.24,0.1,0.32,0.58,36.0,0.0,0.017578125,1.0,0.0,0.0,0.017586712261846604,0.0,0.521279784129449,0.4352472717775311
model_revision_witness,bounded_cf_2,0.6942505321462086,3.469446951953614e-18,0.16,0.0,0.025,0.035,0.24,0.1,0.32,0.58,34.0,0.0,0.0166015625,1.0,0.0,0.0,0.016609672691744015,0.0,0.6856933214647587,0.47027571003190743
model_revision_witness,bounded_cf_2,0.7062505321462086,0.012000000000000004,0.16,0.0,0.025,0.035,0.24,0.1,0.32,0.58,33.0,0.0,0.01611328125,1.0,0.0,0.0,0.01612115290669272,0.0,0.49799341996889046,0.4284104617231205
model_revision_witness,bounded_cf_2,0.7182505321462086,0.024000000000000004,0.16,0.0,0.025,0.035,0.24,0.1,0.32,0.58,35.0,0.0,0.01708984375,1.0,0.0,0.0,0.01709819247679531,0.0,0.5869422879513215,0.44912175263864706
model_revision_witness,bounded_cf_2,0.7302505321462086,0.036000000000000004,0.16,0.0,0.025,0.035,0.24,0.1,0.32,0.58,36.0,0.0,0.017578125,1.0,0.0,0.0,0.017586712261846604,0.0,0.6744086128337705,0.4689356140924818
model_revision_witness,bounded_cf_2,0.6582505321462085,-0.036,0.16,0.0,0.025,0.035,0.52,0.1,0.32,0.7,19.0,0.0,0.00927734375,1.0,0.0,0.0,0.009281875915974597,0.0,0.5982946035876773,0.442478942403511
model_revision_witness,bounded_cf_2,0.6702505321462086,-0.023999999999999997,0.16,0.0,0.025,0.035,0.52,0.1,0.32,0.7,22.0,0.0,0.0107421875,1.0,0.0,0.0,0.01074743527112848,0.0,0.8590078536549763,0.5015496673574045
model_revision_witness,bounded_cf_2,0.6822505321462086,-0.011999999999999997,0.16,0.0,0.025,0.035,0.52,0.1,0.32,0.7,24.0,0.0,0.01171875,1.0,0.0,0.0,0.01172447484123107,0.0,0.5231539030005796,0.42880433817282904
model_revision_witness,bounded_cf_2,0.6942505321462086,3.469446951953614e-18,0.16,0.0,0.025,0.035,0.52,0.1,0.32,0.7,21.0,0.0,0.01025390625,1.0,0.0,0.0,0.010258915486077186,0.0,0.7156067653908513,0.46943015795960114
model_revision_witness,bounded_cf_2,0.7062505321462086,0.012000000000000004,0.16,0.0,0.025,0.035,0.52,0.1,0.32,0.7,20.0,0.0,0.009765625,1.0,0.0,0.0,0.009770395701025891,0.0,0.7883012034317931,0.4848516643489124
model_revision_witness,bounded_cf_2,0.7182505321462086,0.024000000000000004,0.16,0.0,0.025,0.035,0.52,0.1,0.32,0.7,21.0,0.0,0.01025390625,1.0,0.0,0.0,0.010258915486077186,0.0,0.6348691806186346,0.4516678893097134
model_revision_witness,bounded_cf_2,0.7302505321462086,0.036000000000000004,0.16,0.0,0.025,0.035,0.52,0.1,0.32,0.7,23.0,0.0,0.01123046875,1.0,0.0,0.0,0.011235955056179775,0.0,0.7416131133022028,0.47629409445949017
model_revision_witness,bounded_cf_2,0.6582505321462085,-0.036,0.16,0.0,0.025,0.08,0.24,0.025,0.32,0.58,32.0,25.0,0.02783203125,0.5614035087719298,0.0,0.0,0.015632633121641426,0.0,0.7780134726993521,0.4345269538101349
model_revision_witness,bounded_cf_2,0.6702505321462086,-0.023999999999999997,0.16,0.0,0.025,0.08,0.24,0.025,0.32,0.58,37.0,24.0,0.02978515625,0.6065573770491803,0.0,0.0,0.0180752320468979,0.0,0.7635841235661399,0.44082311426116777
