flow,family,alpha,offset,window_width,beta,pocket_gain,pocket_decay,write_threshold,revision_threshold,learning_rate,coherence_limit,release_threshold,overload_threshold,write_count,witness_count,witness_conversion,delayed_retention,release_rate,overload_rate,mean_pocket_lifetime,mean_revision_size,revision_write_rate,pollution,phase_lock_resistance,composite_score
golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.14,0.88,0.5,0.05,0.13,0.38,0.08,1.1,0.0,342.0,0.0,0.0,0.5,0.0,1.3976608187134503,0.021119294282179502,0.0,0.0,0.6127152531655722,0.2976527757032291
golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.14,0.88,0.5,0.05,0.13,0.38,0.08,1.1,0.0,343.0,0.0,0.0,0.5,0.0,1.3965014577259476,0.022158855246055317,0.0,0.0,0.6432402808267335,0.30442934147227035
golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.14,0.88,0.5,0.05,0.13,0.38,0.08,1.1,0.0,343.0,0.0,0.0,0.5,0.0,1.4752186588921283,0.02330102025594505,0.0,0.0,0.6857893872014875,0.314696644899581
golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.14,0.88,0.5,0.05,0.13,0.38,0.08,1.1,0.0,299.0,0.0,0.0,0.5,0.0,1.5384615384615385,0.02324545741406561,0.0,0.0,0.5543825442779573,0.2919226028145374
golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.14,0.88,0.5,0.05,0.13,0.38,0.08,1.1,0.0,336.0,0.0,0.0,0.5,0.0,1.7351190476190477,0.02588286003103536,0.0,0.0,0.5699267001404751,0.30096716677836544
golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.14,0.88,0.5,0.05,0.13,0.38,0.08,1.1,0.0,336.0,0.0,0.0,0.5,0.0,1.5535714285714286,0.02795414839337874,0.0,0.0,0.7262053630407413,0.3289632222676283
golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.14,0.88,0.5,0.05,0.13,0.38,0.08,1.1,0.0,300.0,0.0,0.0,0.5,0.0,2.3233333333333333,0.0282865992250354,0.0,0.0,0.6870950584958031,0.33388535956053883
golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.14,0.98,0.5,0.1,0.07,0.38,0.08,1.1,1.0,4.0,0.25,0.2,0.2857142857142857,0.0,130.66666666666666,0.006595176506431768,1.0,0.00032562683165092806,0.5421613528322138,0.562806963996306
golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.14,0.98,0.5,0.1,0.07,0.38,0.08,1.1,10.0,19.0,0.5263157894736842,0.3448275862068966,0.21621621621621623,0.0,153.38888888888889,0.010146950242274645,1.0,0.0032562683165092803,0.7678458074413623,0.6805446875753345
golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.14,0.98,0.5,0.1,0.07,0.38,0.08,1.1,10.0,11.0,0.9090909090909091,0.47619047619047616,0.0,0.0,299.3,0.008821177230923294,1.0,0.0032562683165092803,0.5456790819417769,0.728815044649693
