flow,family,alpha,offset,window_width,delay,prediction_gain,pocket_gain,pocket_decay,fit_limit,revision_threshold,write_threshold,rupture_limit,write_count,witness_count,witness_conversion,delayed_retention,release_rate,rupture_rate,prediction_update_rate,mean_fit_error,mean_revision_size,mean_pocket_age,pollution,phase_lock_resistance,score
golden,phi,0.5820339887498948,-0.036,0.14,2,0.04,0.22,0.985,0.28,0.025,0.42,0.52,0.0,2.0,0.0,0.0,0.0018975332068311196,0.9943074003795066,0.0,1.1614210914861227,0.04645684365944491,15.5,0.0,0.6060280078457876,0.28738379997136765
golden,phi,0.5940339887498948,-0.023999999999999997,0.14,2,0.04,0.22,0.985,0.28,0.025,0.42,0.52,0.0,3.0,0.0,0.0,0.0038240917782026767,0.9904397705544933,0.0,1.1350061664359952,0.04540024665743981,13.333333333333334,0.0,0.5931032808537564,0.28389130805329615
golden,phi,0.6060339887498948,-0.011999999999999997,0.14,2,0.04,0.22,0.985,0.28,0.025,0.42,0.52,0.0,2.0,0.0,0.0,0.0038022813688212928,0.9923954372623575,0.0,1.1391831804694021,0.04556732721877609,7.5,0.0,0.6011625185571123,0.2721392615399227
golden,phi,0.6180339887498948,3.469446951953614e-18,0.14,2,0.04,0.22,0.985,0.28,0.025,0.42,0.52,0.0,1.0,0.0,0.0,0.0,0.9984802431610942,0.0,0.87128997380792,0.03485159895231679,51.0,0.0,0.4980669897552995,0.2532773471199061
golden,phi,0.6300339887498948,0.012000000000000004,0.14,2,0.04,0.22,0.985,0.28,0.025,0.42,0.52,0.0,2.0,0.0,0.0,0.0019193857965451055,0.9942418426103646,0.0,1.138723276459197,0.04554893105836789,23.5,0.0,0.5094848220994257,0.2688737580964419
golden,phi,0.6420339887498948,0.024000000000000004,0.14,2,0.04,0.22,0.985,0.28,0.025,0.42,0.52,0.0,6.0,0.0,0.0,0.009523809523809525,0.979047619047619,0.0,1.1562212497286202,0.046248849989144816,8.166666666666666,0.0,0.6854226278612544,0.29461782333214465
golden,phi,0.6540339887498948,0.036000000000000004,0.14,2,0.04,0.22,0.985,0.28,0.025,0.42,0.52,0.0,1.0,0.0,0.0,0.0,0.9981447124304267,0.0,1.14914347002428,0.0459657388009712,46.0,0.0,0.5679328587933126,0.2797592995867932
golden,phi,0.5820339887498948,-0.036,0.14,2,0.04,0.34,0.9,0.28,0.055,0.42,0.52,0.0,2.0,0.0,0.0,0.003787878787878788,0.9924242424242424,0.0,1.1614210914861227,0.04645684365944491,13.5,0.0,0.6060920395171003,0.2874706519904145
golden,phi,0.5940339887498948,-0.023999999999999997,0.14,2,0.04,0.34,0.9,0.28,0.055,0.42,0.52,0.0,5.0,0.0,0.0,0.00946969696969697,0.9810606060606061,0.0,1.1350061664359952,0.04540024665743981,5.6,0.0,0.5930631032348801,0.25403702043943166
golden,phi,0.6060339887498948,-0.011999999999999997,0.14,2,0.04,0.34,0.9,0.28,0.055,0.42,0.52,0.0,2.0,0.0,0.0,0.0038022813688212928,0.9923954372623575,0.0,1.1391831804694021,0.04556732721877609,4.0,0.0,0.60116646740521,0.2410288612214692
golden,phi,0.6180339887498948,3.469446951953614e-18,0.14,2,0.04,0.34,0.9,0.28,0.055,0.42,0.52,0.0,1.0,0.0,0.0,0.0015174506828528073,0.9969650986342944,0.0,0.87128997380792,0.03485159895231679,41.0,0.0,0.4980772400161716,0.2533397979479351
golden,phi,0.6300339887498948,0.012000000000000004,0.14,2,0.04,0.34,0.9,0.28,0.055,0.42,0.52,0.0,1.0,0.0,0.0,0.0,0.9980732177263969,0.0,1.138723276459197,0.04554893105836789,50.0,0.0,0.5099664902293597,0.26880720335518876
golden,phi,0.6420339887498948,0.024000000000000004,0.14,2,0.04,0.34,0.9,0.28,0.055,0.42,0.52,0.0,6.0,0.0,0.0,0.011406844106463879,0.9771863117870723,0.0,1.1562212497286202,0.046248849989144816,6.0,0.0,0.6854263035239718,0.2754336779825964
golden,phi,0.6540339887498948,0.036000000000000004,0.14,2,0.04,0.34,0.9,0.28,0.055,0.42,0.52,0.0,1.0,0.0,0.0,0.001851851851851852,0.9962962962962963,0.0,1.14914347002428,0.0459657388009712,41.0,0.0,0.5679875548588569,0.2798430815239563
golden,phi,0.5820339887498948,-0.036,0.14,2,0.04,0.34,0.9,0.44,0.1,0.74,0.92,0.0,2.0,0.0,0.0,0.0037735849056603774,0.9924528301886792,0.0,1.3203260315262175,0.0528130412610487,5.5,0.0,0.6060142700189497,0.26428964586106357
golden,phi,0.5940339887498948,-0.023999999999999997,0.14,2,0.04,0.34,0.9,0.44,0.1,0.74,0.92,0.0,4.0,0.0,0.0,0.007561436672967864,0.9848771266540642,0.0,1.307526799692525,0.052301071987700995,1.0,0.0,0.592828548580066,0.22157928255176446
golden,phi,0.6060339887498948,-0.011999999999999997,0.14,2,0.04,0.34,0.9,0.44,0.1,0.74,0.92,0.0,2.0,0.0,0.0,0.0038022813688212928,0.9923954372623575,0.0,1.2906659787260197,0.05162663914904079,5.5,0.0,0.6012832568863946,0.2619573565742466
golden,phi,0.6180339887498948,3.469446951953614e-18,0.14,2,0.04,0.34,0.9,0.44,0.1,0.74,0.92,0.0,1.0,0.0,0.0,0.0016474464579901153,0.9967051070840197,0.0,1.0348123719943036,0.04139249487977216,22.0,0.0,0.5404361189775679,0.26915091573231664
golden,phi,0.6300339887498948,0.012000000000000004,0.14,2,0.04,0.34,0.9,0.44,0.1,0.74,0.92,0.0,1.0,0.0,0.0,0.0019305019305019305,0.9961389961389961,0.0,1.2931430378878497,0.051725721515514,55.0,0.0,0.5110384937041073,0.27679852091557194
golden,phi,0.6420339887498948,0.024000000000000004,0.14,2,0.04,0.34,0.9,0.44,0.1,0.74,0.92,0.0,5.0,0.0,0.0,0.00946969696969697,0.9810606060606061,0.0,1.3166689607757547,0.05266675843103018,2.2,0.0,0.6847101876605639,0.24939441313082056
golden,phi,0.6540339887498948,0.036000000000000004,0.14,2,0.04,0.34,0.9,0.44,0.1,0.74,0.92,0.0,3.0,0.0,0.0,0.0055762081784386614,0.9888475836431226,0.0,1.3066891018494904,0.05226756407397961,25.333333333333332,0.0,0.5674467178818803,0.287920960965488
golden,phi,0.5820339887498948,-0.036,0.14,2,0.04,0.34,0.95,0.28,0.1,0.74,0.72,0.0,2.0,0.0,0.0,0.0019011406844106464,0.9942965779467681,0.0,1.1624068070977536,0.04649627228391014,19.0,0.0,0.6055786533937242,0.2873526348478873
golden,phi,0.5940339887498948,-0.023999999999999997,0.14,2,0.04,0.34,0.95,0.28,0.1,0.74,0.72,0.0,3.0,0.0,0.0,0.0038240917782026767,0.9904397705544933,0.0,1.1350061664359952,0.04540024665743981,13.333333333333334,0.0,0.5931032808537564,0.28389130805329615
golden,phi,0.6060339887498948,-0.011999999999999997,0.14,2,0.04,0.34,0.95,0.28,0.1,0.74,0.72,0.0,2.0,0.0,0.0,0.0038022813688212928,0.9923954372623575,0.0,1.1391831804694021,0.04556732721877609,7.0,0.0,0.6013099477755537,0.2677213543547977
golden,phi,0.6180339887498948,3.469446951953614e-18,0.14,2,0.04,0.34,0.95,0.28,0.1,0.74,0.72,0.0,1.0,0.0,0.0,0.0,0.9984520123839009,0.0,0.8696015686167489,0.03478406274466995,55.0,0.0,0.504068042397567,0.2542742455670434
golden,phi,0.6300339887498948,0.012000000000000004,0.14,2,0.04,0.34,0.95,0.28,0.1,0.74,0.72,0.0,1.0,0.0,0.0,0.0,0.9980732177263969,0.0,1.138723276459197,0.04554893105836789,50.0,0.0,0.5099664902293597,0.26880720335518876
golden,phi,0.6420339887498948,0.024000000000000004,0.14,2,0.04,0.34,0.95,0.28,0.1,0.74,0.72,0.0,6.0,0.0,0.0,0.009541984732824428,0.9790076335877863,0.0,1.1495666538109146,0.04598266615243658,9.333333333333334,0.0,0.6850135946600949,0.3016204743858513
