flow,family,alpha,offset,window_width,delay,prediction_gain,pocket_gain,pocket_decay,fit_limit,revision_threshold,write_threshold,rupture_limit,write_count,witness_count,witness_conversion,delayed_retention,release_rate,rupture_rate,prediction_update_rate,mean_fit_error,mean_revision_size,mean_pocket_age,pollution,phase_lock_resistance,score
golden,phi,0.5820339887498948,-0.036,0.14,2,0.04,0.22,0.985,0.3,0.015,0.36,0.58,0.0,4.0,0.0,0.0,0.2727272727272727,0.36363636363636365,0.0,0.8706363530502279,0.03482545412200911,1.3333333333333333,0.0,0.7381742504152802,0.279828670625166
golden,phi,0.5940339887498948,-0.023999999999999997,0.14,2,0.04,0.22,0.985,0.3,0.015,0.36,0.58,0.0,10.0,0.0,0.0,0.3,0.36666666666666664,0.0,0.8555078195600848,0.034220312782403395,1.2222222222222223,0.0,0.7511350264888288,0.27984246119699346
golden,phi,0.6060339887498948,-0.011999999999999997,0.14,2,0.04,0.22,0.985,0.3,0.015,0.36,0.58,0.0,8.0,0.0,0.0,0.3333333333333333,0.2222222222222222,0.0,0.8666728767737065,0.03466691507094826,3.7142857142857144,0.0,0.7195804681567121,0.30298529853708883
golden,phi,0.6180339887498948,3.469446951953614e-18,0.14,2,0.04,0.22,0.985,0.3,0.015,0.36,0.58,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.8449409060307875,0.0337976362412315,0.0,0.0,0.4439425812222929,0.20083827043580907
golden,phi,0.6300339887498948,0.012000000000000004,0.14,2,0.04,0.22,0.985,0.3,0.015,0.36,0.58,0.0,4.0,0.0,0.0,0.2727272727272727,0.36363636363636365,0.0,0.8773825201738458,0.03509530080695383,1.0,0.0,0.6465128124306898,0.2609063421948662
golden,phi,0.6420339887498948,0.024000000000000004,0.14,2,0.04,0.22,0.985,0.3,0.015,0.36,0.58,0.0,4.0,0.0,0.0,0.23076923076923078,0.46153846153846156,0.0,0.8686178269053897,0.03474471307621559,1.0,0.0,0.8085580673250993,0.2854572286982995
golden,phi,0.6540339887498948,0.036000000000000004,0.14,2,0.04,0.22,0.985,0.3,0.015,0.36,0.58,0.0,6.0,0.0,0.0,0.2222222222222222,0.4444444444444444,0.0,0.8622309849937894,0.03448923939975158,2.8,0.0,0.8186496941608415,0.3034465348595657
golden,phi,0.5820339887498948,-0.036,0.14,2,0.04,0.34,0.9,0.3,0.035,0.36,0.58,0.0,86.0,0.0,0.0,0.4857142857142857,0.022857142857142857,0.0,0.8706363530502279,0.03482545412200911,39.78823529411765,0.0,0.8485160993589437,0.38146952041434234
golden,phi,0.5940339887498948,-0.023999999999999997,0.14,2,0.04,0.34,0.9,0.3,0.035,0.36,0.58,0.0,94.0,0.0,0.0,0.4696969696969697,0.05555555555555555,0.0,0.8555078195600848,0.034220312782403395,29.698924731182796,0.0,0.8180920082412916,0.37347496482601705
golden,phi,0.6060339887498948,-0.011999999999999997,0.14,2,0.04,0.34,0.9,0.3,0.035,0.36,0.58,0.0,105.0,0.0,0.0,0.4858490566037736,0.018867924528301886,0.0,0.8666728767737065,0.03466691507094826,30.278846153846153,0.0,0.826078977887694,0.37727332918054934
golden,phi,0.6180339887498948,3.469446951953614e-18,0.14,2,0.04,0.34,0.9,0.3,0.035,0.36,0.58,0.0,2.0,0.0,0.0,0.2,0.4,0.0,0.8449409060307875,0.0337976362412315,33.0,0.0,0.6279903280795784,0.32463353153678715
golden,phi,0.6300339887498948,0.012000000000000004,0.14,2,0.04,0.34,0.9,0.3,0.035,0.36,0.58,0.0,100.0,0.0,0.0,0.49019607843137253,0.0196078431372549,0.0,0.8773825201738458,0.03509530080695383,30.65,0.0,0.7331553518756795,0.3613742512260397
golden,phi,0.6420339887498948,0.024000000000000004,0.14,2,0.04,0.34,0.9,0.3,0.035,0.36,0.58,0.0,81.0,0.0,0.0,0.47904191616766467,0.03592814371257485,0.0,0.8686178269053897,0.03474471307621559,39.475,0.0,0.7291989942032502,0.3593081193605132
