flow,family,alpha,offset,window_width,delay,prediction_gain,correction_gain,pocket_gain,pocket_decay,fit_limit,correction_limit,revision_threshold,write_threshold,rupture_limit,write_count,witness_count,witness_conversion,delayed_retention,release_rate,rupture_rate,correction_rate,prediction_update_rate,mean_fit_error,mean_revision_size,mean_pocket_age,pollution,phase_lock_resistance,score
golden,phi,0.5820339887498948,-0.036,0.14,2,0.04,0.1,0.34,0.95,0.18,0.34,0.028,0.5,0.82,0.0,157.0,0.0,0.0,0.27788649706457924,0.41487279843444225,0.05517578125,0.0,0.12632960982703387,0.005053184393081355,1.5095541401273886,0.0,0.7362229160286461,0.2919760993100547
golden,phi,0.5940339887498948,-0.023999999999999997,0.14,2,0.04,0.1,0.34,0.95,0.18,0.34,0.028,0.5,0.82,0.0,39.0,0.0,0.0,0.3274336283185841,0.3274336283185841,0.032958984375,0.0,0.7404371684989054,0.029617486739956216,84.94736842105263,0.0,0.7504232588381663,0.3227822629152203
golden,phi,0.6060339887498948,-0.011999999999999997,0.14,2,0.04,0.1,0.34,0.95,0.18,0.34,0.028,0.5,0.82,0.0,20.0,0.0,0.0,0.26865671641791045,0.43283582089552236,0.032470703125,0.0,0.7736578666581713,0.030946314666326857,173.6315789473684,0.0,0.7337584672005206,0.31906089001418925
golden,phi,0.6180339887498948,3.469446951953614e-18,0.14,2,0.04,0.1,0.34,0.95,0.18,0.34,0.028,0.5,0.82,0.0,190.0,0.0,0.0,0.2911392405063291,0.40822784810126583,0.064208984375,0.0,0.1556848991905463,0.0062273959676218535,1.5052631578947369,0.0,0.5688608899079901,0.26621893326387497
golden,phi,0.6300339887498948,0.012000000000000004,0.14,2,0.04,0.1,0.34,0.95,0.18,0.34,0.028,0.5,0.82,0.0,31.0,0.0,0.0,0.3225806451612903,0.34408602150537637,0.03857421875,0.0,0.7687801556998138,0.03075120622799256,63.63333333333333,0.0,0.690135413327212,0.31795288430174584
golden,phi,0.6420339887498948,0.024000000000000004,0.14,2,0.04,0.1,0.34,0.95,0.18,0.34,0.028,0.5,0.82,0.0,142.0,0.0,0.0,0.31746031746031744,0.36054421768707484,0.056640625,0.0,0.258168323916553,0.01032673295666212,1.524822695035461,0.0,0.7176481022479324,0.2718190945976855
golden,phi,0.6540339887498948,0.036000000000000004,0.14,2,0.04,0.1,0.34,0.95,0.18,0.34,0.028,0.5,0.82,0.0,29.0,0.0,0.0,0.27835051546391754,0.422680412371134,0.0380859375,0.0,0.7330208192995527,0.02932083277198211,2.3214285714285716,0.0,0.7078811263538458,0.25620978434496977
golden,phi,0.5820339887498948,-0.036,0.14,2,0.04,0.18,0.12,0.95,0.3,0.34,0.028,0.5,0.82,0.0,41.0,0.0,0.0,0.45977011494252873,0.06896551724137931,0.0078125,0.0,0.858120856799534,0.03432483427198135,83.975,0.0,0.7589570658976545,0.32570615838261646
golden,phi,0.5940339887498948,-0.023999999999999997,0.14,2,0.04,0.18,0.12,0.95,0.3,0.34,0.028,0.5,0.82,0.0,89.0,0.0,0.0,0.37606837606837606,0.24358974358974358,0.009765625,0.0,0.6872734654159895,0.02749093861663959,27.78409090909091,0.0,0.7425153347133255,0.30667506533972433
golden,phi,0.6060339887498948,-0.011999999999999997,0.14,2,0.04,0.18,0.12,0.95,0.3,0.34,0.028,0.5,0.82,0.0,113.0,0.0,0.0,0.49557522123893805,0.004424778761061947,0.0029296875,0.0,0.8750436534433252,0.03500174613773301,27.660714285714285,0.0,0.8243902859551475,0.3364818298129112
golden,phi,0.6180339887498948,3.469446951953614e-18,0.14,2,0.04,0.18,0.12,0.95,0.3,0.34,0.028,0.5,0.82,0.0,10.0,0.0,0.0,0.45,0.05,0.008056640625,0.0,0.8484783722989453,0.033939134891957816,1.1111111111111112,0.0,0.514935042320152,0.21655629981787491
golden,phi,0.6300339887498948,0.012000000000000004,0.14,2,0.04,0.18,0.12,0.95,0.3,0.34,0.028,0.5,0.82,0.0,94.0,0.0,0.0,0.45410628019323673,0.09178743961352658,0.005859375,0.0,0.8295878513557274,0.0331835140542291,32.712765957446805,0.0,0.680755112142448,0.3093154888019983
golden,phi,0.6420339887498948,0.024000000000000004,0.14,2,0.04,0.18,0.12,0.95,0.3,0.34,0.028,0.5,0.82,0.0,71.0,0.0,0.0,0.4794520547945205,0.03424657534246575,0.006591796875,0.0,0.8633177517985114,0.03453271007194046,48.27142857142857,0.0,0.5763991745767183,0.2972005636452437
golden,phi,0.6540339887498948,0.036000000000000004,0.14,2,0.04,0.18,0.12,0.95,0.3,0.34,0.028,0.5,0.82,0.0,97.0,0.0,0.0,0.375,0.24609375,0.008544921875,0.0,0.6567596442380015,0.02627038576952006,25.166666666666668,0.0,0.714456397195943,0.29920144319690367
golden,phi,0.5820339887498948,-0.036,0.14,2,0.04,0.18,0.22,0.9,0.18,0.34,0.012,0.5,0.64,0.0,152.0,0.0,0.0,0.4408284023668639,0.10946745562130178,0.029052734375,0.0,0.802187179067416,0.03208748716269664,17.258278145695364,0.0,0.7741110740084923,0.33527865345099034
golden,phi,0.5940339887498948,-0.023999999999999997,0.14,2,0.04,0.18,0.22,0.9,0.18,0.34,0.012,0.5,0.64,0.0,162.0,0.0,0.0,0.48787878787878786,0.021212121212121213,0.031494140625,0.0,0.8660733393010807,0.03464293357204323,14.222222222222221,0.0,0.7971810662261778,0.3476414694207526
