policy_id,rank,family,tradeoff_score
1,1,random,1.8819258402295818
1,2,silver,1.865040774990658
1,3,near_golden,1.8593504880295992
2,1,near_golden,1.9204615991407106
2,2,silver,1.865040774990658
2,3,bronze,1.8548920684230683
3,1,near_golden,2.059798516703434
3,2,silver,1.865040774990658
3,3,rational_approx,1.8648990664870777
4,1,golden,2.5851774638349845
4,2,silver,2.231688190389412
4,3,near_golden,2.2182913255748975
5,1,golden,2.5851774638349845
5,2,silver,2.231688190389412
5,3,near_golden,1.9908914767464765
6,1,golden,2.307087576194535
6,2,silver,2.231688190389412
6,3,near_golden,2.1302283943092006
7,1,golden,2.951832341101755
7,2,near_golden,2.3183868344549086
7,3,silver,2.20386210343289
8,1,golden,2.951832341101755
8,2,near_golden,2.2572757233437972
8,3,silver,2.20386210343289
9,1,golden,2.218499007768422
9,2,bronze,2.1670162723328983
9,3,near_golden,2.0962836935381
10,1,random,1.8819258402295818
10,2,silver,1.865040774990658
10,3,near_golden,1.8593504880295992
11,1,near_golden,1.9815727102518212
11,2,random,1.8819258402295818
11,3,silver,1.865040774990658
12,1,near_golden,2.1820207389256563
12,2,golden,2.1024185073284527
12,3,random,1.8819258402295818
13,1,golden,2.5851774638349845
13,2,silver,2.231688190389412
13,3,near_golden,2.2182913255748975
14,1,golden,2.5851774638349845
14,2,silver,2.231688190389412
14,3,near_golden,2.0434802900495757
15,1,golden,2.497115666082175
15,2,near_golden,2.2439283187234107
15,3,silver,2.231688190389412
16,1,golden,2.951832341101755
16,2,near_golden,2.3183868344549086
16,3,silver,2.20386210343289
17,1,golden,2.951832341101755
17,2,near_golden,2.3071047831728566
17,3,silver,2.20386210343289
18,1,golden,2.469054563323977
18,2,near_golden,2.207223864478271
18,3,bronze,2.1670162723328983
19,1,random,1.8819258402295818
19,2,silver,1.865040774990658
19,3,near_golden,1.8593504880295992
20,1,near_golden,1.9815727102518212
20,2,random,1.8819258402295818
20,3,silver,1.865040774990658
21,1,near_golden,2.215731906012138
21,2,golden,2.1024185073284527
21,3,random,1.9947463530500946
22,1,golden,2.5851774638349845
22,2,silver,2.231688190389412
22,3,near_golden,2.2182913255748975
23,1,golden,2.5851774638349845
23,2,silver,2.231688190389412
23,3,near_golden,2.0434802900495757
24,1,golden,2.497115666082175
24,2,near_golden,2.2776394858098925
24,3,silver,2.231688190389412
25,1,golden,2.951832341101755
25,2,near_golden,2.3183868344549086
25,3,silver,2.20386210343289
26,1,golden,2.951832341101755
26,2,near_golden,2.3071047831728566
26,3,silver,2.20386210343289
27,1,golden,2.469054563323977
27,2,near_golden,2.2409350315647534
27,3,bronze,2.1670162723328983
28,1,near_golden,1.981529709824388
28,2,random,1.881847040230757
28,3,silver,1.864842363149241
29,1,bronze,2.2214932545112402
29,2,near_golden,2.0426408209354987
29,3,silver,1.864842363149241
30,1,silver,2.2315090298159075
30,2,bronze,2.2214932545112402
30,3,near_golden,2.135938438208407
31,1,golden,2.5851474633906846
31,2,silver,2.2314897785479952
31,3,bronze,2.221487383220606
32,1,silver,2.2314897785479952
32,2,bronze,2.221487383220606
32,3,golden,2.2184807967240174
33,1,silver,2.5981564452146615
33,2,bronze,2.221487383220606
33,3,golden,2.2184807967240174
34,1,golden,2.951802340657455
34,2,silver,2.57033035825814
34,3,near_golden,2.3181910731589497
35,1,golden,2.951802340657455
35,2,silver,2.57033035825814
35,3,near_golden,2.2570799620478383
36,1,golden,2.218469007324122
36,2,silver,2.203663691591473
36,3,bronze,2.1669631253065176
37,1,near_golden,1.981529709824388
37,2,random,1.881847040230757
37,3,silver,1.864842363149241
38,1,bronze,2.2214932545112402
38,2,golden,2.2184877631495783
38,3,near_golden,2.1228461942240546
39,1,silver,2.582495871921171
39,2,near_golden,2.277254922608074
39,3,bronze,2.2214932545112402
40,1,golden,2.5851474633906846
40,2,silver,2.2314897785479952
40,3,bronze,2.221487383220606
41,1,golden,2.5851474633906846
41,2,silver,2.2314897785479952
41,3,bronze,2.221487383220606
42,1,silver,2.949143287319925
42,2,golden,2.4970856656378753
42,3,near_golden,2.2671102750561984
43,1,golden,2.951802340657455
43,2,silver,2.57033035825814
43,3,near_golden,2.3181910731589497
44,1,golden,2.951802340657455
44,2,silver,2.57033035825814
44,3,near_golden,2.306909021876898
45,1,silver,2.5546505336967362
45,2,golden,2.469024562879677
45,3,near_golden,2.2070281031823122
46,1,near_golden,1.981529709824388
46,2,random,1.881847040230757
46,3,silver,1.864842363149241
47,1,bronze,2.2214932545112402
47,2,golden,2.2184877631495783
47,3,near_golden,2.1228461942240546
48,1,silver,2.582495871921171
48,2,near_golden,2.310966089694556
48,3,bronze,2.2214932545112402
49,1,golden,2.5851474633906846
49,2,silver,2.2314897785479952
49,3,bronze,2.221487383220606
50,1,golden,2.5851474633906846
50,2,silver,2.2314897785479952
50,3,bronze,2.221487383220606
51,1,silver,2.949143287319925
51,2,golden,2.4970856656378753
51,3,near_golden,2.3008214421426803
52,1,golden,2.951802340657455
52,2,silver,2.57033035825814
52,3,near_golden,2.3181910731589497
53,1,golden,2.951802340657455
53,2,silver,2.57033035825814
53,3,near_golden,2.306909021876898
54,1,silver,2.5546505336967362
54,2,golden,2.469024562879677
54,3,near_golden,2.2407392702687945
55,1,near_golden,2.0426043245978125
55,2,random,1.9551219869328682
55,3,silver,1.864842363149241
56,1,bronze,2.221434265753177
56,2,near_golden,2.0426043245978125
56,3,silver,1.864842363149241
57,1,silver,2.2315090298159075
57,2,bronze,2.221434265753177
57,3,near_golden,2.1359019418707206
58,1,golden,2.5850287918206245
58,2,silver,2.2314897785479952
58,3,bronze,2.221434265753177
59,1,silver,2.2314897785479952
59,2,bronze,2.221434265753177
59,3,near_golden,1.9737745011717145
60,1,silver,2.5981564452146615
60,2,bronze,2.221434265753177
60,3,near_golden,2.125759997545808
61,1,golden,2.951695458487291
61,2,silver,2.57033035825814
61,3,near_golden,2.378360033193997
62,1,golden,2.951695458487291
62,2,silver,2.57033035825814
62,3,near_golden,2.3172489220828862
63,1,silver,2.203663691591473
63,2,bronze,2.1669100078390886
63,3,near_golden,2.0951457811660776
64,1,near_golden,2.0426043245978125
64,2,random,1.9551219869328682
64,3,silver,1.864842363149241
65,1,golden,2.5850287918206245
65,2,bronze,2.221434265753177
65,3,near_golden,2.1839208089974798
66,1,silver,2.582495871921171
66,2,golden,2.496966994067815
66,3,near_golden,2.338329537381499
67,1,golden,2.5850287918206245
67,2,silver,2.2314897785479952
67,3,bronze,2.221434265753177
68,1,golden,2.5850287918206245
68,2,silver,2.2314897785479952
68,3,bronze,2.221434265753177
69,1,silver,2.949143287319925
69,2,golden,2.496966994067815
69,3,near_golden,2.3281875930565863
70,1,golden,2.951695458487291
70,2,silver,2.57033035825814
70,3,near_golden,2.378360033193997
71,1,golden,2.951695458487291
71,2,silver,2.57033035825814
71,3,near_golden,2.3670779819119456
72,1,silver,2.5546505336967362
72,2,golden,2.468917680709513
72,3,near_golden,2.2671970632173597
73,1,near_golden,2.0426043245978125
73,2,random,1.9551219869328682
73,3,silver,1.864842363149241
74,1,golden,2.5850287918206245
74,2,bronze,2.221434265753177
74,3,near_golden,2.1839208089974798
75,1,silver,2.582495871921171
75,2,golden,2.496966994067815
75,3,near_golden,2.3720407044679805
76,1,golden,2.5850287918206245
76,2,silver,2.2314897785479952
76,3,bronze,2.221434265753177
77,1,golden,2.5850287918206245
77,2,silver,2.2314897785479952
77,3,bronze,2.221434265753177
78,1,silver,2.949143287319925
78,2,golden,2.496966994067815
78,3,near_golden,2.3618987601430685
79,1,golden,2.951695458487291
79,2,silver,2.57033035825814
79,3,near_golden,2.378360033193997
80,1,golden,2.951695458487291
80,2,silver,2.57033035825814
80,3,near_golden,2.3670779819119456
81,1,silver,2.5546505336967362
81,2,golden,2.468917680709513
81,3,near_golden,2.300908230303842
82,1,random,1.8820303433116365
82,2,silver,1.8651193680906084
82,3,near_golden,1.8594442189801217
83,1,near_golden,1.9205553300912328
83,2,silver,1.8651193680906084
83,3,bronze,1.8551233379844823
84,1,near_golden,2.0598922476539574
84,2,silver,1.8651193680906084
84,3,rational_approx,1.8649052686085987
85,1,golden,2.585254905236394
85,2,random,2.291440335870148
85,3,silver,2.231766783489362
86,1,golden,2.585254905236394
86,2,silver,2.231766783489362
86,3,near_golden,1.9936963889271497
87,1,golden,2.307165017595944
87,2,silver,2.231766783489362
87,3,near_golden,2.133033306489873
88,1,golden,2.951907537289483
88,2,near_golden,2.3218761306229823
88,3,silver,2.20394069653284
89,1,golden,2.951907537289483
89,2,near_golden,2.284402336073716
89,3,silver,2.20394069653284
90,1,golden,2.21857420395615
90,2,bronze,2.1836051471497897
90,3,near_golden,2.1234103062680187
91,1,random,1.8820303433116365
91,2,silver,1.8651193680906084
91,3,near_golden,1.8594442189801217
92,1,near_golden,1.981666441202344
92,2,random,1.8820303433116365
92,3,silver,1.8651193680906084
93,1,near_golden,2.182114469876179
93,2,golden,2.1024962526990922
93,3,random,1.8820303433116365
94,1,golden,2.585254905236394
94,2,random,2.291440335870148
94,3,silver,2.231766783489362
95,1,golden,2.585254905236394
95,2,silver,2.231766783489362
95,3,near_golden,2.0462852022302487
96,1,golden,2.4971931074835845
96,2,near_golden,2.2467332309040837
96,3,silver,2.231766783489362
97,1,golden,2.951907537289483
97,2,near_golden,2.3218761306229823
97,3,silver,2.20394069653284
98,1,golden,2.951907537289483
98,2,near_golden,2.3149578916292715
98,3,silver,2.20394069653284
99,1,golden,2.469129759511705
99,2,near_golden,2.215076972934685
99,3,bronze,2.1836051471497897
100,1,random,1.8820303433116365
100,2,silver,1.8651193680906084
100,3,near_golden,1.8594442189801217
101,1,near_golden,1.981666441202344
101,2,random,1.8820303433116365
101,3,silver,1.8651193680906084
102,1,near_golden,2.215825636962661
102,2,golden,2.1024962526990922
102,3,random,1.9948508561321494
103,1,golden,2.585254905236394
103,2,random,2.291440335870148
103,3,silver,2.231766783489362
104,1,golden,2.585254905236394
104,2,silver,2.231766783489362
104,3,near_golden,2.0462852022302487
105,1,golden,2.4971931074835845
105,2,near_golden,2.280444397990566
105,3,silver,2.231766783489362
106,1,golden,2.951907537289483
106,2,near_golden,2.3218761306229823
106,3,silver,2.20394069653284
107,1,golden,2.951907537289483
107,2,near_golden,2.3149578916292715
107,3,silver,2.20394069653284
108,1,golden,2.469129759511705
108,2,near_golden,2.2487881400211673
108,3,bronze,2.1836051471497897
109,1,near_golden,1.981629138313782
109,2,random,1.8819515433128118
109,3,silver,1.864935148910656
110,1,bronze,2.2217488470170585
110,2,near_golden,2.0427402494248934
110,3,silver,1.864935148910656
111,1,silver,2.2316018155773225
111,2,bronze,2.2217488470170585
111,3,near_golden,2.136037866697801
112,1,golden,2.585224904792094
112,2,random,2.2913646222461783
112,3,silver,2.23158256430941
113,1,silver,2.23158256430941
113,2,bronze,2.2217237943908734
113,3,golden,2.218558238125427
114,1,silver,2.5982492309760765
114,2,bronze,2.2217237943908734
114,3,golden,2.218558238125427
115,1,golden,2.951877536845183
115,2,silver,2.570423144019555
115,3,near_golden,2.321683008259566
116,1,golden,2.951877536845183
116,2,silver,2.570423144019555
116,3,near_golden,2.2842092137103003
117,1,golden,2.21854420351185
117,2,silver,2.2037564773528877
117,3,bronze,2.1835763230678134
118,1,near_golden,1.981629138313782
118,2,random,1.8819515433128118
118,3,silver,1.864935148910656
119,1,bronze,2.2217488470170585
119,2,golden,2.218565508520218
119,3,near_golden,2.1229456227134493
120,1,silver,2.5825886576825856
120,2,near_golden,2.2773543510974683
120,3,bronze,2.2217488470170585
121,1,golden,2.585224904792094
121,2,random,2.2913646222461783
121,3,silver,2.23158256430941
122,1,golden,2.585224904792094
122,2,silver,2.23158256430941
122,3,bronze,2.2217237943908734
123,1,silver,2.9492360730813396
123,2,golden,2.4971631070392846
123,3,near_golden,2.2699202627023394
124,1,golden,2.951877536845183
124,2,silver,2.570423144019555
124,3,near_golden,2.321683008259566
125,1,golden,2.951877536845183
125,2,silver,2.570423144019555
125,3,near_golden,2.3147647692658557
126,1,silver,2.5547433194581513
126,2,golden,2.4690997590674053
126,3,near_golden,2.21488385057127
127,1,near_golden,1.981629138313782
127,2,random,1.8819515433128118
127,3,silver,1.864935148910656
128,1,bronze,2.2217488470170585
128,2,golden,2.218565508520218
128,3,near_golden,2.1229456227134493
129,1,silver,2.5825886576825856
129,2,near_golden,2.31106551818395
129,3,bronze,2.2217488470170585
130,1,golden,2.585224904792094
130,2,random,2.2913646222461783
130,3,silver,2.23158256430941
131,1,golden,2.585224904792094
131,2,silver,2.23158256430941
131,3,bronze,2.2217237943908734
132,1,silver,2.9492360730813396
132,2,golden,2.4971631070392846
132,3,near_golden,2.3036314297888216
133,1,golden,2.951877536845183
133,2,silver,2.570423144019555
133,3,near_golden,2.321683008259566
134,1,golden,2.951877536845183
134,2,silver,2.570423144019555
134,3,near_golden,2.3147647692658557
135,1,silver,2.5547433194581513
135,2,golden,2.4690997590674053
135,3,near_golden,2.248595017657751
136,1,near_golden,2.042703753087207
136,2,random,1.9552283359013216
136,3,silver,1.864935148910656
137,1,bronze,2.2216898582589955
137,2,near_golden,2.042703753087207
137,3,silver,1.864935148910656
138,1,silver,2.2316018155773225
138,2,bronze,2.2216898582589955
138,3,near_golden,2.1360013703601153
139,1,golden,2.585117798543473
139,2,random,2.291309791502488
139,3,silver,2.23158256430941
140,1,silver,2.23158256430941
140,2,bronze,2.2216706769234444
140,3,golden,2.0344920875082053
141,1,silver,2.5982492309760765
141,2,bronze,2.2216706769234444
141,3,near_golden,2.1285699851919495
142,1,golden,2.9517755133558428
