family,surrogate_type,mean_tradeoff_delta,median_tradeoff_delta,positive_delta_fraction
bounded_cf_123,block_shuffled,-0.038361655727992126,-0.06031255811053546,0.2777777777777778
bounded_cf_123,density_random,-0.07603342086647585,-0.064705136845319,0.25925925925925924
bounded_cf_123,markov,-0.0400460311191959,-0.047144254511505806,0.3148148148148148
bounded_cf_123,shuffled,-0.06428948705879677,-0.06493932771511904,0.3148148148148148
bronze,block_shuffled,-0.03682092665027865,-0.03797303639234029,0.35185185185185186
bronze,density_random,-0.050461996189257126,-0.04229371189015366,0.35185185185185186
bronze,markov,-0.017304196543636678,-0.0015436173359452687,0.5
bronze,shuffled,-0.060691269230270406,-0.037077171728168656,0.3333333333333333
golden,block_shuffled,0.02488594699365329,0.0013999999999999846,0.5925925925925926
golden,density_random,-0.012028740705510044,0.0,0.42592592592592593
golden,markov,0.026405440995201295,0.00828607281390438,0.6111111111111112
golden,shuffled,-0.016714716870228068,0.0,0.4074074074074074
noble,block_shuffled,-0.06721025981596933,-0.04135908752740264,0.3888888888888889
noble,density_random,-0.08054860401467095,-0.05500323187407413,0.35185185185185186
noble,markov,-0.06614151823575821,-0.04142277095886815,0.46296296296296297
noble,shuffled,-0.07832068091989924,-0.027068751870738872,0.4074074074074074
random_uniform,block_shuffled,-0.021372512784528497,-0.02255275911371929,0.3888888888888889
random_uniform,density_random,-0.03851042479790688,-0.03745978870473818,0.42592592592592593
random_uniform,markov,-0.01662775774907528,-0.02782033676966622,0.4444444444444444
random_uniform,shuffled,-0.0339537033972857,-0.01906920857496408,0.46296296296296297
rational_fib,block_shuffled,-0.04318223725390929,-0.0653075448464755,0.3333333333333333
rational_fib,density_random,-0.045187748655575385,-0.03797024423331555,0.25925925925925924
rational_fib,markov,-0.01271603882146375,-0.02104409717009051,0.42592592592592593
rational_fib,shuffled,-0.03985716510594274,-0.03920827538183291,0.2962962962962963
silver,block_shuffled,0.02016484533615877,0.0013999999999999846,0.5370370370370371
silver,density_random,-6.777385995292305e-06,0.00865966867789214,0.5740740740740741
silver,markov,0.015560463957208866,0.0013999999999999846,0.5370370370370371
silver,shuffled,-0.0050444531211035325,0.0014166108179126807,0.5555555555555556
unbounded_cf,block_shuffled,-0.018867011486855788,-0.010761478293249194,0.37037037037037035
unbounded_cf,density_random,-0.062381100027966103,-0.02837112180552906,0.2037037037037037
unbounded_cf,markov,-0.04113822282047134,-0.014712633178185719,0.42592592592592593
unbounded_cf,shuffled,-0.07066921583409681,-0.05388818157623543,0.2037037037037037
