mode,flow,family,alpha,offset,delay,slot_count,window_width,stack_gain,stack_decay,relation_gain,witness_threshold,write_threshold,rupture_threshold,write_count,witness_count,witness_conversion,delayed_retention,release_rate,rupture_rate,relation_rate,slot_revisit_rate,occupied_slots,mean_charge,max_charge,pollution,phase_lock_resistance,score
independent,golden,phi,0.5820339887498948,-0.036,5,8,0.14,0.18,0.975,0.0,0.36,0.54,1.55,16.0,156.0,0.10256410256410256,0.09302325581395349,0.7789203084832905,0.0,0.7544987146529563,0.622107969151671,2.0,0.10579818075374474,0.4983729650294699,0.003907203907203907,0.5827191533171638,0.5302111360237364
independent,golden,phi,0.5940339887498948,-0.023999999999999997,5,8,0.14,0.18,0.975,0.0,0.36,0.54,1.55,20.0,137.0,0.145985401459854,0.12738853503184713,0.7982005141388174,0.0,0.705655526992288,0.4640102827763496,1.0,0.08216565231739728,0.3509224624657996,0.004884004884004884,0.5737513826702874,0.5289280772042689
independent,golden,phi,0.6060339887498948,-0.011999999999999997,5,8,0.14,0.18,0.975,0.0,0.36,0.54,1.55,13.0,127.0,0.10236220472440945,0.09285714285714286,0.8198198198198198,0.0,0.6782496782496783,0.528957528957529,2.0,0.10582955967368955,0.33390007447012565,0.0031746031746031746,0.5960919942163516,0.5298885045135986
independent,golden,phi,0.6180339887498948,3.469446951953614e-18,5,8,0.14,0.18,0.975,0.0,0.36,0.54,1.55,32.0,197.0,0.16243654822335024,0.13973799126637554,0.7670396744659207,0.0,0.832146490335707,0.503560528992879,1.0,0.11580356817737907,0.43570036859304206,0.007814407814407814,0.52617057124915,0.5276697998423959
independent,golden,phi,0.6300339887498948,0.012000000000000004,5,8,0.14,0.18,0.975,0.0,0.36,0.54,1.55,15.0,153.0,0.09803921568627451,0.08928571428571429,0.7832258064516129,0.0,0.6890322580645162,0.4154838709677419,2.0,0.08783208081742605,0.2675543415179817,0.003663003663003663,0.5141706732882794,0.5176644079061471
independent,golden,phi,0.6420339887498948,0.024000000000000004,5,8,0.14,0.18,0.975,0.0,0.36,0.54,1.55,13.0,139.0,0.09352517985611511,0.08552631578947369,0.8025974025974026,0.0,0.8,0.44935064935064933,2.0,0.07449133498843903,0.3233126184041052,0.0031746031746031746,0.538554793218075,0.5190989171214527
independent,golden,phi,0.6540339887498948,0.036000000000000004,5,8,0.14,0.18,0.975,0.0,0.36,0.54,1.55,20.0,145.0,0.13793103448275862,0.12121212121212122,0.7911392405063291,0.0,0.6797468354430379,0.4443037974683544,3.0,0.08054754956425807,0.25036407235413854,0.004884004884004884,0.56470148766317,0.5480892864304406
independent,golden,phi,0.5820339887498948,-0.036,5,8,0.14,0.18,0.992,0.0,0.24,0.72,1.55,53.0,590.0,0.08983050847457627,0.08242612752721618,0.17352185089974292,0.0,0.7544987146529563,0.8367609254498715,4.0,0.2355045968964829,0.6969953834059367,0.012454212454212455,0.5550652486984204,0.5802364832452018
independent,golden,phi,0.5940339887498948,-0.023999999999999997,5,8,0.14,0.18,0.992,0.0,0.24,0.72,1.55,52.0,563.0,0.09236234458259325,0.08455284552845528,0.2064516129032258,0.0,0.7509677419354839,0.807741935483871,3.0,0.21475508920804567,0.4516896930106742,0.012454212454212455,0.5472024441941259,0.5665061198239223
independent,golden,phi,0.6060339887498948,-0.011999999999999997,5,8,0.14,0.18,0.992,0.0,0.24,0.72,1.55,48.0,575.0,0.08347826086956522,0.07704654895666131,0.1981981981981982,0.0,0.752895752895753,0.8185328185328186,3.0,0.25245801171799165,0.5784012085576941,0.011721611721611722,0.572381885221759,0.5684313007335311
independent,golden,phi,0.6180339887498948,3.469446951953614e-18,5,8,0.14,0.18,0.992,0.0,0.24,0.72,1.55,91.0,755.0,0.1205298013245033,0.10756501182033097,0.13936927772126145,0.0,0.8107833163784334,0.7639877924720244,3.0,0.2060798032095012,0.4725314803119253,0.022222222222222223,0.4665390435997564,0.5652330006503866
independent,golden,phi,0.6300339887498948,0.012000000000000004,5,8,0.14,0.18,0.992,0.0,0.24,0.72,1.55,50.0,602.0,0.08305647840531562,0.07668711656441718,0.15870967741935485,0.0,0.775483870967742,0.8270967741935484,2.0,0.20597157419549378,0.5511857942527131,0.01221001221001221,0.4755014271534558,0.543889309276666
independent,golden,phi,0.6420339887498948,0.024000000000000004,5,8,0.14,0.18,0.992,0.0,0.24,0.72,1.55,46.0,581.0,0.07917383820998279,0.0733652312599681,0.18571428571428572,0.0,0.7961038961038961,0.8506493506493507,3.0,0.22225764857174496,0.6442425571753926,0.011233211233211233,0.6311793195702502,0.5773319324562506
independent,golden,phi,0.6540339887498948,0.036000000000000004,5,8,0.14,0.18,0.992,0.0,0.24,0.72,1.55,56.0,573.0,0.09773123909249563,0.0890302066772655,0.20379746835443038,0.0,0.7569620253164557,0.8455696202531645,3.0,0.21428148287170617,0.48399708703646005,0.013675213675213675,0.5335283388889089,0.5659852731351611
independent,golden,phi,0.5820339887498948,-0.036,5,8,0.14,0.18,0.992,0.18,0.36,0.54,1.55,99.0,348.0,0.28448275862068967,0.2214765100671141,0.4254498714652956,0.0,0.7570694087403599,0.6246786632390745,4.0,0.1349561035952663,0.28848701224569046,0.023931623931623933,0.5818743011485692,0.6231112901817598
independent,golden,phi,0.5940339887498948,-0.023999999999999997,5,8,0.14,0.18,0.992,0.18,0.36,0.54,1.55,96.0,316.0,0.3037974683544304,0.23300970873786409,0.46838709677419355,0.0,0.7793548387096774,0.6425806451612903,4.0,0.15837372459206112,0.35808055339443984,0.023443223443223443,0.572429868003367,0.62414943096016
independent,golden,phi,0.6060339887498948,-0.011999999999999997,5,8,0.14,0.18,0.992,0.18,0.36,0.54,1.55,91.0,353.0,0.2577903682719547,0.20495495495495494,0.42857142857142855,0.0,0.7915057915057915,0.6241956241956242,4.0,0.20560118138273586,0.4765596241036614,0.022222222222222223,0.5979642351151941,0.6185003963312352
independent,golden,phi,0.6180339887498948,3.469446951953614e-18,5,8,0.14,0.18,0.992,0.18,0.36,0.54,1.55,160.0,505.0,0.31683168316831684,0.24060150375939848,0.323499491353001,0.0,0.8209562563580874,0.582909460834181,3.0,0.17648264599877622,0.42666724091090336,0.03907203907203907,0.49859760278029286,0.6120945177252369
independent,golden,phi,0.6300339887498948,0.012000000000000004,5,8,0.14,0.18,0.992,0.18,0.36,0.54,1.55,97.0,339.0,0.2861356932153392,0.22247706422018348,0.4374193548387097,0.0,0.7974193548387096,0.6516129032258065,4.0,0.17567268016028154,0.43477247797299096,0.023687423687423687,0.507173774054485,0.6108957366698622
independent,golden,phi,0.6420339887498948,0.024000000000000004,5,8,0.14,0.18,0.992,0.18,0.36,0.54,1.55,97.0,352.0,0.2755681818181818,0.21603563474387527,0.41688311688311686,0.0,0.7584415584415585,0.6766233766233766,4.0,0.1670320654509867,0.32241503405856375,0.023687423687423687,0.5361839093344758,0.6139655804138248
independent,golden,phi,0.6540339887498948,0.036000000000000004,5,8,0.14,0.18,0.992,0.18,0.36,0.54,1.55,101.0,367.0,0.27520435967302453,0.21581196581196582,0.40759493670886077,0.0,0.7822784810126582,0.5417721518987342,4.0,0.18065171643598416,0.45358481528884664,0.024664224664224663,0.5585648904303735,0.617938650494652
independent,golden,phi,0.5820339887498948,-0.036,5,8,0.14,0.3,0.94,0.0,0.24,0.54,1.55,26.0,382.0,0.06806282722513089,0.06372549019607843,0.4755784061696658,0.0,0.7467866323907455,0.7236503856041131,2.0,0.08739615275105825,0.5315007100385845,0.006349206349206349,0.5614512307070627,0.5345259256264803
independent,golden,phi,0.5940339887498948,-0.023999999999999997,5,8,0.14,0.3,0.94,0.0,0.24,0.54,1.55,44.0,360.0,0.12222222222222222,0.10891089108910891,0.47870967741935483,0.0,0.7174193548387097,0.7974193548387096,2.0,0.02315207368769207,0.09237983897955658,0.010744810744810745,0.5549063757592663,0.5490578274766599
independent,golden,phi,0.6060339887498948,-0.011999999999999997,5,8,0.14,0.3,0.94,0.0,0.24,0.54,1.55,27.0,381.0,0.07086614173228346,0.0661764705882353,0.4749034749034749,0.0,0.7387387387387387,0.806949806949807,2.0,0.07338290010213488,0.2566380566085192,0.006593406593406593,0.5710481618165384,0.5369325703290632
independent,golden,phi,0.6180339887498948,3.469446951953614e-18,5,8,0.14,0.3,0.94,0.0,0.24,0.54,1.55,45.0,510.0,0.08823529411764706,0.08108108108108109,0.43540183112919634,0.0,0.8626653102746694,0.8046795523906409,1.0,0.050707420603138334,0.16593520527871697,0.01098901098901099,0.4929090330995397,0.5204558089514717
