mode,flow,family,best_score,best_delay,best_slot_count,mean_score,mean_witness_conversion,mean_delayed_retention,mean_relation_rate,mean_slot_revisit_rate,mean_rupture_rate,density_gap,block_gap
independent,golden,phi,0.735199593408162,13,8,0.5041958829713485,0.11617453113893965,0.0922569685113469,0.4208051173625627,0.6062693043166802,0.0,0.15328879910320353,0.16309726645301242
independent,silver,metallic,0.7402060575276412,8,13,0.5064767340914104,0.11352495386414338,0.09022193701786957,0.4513175013101215,0.6271280948518166,0.0,0.10514531229451951,0.17395612414990014
independent,bounded_cf_2,bounded_cf,0.7351315118753893,8,21,0.5062150643836936,0.11921033758579898,0.09462155429921029,0.4155685466172875,0.5900195212426506,0.0,0.12222118465281351,0.19249355976499882
independent,random_cf_1,random_cf,0.7321197270446415,8,21,0.5060967865506377,0.11722750312209482,0.09304020754364026,0.42592084835450733,0.6009663030971589,0.0,0.12389813311499659,0.18924299893752194
independent,fib_13_21,rational,0.7243663238940257,13,8,0.48835547679650515,0.11621516924818369,0.09204341349728977,0.41788120206367696,0.6061322363851256,0.0,0.11310957980580827,0.15520339521949628
independent,pi_mod1,constant,0.732402645081624,13,21,0.5069235232234011,0.12254233456234948,0.09718924402045587,0.4368109566258919,0.5956141116812977,0.0,0.11661554040121674,0.19022103572803256
relational,golden,phi,0.8200649810985998,21,21,0.5723432291028028,0.26073412879337704,0.17356669446101755,0.4685423388543213,0.6177044725354195,0.005768352219787462,0.1638353162375758,0.2257861382231282
relational,silver,metallic,0.8330098174294698,21,21,0.5754657111644603,0.2629352839563996,0.17422541569409591,0.5049750020842094,0.6304399003565403,0.005787145293593165,0.1621572048139625,0.22357030009376616
relational,bounded_cf_2,bounded_cf,0.7976777615847345,21,21,0.5702529826401804,0.25533799974925364,0.17239301042779753,0.4588143776084454,0.6090835515001932,0.005238067413686523,0.1677759780587647,0.22910675794999852
relational,random_cf_1,random_cf,0.8166922116362325,5,21,0.5719382702343799,0.25885352982984494,0.17289593937974945,0.4736564272924749,0.6171100018351697,0.005470876710860896,0.15889858250529504,0.2277263012774704
relational,fib_13_21,rational,0.810859881548013,13,21,0.5570195009191695,0.2574149811194156,0.1719717774962544,0.4694338281463794,0.6195601794884924,0.005253934744949318,0.14906190012743492,0.20590350360384052
relational,pi_mod1,constant,0.8161967210268999,5,21,0.5720419092230355,0.26263232346830523,0.1763175686581745,0.4822937185018875,0.6143676841675263,0.005562171742738428,0.17354873189366382,0.23015240999593828
