mode,flow,family,alpha,offset,delay,slot_count,window_width,stack_gain,stack_decay,groove_gain,groove_decay,phase_gain,relation_gain,write_threshold,rupture_threshold,write_count,witness_count,witness_conversion,delayed_retention,release_rate,rupture_rate,groove_rate,relation_rate,phase_hit_rate,total_groove,max_groove,pollution,phase_lock_resistance,score
slot_stack,golden,phi,0.5820339887498948,-0.036,8,13,0.22,0.18,0.992,0.1,0.985,0.16,0.36,0.54,1.2,204.0,499.0,0.4088176352705411,0.2901849217638691,0.2521276595744681,0.0,0.5308510638297872,0.0,0.0,1.124453765796828,0.16435108054586445,0.05047215890589384,0.4948484209644243,0.502789590272078
slot_stack,golden,phi,0.5940339887498948,-0.023999999999999997,8,13,0.22,0.18,0.992,0.1,0.985,0.16,0.36,0.54,1.2,185.0,504.0,0.36706349206349204,0.26850507982583455,0.26624068157614483,0.0,0.49201277955271566,0.0,0.0,1.2332575329834483,0.1748351823096836,0.05144903940084663,0.5058706797567052,0.49361118233902995
slot_stack,golden,phi,0.6060339887498948,-0.011999999999999997,8,13,0.22,0.18,0.992,0.1,0.985,0.16,0.36,0.54,1.2,195.0,487.0,0.4004106776180698,0.2859237536656892,0.27292110874200426,0.0,0.5533049040511727,0.0,0.0,1.157399011161143,0.23954938816146543,0.05568218821230869,0.5517195460730524,0.5077248153831875
slot_stack,golden,phi,0.6180339887498948,3.469446951953614e-18,8,13,0.22,0.18,0.992,0.1,0.985,0.16,0.36,0.54,1.2,274.0,728.0,0.37637362637362637,0.27345309381237526,0.1691542288557214,0.0,0.6202321724709784,0.0,0.0,1.5107907031428693,0.10970567826972748,0.0823835884076848,0.43531569549351823,0.4889136680832718
slot_stack,golden,phi,0.6300339887498948,0.012000000000000004,8,13,0.22,0.18,0.992,0.1,0.985,0.16,0.36,0.54,1.2,182.0,433.0,0.42032332563510394,0.2959349593495935,0.3408360128617363,0.0,0.4866023579849946,0.0,0.0,1.1046043719785816,0.0964988955202715,0.0592640833604689,0.44569511198733347,0.49218213026457786
slot_stack,golden,phi,0.6420339887498948,0.024000000000000004,8,13,0.22,0.18,0.992,0.1,0.985,0.16,0.36,0.54,1.2,188.0,460.0,0.40869565217391307,0.29012345679012347,0.3091684434968017,0.0,0.511727078891258,0.0,0.0,1.1816997655492123,0.13642286597847086,0.06121784435037447,0.4756440480208728,0.49570556174107794
slot_stack,golden,phi,0.6540339887498948,0.036000000000000004,8,13,0.22,0.18,0.992,0.1,0.985,0.16,0.36,0.54,1.2,189.0,466.0,0.4055793991416309,0.2885496183206107,0.31341719077568136,0.0,0.45178197064989517,0.0,0.0,1.1186886971346541,0.11829369140465544,0.0615434711820254,0.5117940084575401,0.5001159750751051
slot_stack,golden,phi,0.5820339887498948,-0.036,8,13,0.22,0.18,0.992,0.18,0.985,0.32,0.36,0.54,1.6,242.0,510.0,0.4745098039215686,0.32180851063829785,0.2,0.0,0.7861702127659574,0.0,0.0,2.0240167784342904,0.29583194498255605,0.057635949202214265,0.49003426225183233,0.5199723959432653
slot_stack,golden,phi,0.5940339887498948,-0.023999999999999997,8,13,0.22,0.18,0.992,0.18,0.985,0.32,0.36,0.54,1.6,228.0,526.0,0.43346007604562736,0.30238726790450926,0.19701810436634717,0.0,0.7689030883919062,0.0,0.0,2.2198635593702067,0.3147033281574304,0.0615434711820254,0.4968312348509617,0.5113941137382645
slot_stack,golden,phi,0.6060339887498948,-0.011999999999999997,8,13,0.22,0.18,0.992,0.18,0.985,0.32,0.36,0.54,1.6,241.0,469.0,0.5138592750533049,0.33943661971830985,0.24307036247334754,0.0,0.7921108742004265,0.0,0.0,2.0833182200900575,0.4311888986906379,0.06707912732009118,0.5529876510102165,0.5351512243131674
slot_stack,golden,phi,0.6180339887498948,3.469446951953614e-18,8,13,0.22,0.18,0.992,0.18,0.985,0.32,0.36,0.54,1.6,334.0,683.0,0.4890190336749634,0.32841691248770893,0.15671641791044777,0.0,0.8590381426202321,0.0,0.0,2.7194232656571637,0.19747022088550942,0.09964181048518397,0.4314752514408108,0.5141708102556779
slot_stack,golden,phi,0.6300339887498948,0.012000000000000004,8,13,0.22,0.18,0.992,0.18,0.985,0.32,0.36,0.54,1.6,214.0,468.0,0.45726495726495725,0.31378299120234604,0.2690246516613076,0.0,0.7706323687031083,0.0,0.0,1.9882878695614468,0.17369801193648873,0.0696841419732986,0.43659314243801783,0.5029964339192411
slot_stack,golden,phi,0.6420339887498948,0.024000000000000004,8,13,0.22,0.18,0.992,0.18,0.985,0.32,0.36,0.54,1.6,222.0,466.0,0.47639484978540775,0.3226744186046512,0.26652452025586354,0.0,0.7761194029850746,0.0,0.0,2.127059577988582,0.24556115876124746,0.0719635297948551,0.5817823268566831,0.5291732296096348
slot_stack,golden,phi,0.6540339887498948,0.036000000000000004,8,13,0.22,0.18,0.992,0.18,0.985,0.32,0.36,0.54,1.6,224.0,465.0,0.4817204301075269,0.3251088534107402,0.2777777777777778,0.0,0.7232704402515723,0.0,0.0,2.013639654842377,0.21292864452837967,0.07294041028980788,0.5071935997625292,0.518463168639102
slot_stack,golden,phi,0.5820339887498948,-0.036,8,13,0.22,0.3,0.992,0.1,0.985,0.16,0.18,0.72,1.2,243.0,598.0,0.40635451505016723,0.28894173602853745,0.10531914893617021,0.0,0.5308510638297872,0.0,0.0,1.124453765796828,0.16435108054586445,0.051123412569195704,0.48552657707585334,0.5095738919876024
slot_stack,golden,phi,0.5940339887498948,-0.023999999999999997,8,13,0.22,0.3,0.992,0.1,0.985,0.16,0.18,0.72,1.2,225.0,600.0,0.375,0.2727272727272727,0.1182108626198083,0.003194888178913738,0.49201277955271566,0.0,0.0,1.2332575329834483,0.1748351823096836,0.05470530771735591,0.49434054083917167,0.5021780122287047
slot_stack,golden,phi,0.6060339887498948,-0.011999999999999997,8,13,0.22,0.3,0.992,0.1,0.985,0.16,0.18,0.72,1.2,233.0,595.0,0.3915966386554622,0.28140096618357485,0.10980810234541578,0.007462686567164179,0.5533049040511727,0.0,0.0,1.157399011161143,0.23954938816146543,0.058612829697167045,0.5476058880212189,0.5140060382335764
