flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.1,0.55,13,0.12,0.18,0.7166469893742621,0.41746905089408526,0.010163749294184076,0.16883116883116883,0.0,0.0,0.5301418439716312,0.4432624113475177,0.39893617021276595,0.08173233474438293,0.4610184128651811,0.34136630251395034
golden,phi,0.6180339887498948,13,13,0.1,0.55,13,0.12,0.3,0.8583042973286876,0.461875,0.003952569169960474,0.09260304912478826,0.0,0.0,0.2458521870286576,0.49019607843137253,0.3770739064856712,0.0986649299902312,0.4437671141345282,0.39273313034950685
golden,phi,0.6180339887498948,13,13,0.1,0.55,21,0.06,0.18,0.6659012629161883,0.39972432804962094,0.01355166572557877,0.1671372106154715,0.0,0.0,0.4094052558782849,0.4412171507607192,0.43568464730290457,0.07880169325952459,0.45612858885366303,0.33778974925555477
golden,phi,0.6180339887498948,13,13,0.1,0.55,21,0.06,0.44,0.9288939051918735,0.4815681685196021,0.003952569169960474,0.031055900621118012,0.0,0.0,0.0410958904109589,0.4461839530332681,0.3776908023483366,0.1126668837512211,0.4627183955301821,0.46817882471302613
golden,phi,0.6180339887498948,13,13,0.1,0.55,21,0.12,0.18,0.6773809523809524,0.4038325053229241,0.01129305477131564,0.19311123658949747,0.0,0.0,0.4796633941093969,0.4488078541374474,0.42917251051893407,0.08173233474438293,0.4562435799438519,0.33795484769815337
golden,phi,0.6180339887498948,13,13,0.1,0.55,21,0.12,0.3,0.8486997635933806,0.45907928388746805,0.004517221908526256,0.11236589497459062,0.0,0.0,0.22742857142857142,0.4617142857142857,0.40114285714285713,0.09605991533702377,0.4775748418968395,0.4047460832003887
golden,phi,0.6180339887498948,13,13,0.1,0.7,13,0.06,0.18,0.6936542669584245,0.4095607235142119,0.009034443817052512,0.11688311688311688,0.0,0.0,0.3709677419354839,0.2939068100358423,0.5501792114695341,0.08498860306089222,0.4273389684127741,0.35569242417303115
golden,phi,0.6180339887498948,13,13,0.1,0.7,21,0.2,0.18,0.7575757575757576,0.43103448275862066,0.00846979107848673,0.1727837380011293,0.0,0.0,0.4015748031496063,0.2887139107611549,0.5787401574803149,0.08791924454575056,0.45852317819918176,0.3714305611801698
golden,phi,0.6180339887498948,13,13,0.1,0.82,13,0.06,0.18,0.7511061946902655,0.42893240682248895,0.006775832862789385,0.09937888198757763,0.0,0.0,0.2962962962962963,0.18518518518518517,0.6582491582491582,0.09443178117876913,0.45328800143816694,0.4105103672762396
golden,phi,0.6180339887498948,13,13,0.1,0.82,13,0.12,0.18,0.7757437070938215,0.4368556701030928,0.010163749294184076,0.11349520045172219,0.0,0.0,0.3241935483870968,0.2161290322580645,0.6548387096774193,0.09150113969391079,0.4594566111199385,0.4005620653582506
