flow,family,mode,score,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,same_basin_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,gap_from_real
golden,phi,real,0.8042917498791908,0.916354556803995,0.4781758957654723,0.003952569169960474,0.1293054771315641,0.4721030042918455,0.1888412017167382,0.4721030042918455,0.11404046597179644,0.0,0.5278969957081545,0.0963855421686747,0.4826688730022113,0.0
golden,phi,shuffled_similarity,0.7354275411422105,0.9113001215066828,0.47679593134138587,0.003952569169960474,0.10784867306606437,0.31257557436517536,0.11668681983071343,0.31257557436517536,0.08766626360338574,0.0,0.6874244256348246,0.09768804949527841,0.4642851925611339,0.06886420873698029
golden,phi,random_tint,0.77939904601653,0.916354556803995,0.4781758957654723,0.003952569169960474,0.1293054771315641,0.4721030042918455,0.1888412017167382,0.4721030042918455,0.11404046597179644,0.12446351931330472,0.5278969957081545,0.0963855421686747,0.4826688730022113,0.024892703862660848
golden,phi,basin_break,0.8065561759305535,0.915527950310559,0.4779507133592737,0.003952569169960474,0.12535290796160362,0.47105423522242534,0.1882998171846435,0.47105423522242534,0.10786106032906764,0.0,0.5289457647775746,0.09801367632692934,0.4867215849465486,-0.002264426051362678
silver,metallic,real,0.781348668320153,0.7188264058679706,0.4182076813655761,0.06844919786096257,0.17967914438502675,0.6798245614035088,0.14035087719298245,0.6798245614035088,0.1162280701754386,0.0,0.3201754385964912,0.04005210029306415,0.5973816588889729,0.0
silver,metallic,shuffled_similarity,0.7351097099820921,0.753393665158371,0.4296774193548387,0.06844919786096257,0.10267379679144385,0.314,0.088,0.314,0.054,0.0,0.686,0.04363399544122436,0.5928225576147472,0.04623895833806091
silver,metallic,random_tint,0.7512606193114503,0.7128953771289538,0.4161931818181818,0.06844919786096257,0.1786096256684492,0.6808988764044944,0.14157303370786517,0.6808988764044944,0.11685393258426967,0.14382022471910114,0.31910112359550563,0.040703353956366005,0.5980188069730255,0.030088049008702766
silver,metallic,basin_break,0.7790795826273446,0.6921241050119332,0.4090267983074753,0.06737967914438503,0.17433155080213902,0.6799116997792495,0.141280353200883,0.6799116997792495,0.10816777041942605,0.0,0.3200883002207506,0.03972647346141322,0.5959736938015912,0.0022690856928084813
bounded_cf_2,bounded_cf,real,0.7915339013609248,0.7222222222222222,0.41935483870967744,0.11039657020364416,0.12540192926045016,0.5540796963946869,0.1555977229601518,0.5540796963946869,0.09108159392789374,0.0,0.4459203036053131,0.0963855421686747,0.5450221022283361,0.0
bounded_cf_2,bounded_cf,shuffled_similarity,0.7312419033987625,0.7559241706161137,0.43049932523616735,0.10610932475884244,0.09967845659163987,0.31793960923623443,0.11190053285968028,0.31793960923623443,0.05328596802841918,0.0,0.6820603907637656,0.10354933246499512,0.5363195246749384,0.060291997962162336
bounded_cf_2,bounded_cf,random_tint,0.7668659696721203,0.7222222222222222,0.41935483870967744,0.11039657020364416,0.12540192926045016,0.5540796963946869,0.1555977229601518,0.5540796963946869,0.09108159392789374,0.12333965844402277,0.4459203036053131,0.0963855421686747,0.5450221022283361,0.024667931688804545
