flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,layer_window,recency_decay,resonance_gain,layer_match_threshold,basin_radius,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,same_region_recall_rate,same_layer_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.08,21,0.55,0.14,0.3,2,0.36,0.918552036199095,0.47877358490566035,0.003952569169960474,0.038396386222473176,0.055786350148367955,0.037388724035608306,0.055786350148367955,0.01483679525222552,0.01483679525222552,0.0,0.944213649851632,0.10973624226636275,0.4615110160056407,0.5469637245344107
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.14,8,0.72,0.14,0.3,2,0.24,0.9331770222743259,0.48271679805942996,0.003952569169960474,0.06493506493506493,0.07325789160214413,0.04645622394282311,0.07325789160214413,0.0023823704586063135,0.051816557474687316,0.0,0.9267421083978559,0.10941061543471182,0.46504495402739743,0.5432950558163832
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.2,8,0.72,0.14,0.3,2,0.24,0.9312796208530806,0.4822085889570552,0.003952569169960474,0.0756634669678148,0.07940298507462687,0.04597014925373134,0.07940298507462687,0.0023880597014925373,0.056716417910447764,0.0,0.9205970149253732,0.10680560078150439,0.4682350898776968,0.5444511950408928
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.2,13,0.72,0.08,0.42,2,0.36,0.9544364508393285,0.4883435582822086,0.003952569169960474,0.0756634669678148,0.14669051878354203,0.0763267740011926,0.14669051878354203,0.0,0.06141920095408467,0.0,0.853309481216458,0.11006186909801367,0.4467455394506521,0.5773997181964395
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.08,8,0.55,0.08,0.18,2,0.24,0.9031476997578692,0.47455470737913485,0.003952569169960474,0.10841332580463016,0.19931662870159453,0.09453302961275627,0.19931662870159453,0.015945330296127564,0.10136674259681093,0.0,0.8006833712984055,0.10094431781178768,0.48125061848266737,0.5895942306630035
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.08,8,0.55,0.14,0.18,2,0.36,0.9154929577464789,0.47794117647058826,0.003952569169960474,0.07453416149068323,0.1531018782014798,0.11155378486055777,0.1531018782014798,0.03414911781445646,0.0398406374501992,0.0,0.8468981217985202,0.10354933246499512,0.47223980822194356,0.5953027575066984
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.14,8,0.55,0.14,0.3,2,0.36,0.9299655568312285,0.4818560380725758,0.003952569169960474,0.04686617730095991,0.041595441595441596,0.03418803418803419,0.041595441595441596,0.011965811965811967,0.015384615384615385,0.0,0.9584045584045584,0.11364376424617388,0.4613196735973144,0.5408763088633066
golden,phi,0.6180339887498948,13,13,0.04,0.68,13,0.2,13,0.55,0.08,0.3,2,0.36,0.953405017921147,0.48807339449541287,0.003952569169960474,0.07284020327498589,0.1531585220500596,0.08760429082240763,0.1531585220500596,0.013110846245530394,0.057210965435041714,0.0,0.8468414779499404,0.10517746662324975,0.47116756975894136,0.5890464319322348
golden,phi,0.6180339887498948,13,13,0.04,0.68,21,0.08,21,0.72,0.08,0.42,2,0.36,0.9391812865497076,0.48431845597104944,0.003952569169960474,0.059853190287972896,0.14236902050113895,0.09396355353075171,0.14236902050113895,0.0,0.03758542141230068,0.0,0.857630979498861,0.11103874959296646,0.46866389594317004,0.5856617045499183
golden,phi,0.6180339887498948,13,13,0.04,0.68,21,0.14,21,0.55,0.08,0.42,2,0.36,0.9331797235023042,0.4827175208581645,0.003952569169960474,0.048560135516657256,0.07797381900967558,0.062037564029595905,0.07797381900967558,0.0,0.02105862265224815,0.0,0.9220261809903244,0.11071312276131554,0.46390512836230713,0.5567309569476316
