flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,layer_window,recency_decay,resonance_gain,field_radius,field_width,field_support_gain,field_competition_gain,phase_bind_gain,phase_bind_threshold,window_levels,window_blend_gain,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,phase_binding_rate,macro_window_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.08,8,0.55,0.14,3,1.8,0.08,0.08,0.14,0.42,2,0.08,0.24,0.9397435897435897,0.48446794448116326,0.002258610954263128,0.14342179559570864,0.8840070298769771,0.3503222026947862,0.8840070298769771,0.10837727006444053,0.0,0.11599297012302284,3.45703125,0.576171875,0.5432942708333334,0.10061869098013676,0.49190974683624256,0.7901966091793347
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.08,8,0.72,0.08,3,1.8,0.14,0.04,0.08,0.18,2,0.14,0.36,0.9282178217821783,0.4813863928112965,0.002258610954263128,0.11801242236024845,0.9409701928696669,0.3705435417884278,0.9409701928696669,0.07481005260081823,0.0,0.05902980713033314,3.45703125,0.576171875,0.5159505208333334,0.10647997394985347,0.4847225836043453,0.7888880833799264
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.14,13,0.55,0.08,3,1.2,0.08,0.08,0.14,0.3,3,0.14,0.24,0.9016602809706258,0.47414372061786436,0.002258610954263128,0.15697346132128742,0.9294532627865961,0.35038212815990594,0.9294532627865961,0.10699588477366255,0.0,0.07054673721340388,3.45703125,0.576171875,0.5462239583333334,0.09931618365353305,0.49110400131369214,0.7762669065867295
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.2,8,0.72,0.08,3,1.2,0.14,0.04,0.14,0.3,2,0.08,0.24,0.851228978007762,0.45981830887491265,0.002258610954263128,0.18972332015810275,0.9242243436754176,0.33353221957040574,0.9242243436754176,0.110381861575179,0.0,0.07577565632458234,3.45703125,0.576171875,0.515625,0.08889612504070335,0.4911203657275066,0.765438671163737
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.14,8,0.55,0.14,3,1.8,0.14,0.04,0.08,0.3,1,0.14,0.36,0.8823529411764706,0.46875,0.002258610954263128,0.14850367024280067,0.9252283105022832,0.5062785388127854,0.9252283105022832,0.08162100456621005,0.0,0.0747716894977169,3.45703125,0.576171875,0.0,0.0963855421686747,0.48942320728395716,0.7620857710521696
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.14,8,0.55,0.14,5,1.2,0.14,0.08,0.08,0.42,1,0.08,0.36,0.8888888888888888,0.47058823529411764,0.002258610954263128,0.12422360248447205,0.8854225751559841,0.5309132161089053,0.8854225751559841,0.057855927396483264,0.0,0.11457742484401588,5.76171875,0.576171875,0.0,0.10126994464343862,0.46533740543896607,0.7747521043908454
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.14,13,0.72,0.14,3,1.2,0.14,0.04,0.14,0.3,3,0.08,0.36,0.8735919899874843,0.46626586506346024,0.002258610954263128,0.15245623941276115,0.9259259259259259,0.5031339031339032,0.9259259259259259,0.07977207977207977,0.0,0.07407407407407407,3.45703125,0.576171875,0.5126953125,0.09378052751546727,0.48922356340474804,0.7810661157530293
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.2,8,0.72,0.08,5,1.8,0.14,0.08,0.08,0.3,1,0.14,0.24,0.8666666666666667,0.4642857142857143,0.002258610954263128,0.1756070016939582,0.9398069278818852,0.5298126064735945,0.9398069278818852,0.09880749574105621,0.0,0.060193072118114706,5.76171875,0.576171875,0.0,0.10289807880169326,0.4519865542178829,0.745637951996872
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.2,13,0.55,0.08,3,1.8,0.08,0.04,0.14,0.18,2,0.14,0.36,0.8675914249684742,0.46455097906819715,0.002258610954263128,0.16149068322981366,0.944634703196347,0.5017123287671232,0.944634703196347,0.0867579908675799,0.0,0.055365296803652965,3.45703125,0.576171875,0.5475260416666666,0.09443178117876913,0.4880574242104845,0.7742585755963641
golden,phi,0.6180339887498948,13,13,0.04,0.68,13,0.08,8,0.72,0.08,3,1.2,0.14,0.08,0.14,0.42,1,0.14,0.24,0.9314214463840399,0.48224661071659136,0.002258610954263128,0.12309429700734048,0.8670181605155243,0.3509080257762156,0.8670181605155243,0.08201523140011717,0.0,0.1329818394844757,3.45703125,0.576171875,0.0,0.11103874959296646,0.4897093090482032,0.7803001126682318
