flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,layer_window,recency_decay,resonance_gain,field_radius,field_width,field_support_gain,field_competition_gain,phase_bind_gain,phase_bind_threshold,window_levels,window_blend_gain,admission_center,admission_width,admission_gain,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,phase_binding_rate,macro_window_rate,admission_band_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.08,8,0.72,0.08,3,1.8,0.14,0.04,0.08,0.18,3,0.08,0.2,0.1,0.08,0.24,0.9331619537275064,0.48271276595744683,0.002258610954263128,0.14850367024280067,0.9413489736070382,0.3501466275659824,0.9413489736070382,0.10967741935483871,0.0,0.05865102639296188,3.45703125,0.576171875,0.5143229166666666,0.0,0.10289807880169326,0.49162997509782536,0.7787234510232649
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.2,8,0.55,0.08,5,1.8,0.14,0.08,0.08,0.3,3,0.08,0.3,0.1,0.14,0.24,0.8404118404118404,0.45664335664335665,0.002258610954263128,0.19028797289666854,0.9403327596098681,0.37119908204245555,0.9403327596098681,0.10269650028686174,0.0,0.05966724039013196,5.76171875,0.576171875,0.5501302083333334,0.09309895833333333,0.10322370563334418,0.4503780233436522,0.7674162135379684
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.2,13,0.55,0.14,5,1.8,0.14,0.08,0.08,0.18,3,0.14,0.1,0.18,0.08,0.36,0.8277153558052435,0.45286885245901637,0.002258610954263128,0.17108977978543197,0.9272517321016166,0.3608545034642032,0.9272517321016166,0.06986143187066975,0.0,0.07274826789838337,5.76171875,0.576171875,0.5572916666666666,0.0,0.09703679583197655,0.4608026523362453,0.772182128312369
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.2,13,0.72,0.08,3,1.2,0.14,0.04,0.08,0.3,2,0.14,0.2,0.1,0.14,0.24,0.8309677419354838,0.45384073291050037,0.002258610954263128,0.19649915302089216,0.9252110977080821,0.3365500603136309,0.9252110977080821,0.10796139927623644,0.0,0.07478890229191798,3.45703125,0.576171875,0.5169270833333334,0.16048177083333334,0.08563985672419408,0.4919512695569709,0.7768236107820652
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.08,13,0.55,0.14,3,1.8,0.14,0.04,0.14,0.18,3,0.14,0.3,0.18,0.08,0.24,0.8925831202046036,0.47162162162162163,0.002258610954263128,0.16205533596837945,0.9350797266514806,0.49544419134396356,0.9350797266514806,0.10649202733485194,0.0,0.06492027334851937,3.45703125,0.576171875,0.5524088541666666,0.0,0.09703679583197655,0.49470034805980767,0.7744227736731149
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.08,13,0.72,0.08,5,1.8,0.08,0.08,0.08,0.18,2,0.08,0.3,0.1,0.08,0.36,0.9557416267942583,0.4886850152905199,0.002258610954263128,0.07453416149068323,0.9540555870674986,0.5819625638116847,0.9540555870674986,0.04310833806012479,0.0,0.04594441293250142,5.76171875,0.576171875,0.5387369791666666,0.0,0.1162487788993813,0.45753413960593137,0.7983260184752795
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.2,8,0.72,0.14,5,1.2,0.08,0.04,0.14,0.42,1,0.08,0.3,0.1,0.14,0.24,0.8646907216494846,0.4637180373185902,0.002258610954263128,0.18068887634105024,0.8880681818181818,0.51875,0.8880681818181818,0.1,0.0,0.11193181818181819,5.76171875,0.576171875,0.0,0.09375,0.09931618365353305,0.4221167134457142,0.7576154866859337
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.2,8,0.72,0.14,5,1.8,0.14,0.08,0.08,0.42,2,0.14,0.2,0.18,0.14,0.24,0.8352788586251622,0.4551236749116608,0.002258610954263128,0.19875776397515527,0.8920454545454546,0.5079545454545454,0.8920454545454546,0.10397727272727272,0.0,0.10795454545454546,5.76171875,0.576171875,0.5169270833333334,0.3313802083333333,0.09768804949527841,0.41984673153062413,0.7905169124328174
golden,phi,0.6180339887498948,13,13,0.04,0.68,13,0.08,8,0.55,0.14,3,1.2,0.14,0.08,0.14,0.18,2,0.14,0.2,0.1,0.08,0.36,0.9136253041362531,0.47743165924984104,0.002258610954263128,0.10954263128176171,0.8869361452841242,0.37258347978910367,0.8869361452841242,0.053895723491505565,0.0,0.11306385471587581,3.45703125,0.576171875,0.5498046875,0.0,0.10875936177140996,0.48563947966590304,0.8028743496570693
golden,phi,0.6180339887498948,13,13,0.04,0.68,13,0.14,13,0.72,0.08,3,1.2,0.08,0.04,0.14,0.18,3,0.08,0.2,0.1,0.14,0.24,0.884472049689441,0.4693473961766645,0.002258610954263128,0.1411631846414455,0.9186800235710076,0.3547436652916912,0.9186800235710076,0.08308780200353565,0.0,0.08131997642899234,3.45703125,0.576171875,0.5224609375,0.16634114583333334,0.10550309345490068,0.4930315853425312,0.7978210316278278
