flow,family,mode,admission_center,admission_width,admission_gain,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,phase_binding_rate,macro_window_rate,admission_band_rate,pollution,phase_lock_resistance,score
golden,phi,moderate_band,0.2,0.18,0.14,0.8681592039800995,0.4647137150466045,0.002258610954263128,0.14963297571993225,0.849971477467199,0.46035367940673133,0.849971477467199,0.0775812892184826,0.0,0.1500285225328009,3.45703125,0.576171875,0.5198567708333334,0.3330078125,0.0986649299902312,0.49460140968706,0.8231771506985186
golden,phi,exact_match,0.0,0.1,0.14,0.9041095890410958,0.4748201438848921,0.002258610954263128,0.13438735177865613,0.8321001707455891,0.45475241889584517,0.8321001707455891,0.07683551508252703,0.0,0.16789982925441094,3.45703125,0.576171875,0.521484375,0.16048177083333334,0.10582872028655162,0.49163614888568363,0.8174108268460718
golden,phi,novelty_band,0.35,0.18,0.14,0.8628428927680798,0.46318607764390896,0.002258610954263128,0.1541501976284585,0.8684510250569476,0.47095671981776766,0.8684510250569476,0.07630979498861047,0.0,0.1315489749430524,3.45703125,0.576171875,0.5201822916666666,0.17610677083333334,0.10192119830674047,0.49490291022214117,0.8060518268129423
golden,phi,no_band,0.2,0.18,0.0,0.9029850746268657,0.4745098039215686,0.002258610954263128,0.13382269904009034,0.7996585088218554,0.4359704040978941,0.7996585088218554,0.07683551508252703,0.0,0.20034149117814457,3.45703125,0.576171875,0.521484375,0.0,0.10615434711820254,0.4919818998309248,0.8090790036243615
silver,metallic,moderate_band,0.2,0.18,0.14,0.8402625820568927,0.45659928656361476,0.014973262032085561,0.0855614973262032,0.9681372549019608,0.3137254901960784,0.9681372549019608,0.04656862745098039,0.0,0.031862745098039214,1.81640625,0.302734375,0.18880208333333334,0.14811197916666666,0.04168023445131879,0.5988607674052802,0.7861998083717562
silver,metallic,exact_match,0.0,0.1,0.14,0.8402625820568927,0.45659928656361476,0.014973262032085561,0.0855614973262032,0.9671132764920828,0.3105968331303289,0.9671132764920828,0.048721071863580996,0.0,0.03288672350791717,1.81640625,0.302734375,0.18912760416666666,0.07096354166666667,0.042005861282969716,0.6001838416766405,0.778884023757335
silver,metallic,novelty_band,0.35,0.18,0.14,0.8227571115973742,0.45138055222088835,0.016042780748663103,0.09304812834224599,0.9647201946472019,0.305352798053528,0.9647201946472019,0.052311435523114354,0.0,0.03527980535279805,1.81640625,0.302734375,0.18912760416666666,0.0869140625,0.043308368609573426,0.599769075962211,0.7757467497962601
silver,metallic,no_band,0.2,0.18,0.0,0.8217391304347826,0.4510739856801909,0.019251336898395723,0.08449197860962566,0.9533169533169533,0.3108108108108108,0.9533169533169533,0.04791154791154791,0.0,0.04668304668304668,1.81640625,0.302734375,0.18977864583333334,0.0,0.042005861282969716,0.5996151059515549,0.7722750084093009
bounded_cf_2,bounded_cf,moderate_band,0.2,0.18,0.14,0.8492239467849224,0.4592326139088729,0.01714898177920686,0.08896034297963558,0.9445114595898673,0.2738238841978287,0.9445114595898673,0.06755126658624849,0.0,0.05548854041013269,1.8203125,0.3033854166666667,0.2776692708333333,0.14485677083333334,0.11787691305763595,0.5508108203252511,0.7763900941916941
bounded_cf_2,bounded_cf,exact_match,0.0,0.1,0.14,0.838495575221239,0.45607701564380265,0.01929260450160772,0.09003215434083602,0.9350180505415162,0.2719614921780987,0.9350180505415162,0.06859205776173286,0.0,0.06498194945848375,1.8203125,0.3033854166666667,0.2770182291666667,0.0693359375,0.11722565939433409,0.550899915748525,0.7691463470147143
bounded_cf_2,bounded_cf,novelty_band,0.35,0.18,0.14,0.8061674008810573,0.44634146341463415,0.021436227224008574,0.09967845659163987,0.9405469678953626,0.25921521997621877,0.9405469678953626,0.07015457788347206,0.0,0.059453032104637336,1.8203125,0.3033854166666667,0.2766927083333333,0.08626302083333333,0.11331813741452296,0.5522640052847712,0.7622914861139185
bounded_cf_2,bounded_cf,no_band,0.2,0.18,0.0,0.7987012987012987,0.44404332129963897,0.02572347266881029,0.08360128617363344,0.9229843561973526,0.2611311672683514,0.9229843561973526,0.06257521058965103,0.0,0.07701564380264742,1.8203125,0.3033854166666667,0.2760416666666667,0.0,0.11429501790947574,0.5491848214483477,0.7590695809632801
random_cf_1,random_cf,moderate_band,0.2,0.18,0.14,0.8367816091954023,0.4555694618272841,0.01756311745334797,0.10537870472008781,0.8907563025210085,0.25690276110444177,0.8907563025210085,0.07202881152460984,0.0,0.1092436974789916,1.7734375,0.17350260416666666,0.2571614583333333,0.1484375,0.090524259198958,0.606656585635972,0.7816213058153001
random_cf_1,random_cf,exact_match,0.0,0.1,0.14,0.8459770114942529,0.45828144458281445,0.019758507135016465,0.09879253567508232,0.8851674641148325,0.25598086124401914,0.8851674641148325,0.07057416267942583,0.0,0.11483253588516747,1.7734375,0.17350260416666666,0.2571614583333333,0.052083333333333336,0.090524259198958,0.6051545921243475,0.7761141239883484
random_cf_1,random_cf,novelty_band,0.35,0.18,0.14,0.8275862068965517,0.4528301886792453,0.01756311745334797,0.10976948408342481,0.8968446601941747,0.25606796116504854,0.8968446601941747,0.07160194174757281,0.0,0.10315533980582524,1.7734375,0.17350260416666666,0.2552083333333333,0.10904947916666667,0.08857049820905243,0.6080021144867707,0.7757642701671132
random_cf_1,random_cf,no_band,0.2,0.18,0.0,0.8356164383561644,0.4552238805970149,0.019758507135016465,0.09769484083424808,0.8724672228843862,0.2526817640047676,0.8724672228843862,0.07032181168057211,0.0,0.12753277711561384,1.7734375,0.17350260416666666,0.2571614583333333,0.0,0.09019863236730706,0.6052295484061319,0.7718025902583907
fib_13_21,rational,moderate_band,0.2,0.18,0.14,0.7394209354120267,0.42509603072983354,0.002129925452609159,0.16613418530351437,0.9922580645161291,0.2167741935483871,0.9922580645161291,0.07096774193548387,0.0,0.007741935483870968,3.0533854166666665,0.3050130208333333,0.2783203125,0.14680989583333334,0.09964181048518397,0.38166697897365953,0.7177592509221459
fib_13_21,rational,exact_match,0.0,0.1,0.14,0.765625,0.4336283185840708,0.003194888178913738,0.154419595314164,0.9923954372623575,0.21673003802281368,0.9923954372623575,0.06844106463878327,0.0,0.0076045627376425855,3.0533854166666665,0.3050130208333333,0.2786458333333333,0.076171875,0.10289807880169326,0.38385886335304753,0.7174459056784692
fib_13_21,rational,novelty_band,0.35,0.18,0.14,0.734375,0.42342342342342343,0.004259850905218318,0.16826411075612355,0.9961038961038962,0.21948051948051947,0.9961038961038962,0.07142857142857142,0.0,0.003896103896103896,3.0533854166666665,0.3050130208333333,0.2786458333333333,0.076171875,0.09833930315858026,0.3835391018666553,0.710595561496342
fib_13_21,rational,no_band,0.2,0.18,0.0,0.7416481069042317,0.4258312020460358,0.007454739084132056,0.1597444089456869,0.9858429858429858,0.22522522522522523,0.9858429858429858,0.0682110682110682,0.0,0.014157014157014158,3.0533854166666665,0.3050130208333333,0.2789713541666667,0.0,0.10061869098013676,0.3855173296519173,0.7091674311499515
pi_mod1,constant,moderate_band,0.2,0.18,0.14,0.8648648648648649,0.463768115942029,0.006423982869379015,0.033190578158458245,0.9715639810426541,0.2618483412322275,0.9715639810426541,0.0035545023696682463,0.0,0.02843601895734597,3.037109375,0.2740885416666667,0.28515625,0.1494140625,0.1299251058287203,0.5277866016400894,0.7909945404779616
pi_mod1,constant,exact_match,0.0,0.1,0.14,0.8789144050104384,0.4677777777777778,0.008565310492505354,0.027837259100642397,0.9677033492822966,0.26435406698564595,0.9677033492822966,0.0035885167464114833,0.0,0.03229665071770335,3.037109375,0.2740885416666667,0.2835286458333333,0.07096354166666667,0.13285574731357863,0.5275385762919833,0.7874921303082479
pi_mod1,constant,novelty_band,0.35,0.18,0.14,0.8565488565488566,0.46136618141097424,0.009635974304068522,0.034261241970021415,0.9651860744297719,0.26290516206482595,0.9651860744297719,0.004801920768307323,0.0,0.03481392557022809,3.037109375,0.2740885416666667,0.2835286458333333,0.08203125,0.1299251058287203,0.5268226291678229,0.7843947642807589
pi_mod1,constant,no_band,0.2,0.18,0.0,0.8648648648648649,0.463768115942029,0.01284796573875803,0.02676659528907923,0.9584816132858838,0.2597864768683274,0.9584816132858838,0.004744958481613286,0.0,0.04151838671411625,3.037109375,0.2740885416666667,0.2848307291666667,0.0,0.13057635949202215,0.5258374656643208,0.7795682327678409
