flow,family,mode,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,phase_binding_rate,macro_window_rate,admission_band_rate,pollution,phase_lock_resistance,score
golden,phi,local_only,0.8695652173913043,0.46511627906976744,0.002258610954263128,0.14793901750423488,0.8454960091220068,0.45438996579247437,0.8454960091220068,0.07696693272519954,0.0,0.15450399087799316,3.45703125,0.576171875,0.0,0.33203125,0.09899055682188213,0.4939927508351468,0.8042310233384844
golden,phi,nested,0.8681592039800995,0.4647137150466045,0.002258610954263128,0.14963297571993225,0.849971477467199,0.46035367940673133,0.849971477467199,0.0775812892184826,0.0,0.1500285225328009,3.45703125,0.576171875,0.5198567708333334,0.3330078125,0.0986649299902312,0.49460140968706,0.8231771506985186
golden,phi,over_blended,0.8681592039800995,0.4647137150466045,0.002258610954263128,0.14963297571993225,0.8511972633979475,0.4606613454960091,0.8511972633979475,0.07753705815279362,0.0,0.14880273660205245,3.45703125,0.576171875,0.5198567708333334,0.3336588541666667,0.09833930315858026,0.4944878997850827,0.8230249281095646
golden,phi,blurred_local,0.8754669987546699,0.46679946879150064,0.002258610954263128,0.14737436476566912,0.8425556189389618,0.45750142612664,0.8425556189389618,0.0775812892184826,0.0,0.15744438106103822,3.45703125,0.576171875,0.0,0.3333333333333333,0.09996743731683491,0.4941430745449703,0.8056534032769584
silver,metallic,local_only,0.8424507658643327,0.45724465558194777,0.014973262032085561,0.08449197860962566,0.9620563035495716,0.31211750305997554,0.9620563035495716,0.046511627906976744,0.0,0.037943696450428395,1.81640625,0.302734375,0.0,0.14778645833333334,0.042005861282969716,0.5985505944445082,0.7789932789144106
silver,metallic,nested,0.8402625820568927,0.45659928656361476,0.014973262032085561,0.0855614973262032,0.9681372549019608,0.3137254901960784,0.9681372549019608,0.04656862745098039,0.0,0.031862745098039214,1.81640625,0.302734375,0.18880208333333334,0.14811197916666666,0.04168023445131879,0.5988607674052802,0.7861998083717562
silver,metallic,over_blended,0.8402625820568927,0.45659928656361476,0.014973262032085561,0.0855614973262032,0.9681372549019608,0.3137254901960784,0.9681372549019608,0.04656862745098039,0.0,0.031862745098039214,1.81640625,0.302734375,0.18977864583333334,0.1484375,0.04135460761966786,0.5987511981817208,0.7862590295122666
silver,metallic,blurred_local,0.8402625820568927,0.45659928656361476,0.014973262032085561,0.0855614973262032,0.9669117647058824,0.3137254901960784,0.9669117647058824,0.04656862745098039,0.0,0.03308823529411765,1.81640625,0.302734375,0.0,0.1474609375,0.04168023445131879,0.5988607674052802,0.7779628851302375
bounded_cf_2,bounded_cf,local_only,0.8536585365853658,0.4605263157894737,0.01714898177920686,0.08681672025723473,0.9360675512665863,0.27261761158021713,0.9360675512665863,0.06755126658624849,0.0,0.06393244873341375,1.8203125,0.3033854166666667,0.0,0.14485677083333334,0.1185281667209378,0.550628025059203,0.766098450237086
bounded_cf_2,bounded_cf,nested,0.8492239467849224,0.4592326139088729,0.01714898177920686,0.08896034297963558,0.9445114595898673,0.2738238841978287,0.9445114595898673,0.06755126658624849,0.0,0.05548854041013269,1.8203125,0.3033854166666667,0.2776692708333333,0.14485677083333334,0.11787691305763595,0.5508108203252511,0.7763900941916941
bounded_cf_2,bounded_cf,over_blended,0.8552338530066815,0.460984393757503,0.01714898177920686,0.09003215434083602,0.9504830917874396,0.2777777777777778,0.9504830917874396,0.06763285024154589,0.0,0.049516908212560384,1.8203125,0.3033854166666667,0.2786458333333333,0.14453125,0.1185281667209378,0.5506441289985582,0.7767825632271864
bounded_cf_2,bounded_cf,blurred_local,0.8514412416851441,0.4598802395209581,0.01822079314040729,0.08681672025723473,0.9455205811138014,0.2784503631961259,0.9455205811138014,0.06537530266343826,0.0,0.05447941888619855,1.8203125,0.3033854166666667,0.0,0.14388020833333334,0.11885379355258874,0.5497131906280268,0.7652797849682783
random_cf_1,random_cf,local_only,0.8449074074074074,0.45796737766624845,0.019758507135016465,0.10537870472008781,0.8800959232613909,0.2541966426858513,0.8800959232613909,0.07314148681055156,0.0,0.11990407673860912,1.7734375,0.17350260416666666,0.0,0.1474609375,0.09084988603060892,0.6070913064697043,0.7726905414409644
random_cf_1,random_cf,nested,0.8367816091954023,0.4555694618272841,0.01756311745334797,0.10537870472008781,0.8907563025210085,0.25690276110444177,0.8907563025210085,0.07202881152460984,0.0,0.1092436974789916,1.7734375,0.17350260416666666,0.2571614583333333,0.1484375,0.090524259198958,0.606656585635972,0.7816213058153001
random_cf_1,random_cf,over_blended,0.8390804597701149,0.45625,0.01756311745334797,0.10428100987925357,0.8942307692307693,0.25600961538461536,0.8942307692307693,0.07211538461538461,0.0,0.10576923076923077,1.7734375,0.17350260416666666,0.2571614583333333,0.14876302083333334,0.09084988603060892,0.6055236989352486,0.7811616626827294
random_cf_1,random_cf,blurred_local,0.8367816091954023,0.4555694618272841,0.01756311745334797,0.10537870472008781,0.8943577430972389,0.25690276110444177,0.8943577430972389,0.07202881152460984,0.0,0.1056422569027611,1.7734375,0.17350260416666666,0.0,0.14908854166666666,0.090524259198958,0.606656585635972,0.7696303214255122
fib_13_21,rational,local_only,0.755011135857461,0.4302030456852792,0.003194888178913738,0.15761448349307774,0.9836272040302267,0.21032745591939547,0.9836272040302267,0.06926952141057935,0.0,0.0163727959697733,3.0533854166666665,0.3050130208333333,0.0,0.0,0.10159557147508955,0.3839444423364228,0.6971924673120912
fib_13_21,rational,nested,0.755011135857461,0.4302030456852792,0.003194888178913738,0.15761448349307774,0.9911838790931989,0.21536523929471033,0.9911838790931989,0.06926952141057935,0.0,0.008816120906801008,3.0533854166666665,0.3050130208333333,0.2783203125,0.0,0.10159557147508955,0.3840139174397543,0.7088523021538936
