family,count,mean_tradeoff,median_tradeoff,mean_phase_lock,mean_delayed_retention,mean_pollution,mean_diversity
bounded_cf_12,810,0.5278852519042311,0.542061656451613,0.3701304248804465,0.7585511682384731,0.06098929204945871,15.948148148148148
bounded_cf_123,810,0.47456595695476383,0.46953367424035336,0.38991153179098137,0.4419312741323725,0.016483465813091513,15.962962962962964
bounded_cf_1234,810,0.5142343626219864,0.5178610620526634,0.3774800780147697,0.6425192742131732,0.033104612994929936,16.279012345679014
bronze,162,0.49424041400243085,0.5182226960774545,0.4027921001804011,0.5943824808374233,0.036526404711933,15.61111111111111
copper,162,0.49796081826107946,0.5159054387227486,0.39697814093916667,0.615547826660759,0.02100732537292869,12.938271604938272
golden,324,0.466715626175666,0.5190396973505705,0.4662275126222455,0.6313045988390873,0.0064323525397233005,7.481481481481482
known_irrational,486,0.49014874284991744,0.5003727746812541,0.3912323957794695,0.5449905465494105,0.0378208502541147,15.510288065843621
near_golden,2592,0.5101026894540506,0.523948620123706,0.38638770795741345,0.6361103667393675,0.03761145152299503,15.315586419753087
noble,2430,0.4965976219851372,0.5163968081664909,0.3921662992876557,0.6158833122643151,0.043172644293853236,14.664609053497943
random_uniform,1620,0.48173581437080026,0.4965477913064025,0.4180349966031962,0.5510708371238568,0.029685883704793938,15.703086419753086
rational,324,0.42869992689476305,0.4691096417081904,0.5019488395074484,0.5836268991743504,0.05312983932985279,13.404320987654321
rational_fib,162,0.505075128439431,0.5123414219036547,0.4983794825281868,0.8625912013341088,0.026743042136890216,13.38888888888889
silver,162,0.5022986256878438,0.5392087537293466,0.41096044975232726,0.6601266178593668,0.07298856152871289,14.666666666666666
unbounded_cf,1620,0.4748648868125676,0.4773197469770033,0.4042764956016036,0.5199996241445158,0.03609373878724236,15.783333333333333
